language_code,language_name,term_source,enmt_translated_term,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,coding_dh_date
kj,"Kwanyama, Kuanyama",Humanities Data Science,Ovanhu ohava popi kombinga yoinima oyo ya denga mbada,,,,,2025-05-31 21:15:56
kk,Kazakh,Humanities Data Science,,,,,,2025-05-31 21:15:56
kl,Kalaallisut,Humanities Data Science,,,,,,2025-05-31 21:15:56
km,Khmer,Humanities Data Science,,,,,,2025-05-31 21:15:56
kn,Kannada,Humanities Data Science,,,,,,2025-05-31 21:15:56
ko,Korean,Humanities Data Science,,,,,,2025-05-31 21:15:56
kr,Kanuri,Humanities Data Science,,,,,,2025-05-31 21:15:56
ks,Kashmiri,Humanities Data Science,,,,,,2025-05-31 21:15:56
ku,Kurdish,Humanities Data Science,,,,,,2025-05-31 21:15:56
kv,Komi,Humanities Data Science,,,,,,2025-05-31 21:15:56
kw,Cornish,Humanities Data Science,,,,,,2025-05-31 21:15:56
ky,"Kirghiz, Kyrgyz",Humanities Data Science,,,,,,2025-05-31 21:15:56
la,Latin,Humanities Data Science,,,,,,2025-05-31 21:15:56
lb,Luxembourgish,Humanities Data Science,,,,,,2025-05-31 21:15:56
lg,Luganda,Humanities Data Science,Ebizibu by'Abantu,,,,,2025-05-31 21:15:56
li,Limburgish,Humanities Data Science,,,,,,2025-05-31 21:15:56
ln,Lingala,Humanities Data Science,Makambo matali bomoi ya bato,,,,,2025-05-31 21:15:56
lo,Lao,Humanities Data Science,,,,,,2025-05-31 21:15:56
lt,Lithuanian,Humanities Data Science,,,,,,2025-05-31 21:15:56
lu,Luba-Katanga,Humanities Data Science,Bitango bya Bantu Bitumbijanga Sianse,,,,,2025-05-31 21:15:56
lv,Latvian,Humanities Data Science,,,,,,2025-05-31 21:15:56
mg,Malagasy,Humanities Data Science,Siansan'ny Zon'olombelona,,,,,2025-05-31 21:15:56
mh,Marshallese,Humanities Data Science,Wãwen Mour ko an Armij,,,,,2025-05-31 21:15:56
mi,Māori,Humanities Data Science,,,,,,2025-05-31 21:15:56
mk,Macedonian,Humanities Data Science,Наука за општествените науки,,,,,2025-05-31 21:15:56
ml,Malayalam,Humanities Data Science,മാനവരാശിയുടെ ഡാറ്റ സയൻസ്,,,,,2025-05-31 21:15:56
mn,Mongolian,Humanities Data Science,,,,,,2025-05-31 21:15:56
mr,Marathi (Marāṭhī),Humanities Data Science,विज्ञान,,,,,2025-05-31 21:15:56
ms,Malay,Humanities Data Science,,,,,,2025-05-31 21:15:56
mt,Maltese,Humanities Data Science,Xjenza tad-Dejta tal-Umanistika,,,,,2025-05-31 21:15:56
my,Burmese,Humanities Data Science,,,,,,2025-05-31 21:15:56
na,Nauru,Humanities Data Science,,,,,,2025-05-31 21:15:56
nb,Norwegian Bokmål,Humanities Data Science,,,,,,2025-05-31 21:15:56
nd,North Ndebele,Humanities Data Science,,,,,,2025-05-31 21:15:56
ne,Nepali,Humanities Data Science,,,,,,2025-05-31 21:15:56
ng,Ndonga,Humanities Data Science,Aantu ohaya ti kutya oye na uuntsa,,,,,2025-05-31 21:15:56
nl,Dutch,Humanities Data Science,Geesteswetenschappen Data Science,,,,,2025-05-31 21:15:56
nn,Norwegian Nynorsk,Humanities Data Science,,,,,,2025-05-31 21:15:56
no,Norwegian,Humanities Data Science,,,,,,2025-05-31 21:15:56
nr,South Ndebele,Humanities Data Science,,,,,,2025-05-31 21:15:56
nv,"Navajo, Navaho",Humanities Data Science,,,,,,2025-05-31 21:15:56
ny,Chichewa; Chewa; Nyanja,Humanities Data Science,Sayansi Imagwirizana ndi Mfundo za Anthu,,,,,2025-05-31 21:15:56
oc,Occitan,Humanities Data Science,,,,,,2025-05-31 21:15:56
oj,"Ojibwe, Ojibwa",Humanities Data Science,,,,,,2025-05-31 21:15:56
om,Oromo,Humanities Data Science,Saayinsii Ilmaan Namootaa Ilaalchisee Dhugaansaa Maalidha?,,,,,2025-05-31 21:15:56
or,Oriya,Humanities Data Science,,,,,,2025-05-31 21:15:56
os,"Ossetian, Ossetic",Humanities Data Science,,,,,,2025-05-31 21:15:56
pa,"Panjabi, Punjabi",Humanities Data Science,,,,,,2025-05-31 21:15:56
pi,Pāli,Humanities Data Science,,,,,,2025-05-31 21:15:56
pl,Polish,Humanities Data Science,,,,,,2025-05-31 21:15:56
ps,"Pashto, Pushto",Humanities Data Science,,,,,,2025-05-31 21:15:56
pt,Portuguese,Humanities Data Science,,,,,,2025-05-31 21:15:56
qu,Quechua,Humanities Data Science,,,,,,2025-05-31 21:15:56
rm,Romansh,Humanities Data Science,,,,,,2025-05-31 21:15:56
rn,Kirundi,Humanities Data Science,Ubuhinga bw’ibinyabuzima bw’abantu,,,,,2025-05-31 21:15:56
ro,"Romanian, Moldavan",Humanities Data Science,Știința datelor despre umanități,,,,,2025-05-31 21:15:56
ru,Russian,Humanities Data Science,Науки гуманитарных данных,,,,,2025-05-31 21:15:56
rw,Kinyarwanda,Humanities Data Science,Umuhanga mu bya siyansi,,,,,2025-05-31 21:15:56
sa,Sanskrit (Saṁskṛta),Humanities Data Science,,,,,,2025-05-31 21:15:56
sc,Sardinian,Humanities Data Science,,,,,,2025-05-31 21:15:56
sd,Sindhi,Humanities Data Science,,,,,,2025-05-31 21:15:56
se,Northern Sami,Humanities Data Science,,,,,,2025-05-31 21:15:56
sg,Sango,Humanities Data Science,Aye so senda - ye asigigi na ni,,,,,2025-05-31 21:15:56
sh,Serbo-Crotian,Humanities Data Science,,,,,,2025-05-31 21:15:56
si,"Sinhala, Sinhalese",Humanities Data Science,,,,,,2025-05-31 21:15:56
sk,Slovak,Humanities Data Science,Humanitné dátové vedy,,,,,2025-05-31 21:15:56
sl,Slovene,Humanities Data Science,,,,,,2025-05-31 21:15:56
sm,Samoan,Humanities Data Science,Āuga Mataʻutia o le Poto o le Atua,,,,,2025-05-31 21:15:56
sn,Shona,Humanities Data Science,Mamiriro Ohunhu Anoparira Sayenzi,,,,,2025-05-31 21:15:56
so,Somali,Humanities Data Science,,,,,,2025-05-31 21:15:56
sq,Albanian,Humanities Data Science,Humanitetet flasin për shkencën,,,,,2025-05-31 21:15:56
sr,Serbian,Humanities Data Science,,,,,,2025-05-31 21:15:56
ss,Swati,Humanities Data Science,Bantfu Bafundza Tami Tesayensi,,,,,2025-05-31 21:15:56
st,Southern Sotho,Humanities Data Science,Mefuta - futa ea Lintho Tse Phelang e Etsa Hore Saense e be Teng,,,,,2025-05-31 21:15:56
su,Sundanese,Humanities Data Science,,,,,,2025-05-31 21:15:56
sv,Swedish,Humanities Data Science,Humanistiska datavetenskaper,,,,,2025-05-31 21:15:56
sw,Swahili,Humanities Data Science,Humans Data Science,,,,,2025-05-31 21:15:56
ta,Tamil,Humanities Data Science,,,,,,2025-05-31 21:15:56
te,Telugu,Humanities Data Science,,,,,,2025-05-31 21:15:56
tg,Tajik,Humanities Data Science,,,,,,2025-05-31 21:15:56
th,Thai,Humanities Data Science,,,,,,2025-05-31 21:15:56
ti,Tigrinya,Humanities Data Science,ስነ ፍልጠት ቶጋንያ,,,,,2025-05-31 21:15:56
tk,Turkmen,Humanities Data Science,,,,,,2025-05-31 21:15:56
tl,Tagalog,Humanities Data Science,Ang Siyensiya ay Inaalam ng mga Tao,,,,,2025-05-31 21:15:56
tn,Tswana,Humanities Data Science,Dilo Tse Batho Ba Nang Naso mo Saenseng,,,,,2025-05-31 21:15:56
to,Tonga,Humanities Data Science,"Tokanga'i "" e he Fa'ahinga "" o e Tangatá "" a e saienisí",,,,,2025-05-31 21:15:56
tr,Turkish,Humanities Data Science,,,,,,2025-05-31 21:15:56
ts,Tsonga,Humanities Data Science,Swilo Leswi Vanhu Va Swi Endlaka Leswaku Va Kuma Sayense,,,,,2025-05-31 21:15:56
tt,Tatar,Humanities Data Science,,,,,,2025-05-31 21:15:56
tw,Twi,Humanities Data Science,Nneɛma a Nnipa Ayɛ a Ɛne Nyansahu Hyia,,,,,2025-05-31 21:15:56
ty,Tahitian,Humanities Data Science,Te ite aivanaa o te taata,,,,,2025-05-31 21:15:56
ug,"Uighur, Uyghur",Humanities Data Science,,,,,,2025-05-31 21:15:56
uk,Ukrainian,Humanities Data Science,Наукові дані про гуманітарні процеси,,,,,2025-05-31 21:15:56
ur,Urdu,Humanities Data Science,انسانی کمزوریوں کی وجہ سے سائنس,,,,,2025-05-31 21:15:56
uz,Uzbek,Humanities Data Science,,,,,,2025-05-31 21:15:56
ve,Venda,Humanities Data Science,,,,,,2025-05-31 21:15:56
vi,Vietnamese,Humanities Data Science,Sự bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình,,,,,2025-05-31 21:15:56
vo,Volapük,Humanities Data Science,,,,,,2025-05-31 21:15:56
wa,Walloon,Humanities Data Science,,,,,,2025-05-31 21:15:56
wo,Wolof,Humanities Data Science,,,,,,2025-05-31 21:15:56
xh,Xhosa,Humanities Data Science,Inzululwazi yogcino-lwazi lomntu,,,,,2025-05-31 21:15:56
yi,Yiddish,Humanities Data Science,,,,,,2025-05-31 21:15:56
yo,Yoruba,Humanities Data Science,,,,,,2025-05-31 21:15:56
za,"Zhuang, Chuang",Humanities Data Science,,,,,,2025-05-31 21:15:56
zh,Chinese,Humanities Data Science,人文数据科学,,,,,2025-05-31 21:15:56
zu,Zulu,Humanities Data Science,,,,,,2025-05-31 21:15:56
