language_code,language_name,term_source,gt_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate
st,Southern Sotho,Digital Humanities,Botho ba Dijithale,,,2026-04-03 16:31:15,
su,Sundanese,Digital Humanities,Élmu Kamanusaan Digital,,,2026-04-03 16:31:15,
sv,Swedish,Digital Humanities,Digital humaniora,,,2026-04-03 16:31:15,
sw,Swahili,Digital Humanities,Binadamu Dijitali,,,2026-04-03 16:31:15,
ta,Tamil,Digital Humanities,டிஜிட்டல் மானுடவியல்,,,2026-04-03 16:31:15,
te,Telugu,Digital Humanities,డిజిటల్ హ్యుమానిటీస్,,,2026-04-03 16:31:15,
tg,Tajik,Digital Humanities,Гуманитаризми рақамӣ,,,2026-04-03 16:31:15,
th,Thai,Digital Humanities,มนุษยศาสตร์ดิจิทัล,,,2026-04-03 16:31:15,
ti,Tigrinya,Digital Humanities,ዲጂታል ሰብኣዊ ስነፍልጠት,,,2026-04-03 16:31:15,
li,Limburgish,Digital Humanities,Digitale geestesweitesjappe,,,2026-04-03 16:31:15,
lb,Luxembourgish,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,
ab,Abkhaz,Digital Humanities,Ацифратә гуманитартә ҵарақәа,,,2026-04-03 16:31:15,
dz,Dzongkha,Digital Humanities,དྲ་རྒྱའི་མི་རིགས།,,,2026-04-03 16:31:15,
co,Corsican,Digital Humanities,Umanità Digitale,,,2026-04-03 16:31:15,
cr,Cree,Digital Humanities,,,,2026-04-03 16:31:15,
cs,Czech,Digital Humanities,Digitální humanitní vědy,,,2026-04-03 16:31:15,
cu,Old Church Slavonic,Digital Humanities,,,,2026-04-03 16:31:15,
cv,Chuvash,Digital Humanities,Цифра гуманитари,,,2026-04-03 16:31:15,
cy,Welsh,Digital Humanities,Dyniaethau Digidol,,,2026-04-03 16:31:15,
da,Danish,Digital Humanities,Digitale humaniora,,,2026-04-03 16:31:15,
de,German,Digital Humanities,Digitale Geisteswissenschaften,,,2026-04-03 16:31:15,
dv,Divehi; Maldivian;,Digital Humanities,ދިރާގު ހިއުމަނިޓީސް އެވެ,,,2026-04-03 16:31:15,
ee,Ewe,Digital Humanities,Digitál Amegbetɔŋutinunya,,,2026-04-03 16:31:15,
la,Latin,Digital Humanities,Humanitates Digitales,,,2026-04-03 16:31:15,
el,"Greek, Modern",Digital Humanities,Ψηφιακές Ανθρωπιστικές Επιστήμες,,,2026-04-03 16:31:15,
en,English,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,
eo,Esperanto,Digital Humanities,Ciferecaj Homstudoj,,,2026-04-03 16:31:15,
es,Spanish; Castilian,Digital Humanities,Humanidades digitales,,,2026-04-03 16:31:15,
et,Estonian,Digital Humanities,Digitaalsed humanitaarteadused,,,2026-04-03 16:31:15,
eu,Basque,Digital Humanities,Humanitate Digitalak,,,2026-04-03 16:31:15,
fa,Persian,Digital Humanities,علوم انسانی دیجیتال,,,2026-04-03 16:31:15,
ff,Fula,Digital Humanities,Neɗɗaŋke Dijital,,,2026-04-03 16:31:15,
fi,Finnish,Digital Humanities,Digitaaliset humanistiset tieteet,,,2026-04-03 16:31:15,
ch,Chamorro,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,
ce,Chechen,Digital Humanities,Терахьийн гуманитаран Ӏилманаш,,,2026-04-03 16:31:15,
ca,Catalan; Valencian,Digital Humanities,Humanitats Digitals,,,2026-04-03 16:31:15,
bs,Bosnian,Digital Humanities,Digitalne humanističke nauke,,,2026-04-03 16:31:15,
ae,Avestan,Digital Humanities,,,,2026-04-03 16:31:15,
af,Afrikaans,Digital Humanities,Digitale Geesteswetenskappe,,,2026-04-03 16:31:15,
ak,Akan,Digital Humanities,Digitals Nnipa Ho Adesua,,,2026-04-03 16:31:15,
am,Amharic,Digital Humanities,ዲጂታል ሂውማኒቲስ,,,2026-04-03 16:31:15,
an,Aragonese,Digital Humanities,,,,2026-04-03 16:31:15,
ar,Arabic,Digital Humanities,العلوم الإنسانية الرقمية,,,2026-04-03 16:31:15,
as,Assamese,Digital Humanities,ডিজিটেল মানৱীয় বিজ্ঞান,,,2026-04-03 16:31:15,
av,Avaric,Digital Humanities,Цифралъулал гуманитариялин абулел,,,2026-04-03 16:31:15,
ay,Aymara,Digital Humanities,Humanidades Digitales uka tuqit yatxataña,,,2026-04-03 16:31:15,
az,Azerbaijani,Digital Humanities,Rəqəmsal Humanitar Elmlər,,,2026-04-03 16:31:15,
ba,Bashkir,Digital Humanities,Һанлы гуманитар фәндәр,,,2026-04-03 16:31:15,
be,Belarusian,Digital Humanities,Лічбавыя гуманітарныя навукі,,,2026-04-03 16:31:15,
bg,Bulgarian,Digital Humanities,Дигитални хуманитарни науки,,,2026-04-03 16:31:15,
bh,Bihari,Digital Humanities,डिजिटल मानविकी के बारे में बतावल गइल बा,,,2026-04-03 16:31:15,
bi,Bislama,Digital Humanities,,,,2026-04-03 16:31:15,
bm,Bambara,Digital Humanities,Hadamadenw ka dɔnniya nimɔrɔma,,,2026-04-03 16:31:15,
bn,Bengali,Digital Humanities,ডিজিটাল মানববিদ্যা,,,2026-04-03 16:31:15,
bo,Tibetan,Digital Humanities,གྲངས་འཛིན་མི་ཆོས་རིག་པ།,,,2026-04-03 16:31:15,
br,Breton,Digital Humanities,Skiantoù mab-den niverel,,,2026-04-03 16:31:15,
fj,Fijian,Digital Humanities,Digitaki ni tamata,,,2026-04-03 16:31:15,
fo,Faroese,Digital Humanities,Talgild hugvísindi,,,2026-04-03 16:31:15,
fr,French,Digital Humanities,Humanités numériques,,,2026-04-03 16:31:15,
io,Ido,Digital Humanities,,,,2026-04-03 16:31:15,
it,Italian,Digital Humanities,Discipline umanistiche digitali,,,2026-04-03 16:31:15,
iu,Inuktitut,Digital Humanities,ᖃᕆᑕᐅᔭᒃᑯᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,,,2026-04-03 16:31:15,
ja,Japanese,Digital Humanities,デジタルヒューマニティーズ,,,2026-04-03 16:31:15,
jv,Javanese,Digital Humanities,Humaniora Digital,,,2026-04-03 16:31:15,
ka,Georgian,Digital Humanities,ციფრული ჰუმანიტარული მეცნიერებები,,,2026-04-03 16:31:15,
kg,Kongo,Digital Humanities,Bantu ya Dijital,,,2026-04-03 16:31:15,
ki,"Kikuyu, Gikuyu",Digital Humanities,,,,2026-04-03 16:31:15,
kj,"Kwanyama, Kuanyama",Digital Humanities,,,,2026-04-03 16:31:15,
kk,Kazakh,Digital Humanities,Сандық гуманитарлық ғылымдар,,,2026-04-03 16:31:15,
kl,Kalaallisut,Digital Humanities,Digitalimik inuussutissarsiorneq,,,2026-04-03 16:31:15,
km,Khmer,Digital Humanities,មនុស្សសាស្ត្រឌីជីថល,,,2026-04-03 16:31:15,
kn,Kannada,Digital Humanities,ಡಿಜಿಟಲ್ ಮಾನವಿಕಗಳು,,,2026-04-03 16:31:15,
ko,Korean,Digital Humanities,디지털 인문학,,,2026-04-03 16:31:15,
kr,Kanuri,Digital Humanities,Ilmu adamganabe zamanbe,,,2026-04-03 16:31:15,
ks,Kashmiri,Digital Humanities,,,,2026-04-03 16:31:15,
ku,Kurdish,Digital Humanities,Mirovahiyên Dîjîtal,,,2026-04-03 16:31:15,
kv,Komi,Digital Humanities,Цифрӧвӧй гуманитарнӧй наукаяс,,,2026-04-03 16:31:15,
kw,Cornish,Digital Humanities,,,,2026-04-03 16:31:15,
ky,"Kirghiz, Kyrgyz",Digital Humanities,Санариптик гуманитардык илимдер,,,2026-04-03 16:31:15,
is,Icelandic,Digital Humanities,Stafræn hugvísindi,,,2026-04-03 16:31:15,
ik,Inupiaq,Digital Humanities,,,,2026-04-03 16:31:15,
fy,Western Frisian,Digital Humanities,Digitale Humaniora,,,2026-04-03 16:31:15,
ii,Nuosu,Digital Humanities,,,,2026-04-03 16:31:15,
ga,Irish,Digital Humanities,Daonnachtaí Digiteacha,,,2026-04-03 16:31:15,
gd,Scottish Gaelic,Digital Humanities,Daonnachdan Didseatach,,,2026-04-03 16:31:15,
gl,Galician,Digital Humanities,Humanidades Dixitais,,,2026-04-03 16:31:15,
gn,Guaraní,Digital Humanities,Humanidades Digitales rehegua,,,2026-04-03 16:31:15,
gu,Gujarati,Digital Humanities,ડિજિટલ હ્યુમેનિટીઝ,,,2026-04-03 16:31:15,
gv,Manx,Digital Humanities,Dooinney Digitagh,,,2026-04-03 16:31:15,
ha,Hausa,Digital Humanities,Dan Adam na Dijital,,,2026-04-03 16:31:15,
he,Hebrew (modern),Digital Humanities,מדעי הרוח הדיגיטליים,,,2026-04-03 16:31:15,
hi,Hindi,Digital Humanities,डिजिटल मानविकी,,,2026-04-03 16:31:15,
ho,Hiri Motu,Digital Humanities,,,,2026-04-03 16:31:15,
hr,Croatian,Digital Humanities,Digitalne humanističke znanosti,,,2026-04-03 16:31:15,
ht,Haitian,Digital Humanities,Syans Imanitè Dijital,,,2026-04-03 16:31:15,
hu,Hungarian,Digital Humanities,Digitális humán tudományok,,,2026-04-03 16:31:15,
hy,Armenian,Digital Humanities,Թվային հումանիտար գիտություններ,,,2026-04-03 16:31:15,
hz,Herero,Digital Humanities,,,,2026-04-03 16:31:15,
ia,Interlingua,Digital Humanities,,,,2026-04-03 16:31:15,
id,Indonesian,Digital Humanities,Humaniora Digital,,,2026-04-03 16:31:15,
ie,Interlingue,Digital Humanities,,,,2026-04-03 16:31:15,
ig,Igbo,Digital Humanities,Ụmụ mmadụ dijitalụ,,,2026-04-03 16:31:15,
zu,Zulu,Digital Humanities,I-Digital Humanities,,,2026-04-03 16:31:15,
als,Alemannic,Digital Humanities,Shkencat Humane Dixhitale,,,,
ang,Anglo-Saxon / Old English,Digital Humanities,,,,,
arc,Aramaic,Digital Humanities,,,,,
arz,Egyptian Arabic,Digital Humanities,,,,,
ast,Asturian,Digital Humanities,,,,,
awa,Awadhi,Digital Humanities,डिजिटल मानविकी,,,,
bar,Bavarian,Digital Humanities,,,,,
bat-smg,Samogitian,Digital Humanities,,,,,
bcl,Bikol,Digital Humanities,Digital Humanities,,,,
be-x-old,Belarusian (Taraškievica),Digital Humanities,Лічбавыя гуманітарныя навукі,,,,
bpy,Bishnupriya Manipuri,Digital Humanities,,,,,
brx,Boro,Digital Humanities,,,,,
bug,Buginese,Digital Humanities,,,,,
bxr,Buriat (Russia),Digital Humanities,Тоон хүнэй эрдэм ухаан,,,,
cdo,Min Dong Chinese,Digital Humanities,,,,,
ceb,Cebuano,Digital Humanities,Digital nga mga Humanidad,,,,
cho,Choctaw,Digital Humanities,,,,,
chr,Cherokee,Digital Humanities,,,,,
chy,Cheyenne,Digital Humanities,,,,,
ckb,Kurdish (Sorani),Digital Humanities,زانستە مرۆییە دیجیتاڵییەکان,,,,
csb,Kashubian,Digital Humanities,,,,,
diq,Dimli,Digital Humanities,,,,,
dsb,Lower Sorbian,Digital Humanities,,,,,
ext,Extremaduran,Digital Humanities,,,,,
fiu-vro,Võro,Digital Humanities,,,,,
frp,Arpitan / Franco-Provençal,Digital Humanities,,,,,
fur,Friulian,Digital Humanities,Lis siencis umanis digjitâls,,,,
gan,Gan Chinese,Digital Humanities,,,,,
gbm,Garhwali,Digital Humanities,,,,,
gil,Gilbertese,Digital Humanities,,,,,
got,Gothic,Digital Humanities,,,,,
hak,Hakka Chinese,Digital Humanities,,,,,
haw,Hawaiian,Digital Humanities,Nā Humanities Kikohoʻe,,,,
ilo,Ilokano,Digital Humanities,Digital a Humanities,,,,
inh,Ingush,Digital Humanities,,,,,
jbo,Lojban,Digital Humanities,,,,,
khw,Khowar,Digital Humanities,,,,,
ksh,Ripuarian,Digital Humanities,,,,,
lad,Ladino / Judeo-Spanish,Digital Humanities,,,,,
lan,Lango,Digital Humanities,,,,,
lij,Ligurian,Digital Humanities,Sciense umañe digitale,,,,
lmo,Lombard,Digital Humanities,Scienzi umanistich digitai,,,,
lzz,Laz,Digital Humanities,,,,,
man,Mandarin,Digital Humanities,,,,,
map-bms,Banyumasan,Digital Humanities,,,,,
min,Minangkabau,Digital Humanities,Kamanusiaan Digital,,,,
mo,Moldovan,Digital Humanities,Științe Umaniste Digitale,,,,
mrh,Mara,Digital Humanities,,,,,
mus,Creek / Muskogee,Digital Humanities,,,,,
mwl,Mirandese,Digital Humanities,,,,,
nah,Nahuatl,Digital Humanities,,,,,
nap,Neapolitan,Digital Humanities,,,,,
nds,Low German / Low Saxon,Digital Humanities,,,,,
nds-nl,Dutch Low Saxon,Digital Humanities,,,,,
new,Newar,Digital Humanities,डिजिटल मानविकी,,,,
nrm,Norman,Digital Humanities,,,,,
nso,Northern Sotho,Digital Humanities,Thuto ya Botho ya Dijithale,,,,
pag,Pangasinan,Digital Humanities,Digital Humanities,,,,
pam,Kapampangan,Digital Humanities,Digital Humanities,,,,
pap,Papiamentu,Digital Humanities,Humanidatnan Digital,,,,
pdc,Pennsylvania German,Digital Humanities,,,,,
pih,Norfolk,Digital Humanities,,,,,
pms,Piedmontese,Digital Humanities,,,,,
rmy,Romani,Digital Humanities,Digitalno Humaniàlo,,,,
roa-rup,Aromanian,Digital Humanities,,,,,
scn,Sicilian,Digital Humanities,Scienzi umanistichi diggitali,,,,
sco,Scots,Digital Humanities,,,,,
tet,Tetum,Digital Humanities,Umanidade Dijitál,,,,
tlh,Klingon,Digital Humanities,,,,,
tokipona,tokipona,Digital Humanities,,,,,
tpi,Tok Pisin,Digital Humanities,Dijitel Humanitis,,,,
tum,Tumbuka,Digital Humanities,Ŵanthu ŵa pa intaneti,,,,
udm,Udmurt,Digital Humanities,Цифровой гуманитарной наукаос,,,,
uz_AF,Uzbeki Afghanistan,Digital Humanities,,,,,
vec,Venetian,Digital Humanities,Siense umane digitałi,,,,
vls,West Flemish,Digital Humanities,,,,,
war,Waray / Samar-Leyte Visayan,Digital Humanities,Digital nga Katawhan,,,,
xal,Kalmyk,Digital Humanities,,,,,
xmf,Megrelian,Digital Humanities,,,,,
zh-classical,Classical Chinese,Digital Humanities,,,,,
zh-min-nan,Minnan,Digital Humanities,,,,,
zh-tw,Traditional Chinese,Digital Humanities,數位人文,,,,
zh-yue,Cantonese,Digital Humanities,數碼人文,,,,
