language_code,language_name,term_source,lingvanex_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex
nb,Norwegian Bokmål,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
nd,North Ndebele,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ne,Nepali,Digital Humanities,डिजिटल मानविकी,,,2026-04-03 16:31:15,,,,,
ng,Ndonga,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ln,Lingala,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
lo,Lao,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
lt,Lithuanian,Digital Humanities,Skaitmeniniai humanitariniai mokslai,,,2026-04-03 16:31:15,,,,,
lu,Luba-Katanga,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ml,Malayalam,Digital Humanities,ഡിജിറ്റൽ ഹ്യുമാനിറ്റീസ്,,,2026-04-03 16:31:15,,,,,
mg,Malagasy,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
mh,Marshallese,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
mi,Māori,Digital Humanities,Mamati Tangata,,,2026-04-03 16:31:15,,,,,
mk,Macedonian,Digital Humanities,Дигитални хуманистички науки,,,2026-04-03 16:31:15,,,,,
li,Limburgish,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
mn,Mongolian,Digital Humanities,Дижитал хүмүүнлэг,,,2026-04-03 16:31:15,,,,,
mr,Marathi (Marāṭhī),Digital Humanities,डिजिटल मानवता,,,2026-04-03 16:31:15,,,,,
ms,Malay,Digital Humanities,Kemanusiaan Digital,,,2026-04-03 16:31:15,,,,,
mt,Maltese,Digital Humanities,Umanistika Diġitali,,,2026-04-03 16:31:15,,,,,
sc,Sardinian,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
sd,Sindhi,Digital Humanities,ڊجيٽل انسانيت,,,2026-04-03 16:31:15,,,,,
se,Northern Sami,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
tn,Tswana,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
tr,Turkish,Digital Humanities,Dijital Beşeri Bilimler,,,2026-04-03 16:31:15,,,,,
ts,Tsonga,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
tt,Tatar,Digital Humanities,Санлы гуманитар,,,2026-04-03 16:31:15,,,,,
tw,Twi,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ty,Tahitian,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ug,"Uighur, Uyghur",Digital Humanities,رەقەملىك ئادىمىيەت,,,2026-04-03 16:31:15,,,,,
uk,Ukrainian,Digital Humanities,Цифрові гуманітарні,,,2026-04-03 16:31:15,,,,,
ur,Urdu,Digital Humanities,ڈیجیٹل ہیومینٹیز,,,2026-04-03 16:31:15,,,,,
uz,Uzbek,Digital Humanities,Raqamli gumanitar fanlar,,,2026-04-03 16:31:15,,,,,
ve,Venda,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
vi,Vietnamese,Digital Humanities,Nhân văn kỹ thuật số,,,2026-04-03 16:31:15,,,,,
vo,Volapük,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
wa,Walloon,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
wo,Wolof,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
xh,Xhosa,Digital Humanities,Ubuntu beDijithali,,,2026-04-03 16:31:15,,,,,
yi,Yiddish,Digital Humanities,דיגיטאַל הומאַניטיעס,,,2026-04-03 16:31:15,,,,,
yo,Yoruba,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
za,"Zhuang, Chuang",Digital Humanities,,,,2026-04-03 16:31:15,,,,,
zh,Chinese,Digital Humanities,数字人文,,,2026-04-03 16:31:15,,,,,
to,Tonga,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
tl,Tagalog,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
sg,Sango,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
tk,Turkmen,Digital Humanities,Sanly gumanitar ylymlar,,,2026-04-03 16:31:15,,,,,
sh,Serbo-Crotian,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
si,"Sinhala, Sinhalese",Digital Humanities,ඩිජිටල් මානව ශාස්ත්ර,,,2026-04-03 16:31:15,,,,,
sk,Slovak,Digital Humanities,Digitálne humanitné vedy,,,2026-04-03 16:31:15,,,,,
sl,Slovene,Digital Humanities,Digitalna humanistika,,,2026-04-03 16:31:15,,,,,
sm,Samoan,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
sn,Shona,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
so,Somali,Digital Humanities,Bani'aadamnimada Dijital ah,,,2026-04-03 16:31:15,,,,,
sq,Albanian,Digital Humanities,Shkenca Humane Dixhitale,,,2026-04-03 16:31:15,,,,,
sr,Serbian,Digital Humanities,Дигиталне Хуманистичке,,,2026-04-03 16:31:15,,,,,
ss,Swati,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
st,Southern Sotho,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
su,Sundanese,Digital Humanities,Kamanusaan Digital,,,2026-04-03 16:31:15,,,,,
sv,Swedish,Digital Humanities,Digital humaniora,,,2026-04-03 16:31:15,,,,,
sw,Swahili,Digital Humanities,Binadamu Dijiti,,,2026-04-03 16:31:15,,,,,
ta,Tamil,Digital Humanities,டிஜிட்டல் மனிதநேயம்,,,2026-04-03 16:31:15,,,,,
te,Telugu,Digital Humanities,డిజిటల్ హ్యుమానిటీస్,,,2026-04-03 16:31:15,,,,,
tg,Tajik,Digital Humanities,Гуманитарии рақамӣ,,,2026-04-03 16:31:15,,,,,
th,Thai,Digital Humanities,มนุษยศาสตร์ดิจิทัล,,,2026-04-03 16:31:15,,,,,
ti,Tigrinya,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
lv,Latvian,Digital Humanities,Digitālās humanitārās zinātnes,,,2026-04-03 16:31:15,,,,,
lb,Luxembourgish,Digital Humanities,Digital Geeschteswëssenschaft,,,2026-04-03 16:31:15,,,,,
an,Aragonese,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
cv,Chuvash,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
et,Estonian,Digital Humanities,Digitaalhumanitaaria,,,2026-04-03 16:31:15,,,,,
eu,Basque,Digital Humanities,Humanitate Digitalak,,,2026-04-03 16:31:15,,,,,
fa,Persian,Digital Humanities,علوم انسانی دیجیتال,,,2026-04-03 16:31:15,,,,,
ff,Fula,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
fi,Finnish,Digital Humanities,Digitaaliset humanistiset tieteet,,,2026-04-03 16:31:15,,,,,
co,Corsican,Digital Humanities,Umanità digitale,,,2026-04-03 16:31:15,,,,,
cr,Cree,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
cs,Czech,Digital Humanities,Digitální humanitní vědy,,,2026-04-03 16:31:15,,,,,
cu,Old Church Slavonic,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ee,Ewe,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
cy,Welsh,Digital Humanities,Dyniaethau Digidol,,,2026-04-03 16:31:15,,,,,
da,Danish,Digital Humanities,Digital humaniora,,,2026-04-03 16:31:15,,,,,
de,German,Digital Humanities,Digitale Geisteswissenschaften,,,2026-04-03 16:31:15,,,,,
dv,Divehi; Maldivian;,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
dz,Dzongkha,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
la,Latin,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
el,"Greek, Modern",Digital Humanities,Ψηφιακές Ανθρωπιστικές Επιστήμες,,,2026-04-03 16:31:15,,,,,
en,English,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
eo,Esperanto,Digital Humanities,Ciferecaj Homaroj,,,2026-04-03 16:31:15,,,,,
es,Spanish; Castilian,Digital Humanities,Humanidades digitales,,,2026-04-03 16:31:15,,,,,
ch,Chamorro,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ce,Chechen,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ca,Catalan; Valencian,Digital Humanities,Humanitats Digitals,,,2026-04-03 16:31:15,,,,,
bi,Bislama,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
bm,Bambara,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
bn,Bengali,Digital Humanities,ডিজিটাল মানবিক,,,2026-04-03 16:31:15,,,,,
bo,Tibetan,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
br,Breton,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
bs,Bosnian,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
ae,Avestan,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
af,Afrikaans,Digital Humanities,Digitale Geesteswetenskappe,,,2026-04-03 16:31:15,,,,,
ak,Akan,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
am,Amharic,Digital Humanities,ዲጂታል ሰብአዊነት,,,2026-04-03 16:31:15,,,,,
az,Azerbaijani,Digital Humanities,Rəqəmsal humanitar elmlər,,,2026-04-03 16:31:15,,,,,
ar,Arabic,Digital Humanities,العلوم الإنسانية الرقمية,,,2026-04-03 16:31:15,,,,,
as,Assamese,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
av,Avaric,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ay,Aymara,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ab,Abkhaz,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ba,Bashkir,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
be,Belarusian,Digital Humanities,Лічбавыя гуманітарныя навукі,,,2026-04-03 16:31:15,,,,,
bg,Bulgarian,Digital Humanities,Дигитални хуманитарни науки,,,2026-04-03 16:31:15,,,,,
bh,Bihari,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
fj,Fijian,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
fo,Faroese,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
fr,French,Digital Humanities,Humanités numériques,,,2026-04-03 16:31:15,,,,,
io,Ido,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
it,Italian,Digital Humanities,Scienze umanistiche digitali,,,2026-04-03 16:31:15,,,,,
iu,Inuktitut,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ja,Japanese,Digital Humanities,デジタル人文学,,,2026-04-03 16:31:15,,,,,
jv,Javanese,Digital Humanities,Kamanungsan Digital,,,2026-04-03 16:31:15,,,,,
ka,Georgian,Digital Humanities,ციფრული ჰუმანიტარული,,,2026-04-03 16:31:15,,,,,
kg,Kongo,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ki,"Kikuyu, Gikuyu",Digital Humanities,,,,2026-04-03 16:31:15,,,,,
kj,"Kwanyama, Kuanyama",Digital Humanities,,,,2026-04-03 16:31:15,,,,,
kk,Kazakh,Digital Humanities,Сандық гуманитарлық ғылымдар,,,2026-04-03 16:31:15,,,,,
kl,Kalaallisut,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
km,Khmer,Digital Humanities,មនុស្សធម៌ឌីជីថល។,,,2026-04-03 16:31:15,,,,,
kn,Kannada,Digital Humanities,ಡಿಜಿಟಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,,,2026-04-03 16:31:15,,,,,
ko,Korean,Digital Humanities,디지털 인문학,,,2026-04-03 16:31:15,,,,,
kr,Kanuri,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ks,Kashmiri,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ku,Kurdish,Digital Humanities,Humanities dîjîtal,,,2026-04-03 16:31:15,,,,,
kv,Komi,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
kw,Cornish,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ky,"Kirghiz, Kyrgyz",Digital Humanities,Санариптик гуманитардык илимдер,,,2026-04-03 16:31:15,,,,,
is,Icelandic,Digital Humanities,Stafræn hugvísindi,,,2026-04-03 16:31:15,,,,,
ik,Inupiaq,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
fy,Western Frisian,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
ii,Nuosu,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ga,Irish,Digital Humanities,Daonnachtaí Digiteacha,,,2026-04-03 16:31:15,,,,,
gd,Scottish Gaelic,Digital Humanities,Daonnachdan Didseatach,,,2026-04-03 16:31:15,,,,,
gl,Galician,Digital Humanities,Humanidades Dixitais,,,2026-04-03 16:31:15,,,,,
gn,Guaraní,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
gu,Gujarati,Digital Humanities,ડિજિટલ માનવતા,,,2026-04-03 16:31:15,,,,,
gv,Manx,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ha,Hausa,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
he,Hebrew (modern),Digital Humanities,מדעי הרוח הדיגיטליים,,,2026-04-03 16:31:15,,,,,
hi,Hindi,Digital Humanities,डिजिटल मानविकी,,,2026-04-03 16:31:15,,,,,
ho,Hiri Motu,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
hr,Croatian,Digital Humanities,Digitalne humanističke znanosti,,,2026-04-03 16:31:15,,,,,
ht,Haitian,Digital Humanities,Syans imanitè dijital,,,2026-04-03 16:31:15,,,,,
hu,Hungarian,Digital Humanities,Digitális Bölcsészet,,,2026-04-03 16:31:15,,,,,
hy,Armenian,Digital Humanities,Թվային հումանիտար գիտություններ,,,2026-04-03 16:31:15,,,,,
hz,Herero,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ia,Interlingua,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
id,Indonesian,Digital Humanities,Digital Humaniora,,,2026-04-03 16:31:15,,,,,
ie,Interlingue,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ig,Igbo,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
zu,Zulu,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
als,Alemannic,Digital Humanities,,,,,,,,,
ang,Anglo-Saxon / Old English,Digital Humanities,,,,,,,,,
arc,Aramaic,Digital Humanities,,,,,,,,,
arz,Egyptian Arabic,Digital Humanities,,,,,,,,,
ast,Asturian,Digital Humanities,,,,,,,,,
awa,Awadhi,Digital Humanities,,,,,,,,,
bar,Bavarian,Digital Humanities,,,,,,,,,
bat-smg,Samogitian,Digital Humanities,,,,,,,,,
bcl,Bikol,Digital Humanities,,,,,,,,,
be-x-old,Belarusian (Taraškievica),Digital Humanities,,,,,,,,,
bpy,Bishnupriya Manipuri,Digital Humanities,,,,,,,,,
brx,Boro,Digital Humanities,,,,,,,,,
bug,Buginese,Digital Humanities,,,,,,,,,
bxr,Buriat (Russia),Digital Humanities,,,,,,,,,
cdo,Min Dong Chinese,Digital Humanities,,,,,,,,,
ceb,Cebuano,Digital Humanities,Digital Humanities,,,,,,,,
cho,Choctaw,Digital Humanities,,,,,,,,,
chr,Cherokee,Digital Humanities,,,,,,,,,
chy,Cheyenne,Digital Humanities,,,,,,,,,
ckb,Kurdish (Sorani),Digital Humanities,,,,,,,,,
csb,Kashubian,Digital Humanities,,,,,,,,,
diq,Dimli,Digital Humanities,,,,,,,,,
dsb,Lower Sorbian,Digital Humanities,,,,,,,,,
ext,Extremaduran,Digital Humanities,,,,,,,,,
fiu-vro,Võro,Digital Humanities,,,,,,,,,
frp,Arpitan / Franco-Provençal,Digital Humanities,,,,,,,,,
fur,Friulian,Digital Humanities,,,,,,,,,
gan,Gan Chinese,Digital Humanities,,,,,,,,,
gbm,Garhwali,Digital Humanities,,,,,,,,,
gil,Gilbertese,Digital Humanities,,,,,,,,,
got,Gothic,Digital Humanities,,,,,,,,,
hak,Hakka Chinese,Digital Humanities,,,,,,,,,
haw,Hawaiian,Digital Humanities,Digital Humanities,,,,,,,,
ilo,Ilokano,Digital Humanities,,,,,,,,,
inh,Ingush,Digital Humanities,,,,,,,,,
jbo,Lojban,Digital Humanities,,,,,,,,,
khw,Khowar,Digital Humanities,,,,,,,,,
ksh,Ripuarian,Digital Humanities,,,,,,,,,
lad,Ladino / Judeo-Spanish,Digital Humanities,,,,,,,,,
lan,Lango,Digital Humanities,,,,,,,,,
lij,Ligurian,Digital Humanities,,,,,,,,,
lmo,Lombard,Digital Humanities,,,,,,,,,
lzz,Laz,Digital Humanities,,,,,,,,,
man,Mandarin,Digital Humanities,,,,,,,,,
map-bms,Banyumasan,Digital Humanities,,,,,,,,,
min,Minangkabau,Digital Humanities,,,,,,,,,
mo,Moldovan,Digital Humanities,,,,,,,,,
mrh,Mara,Digital Humanities,,,,,,,,,
mus,Creek / Muskogee,Digital Humanities,,,,,,,,,
mwl,Mirandese,Digital Humanities,,,,,,,,,
nah,Nahuatl,Digital Humanities,,,,,,,,,
nap,Neapolitan,Digital Humanities,,,,,,,,,
nds,Low German / Low Saxon,Digital Humanities,,,,,,,,,
nds-nl,Dutch Low Saxon,Digital Humanities,,,,,,,,,
new,Newar,Digital Humanities,,,,,,,,,
nrm,Norman,Digital Humanities,,,,,,,,,
nso,Northern Sotho,Digital Humanities,,,,,,,,,
pag,Pangasinan,Digital Humanities,,,,,,,,,
pam,Kapampangan,Digital Humanities,,,,,,,,,
pap,Papiamentu,Digital Humanities,,,,,,,,,
pdc,Pennsylvania German,Digital Humanities,,,,,,,,,
pih,Norfolk,Digital Humanities,,,,,,,,,
pms,Piedmontese,Digital Humanities,,,,,,,,,
rmy,Romani,Digital Humanities,,,,,,,,,
roa-rup,Aromanian,Digital Humanities,,,,,,,,,
scn,Sicilian,Digital Humanities,,,,,,,,,
sco,Scots,Digital Humanities,,,,,,,,,
tet,Tetum,Digital Humanities,,,,,,,,,
tlh,Klingon,Digital Humanities,,,,,,,,,
tokipona,tokipona,Digital Humanities,,,,,,,,,
tpi,Tok Pisin,Digital Humanities,,,,,,,,,
tum,Tumbuka,Digital Humanities,,,,,,,,,
udm,Udmurt,Digital Humanities,,,,,,,,,
uz_AF,Uzbeki Afghanistan,Digital Humanities,,,,,,,,,
vec,Venetian,Digital Humanities,,,,,,,,,
vls,West Flemish,Digital Humanities,,,,,,,,,
war,Waray / Samar-Leyte Visayan,Digital Humanities,,,,,,,,,
xal,Kalmyk,Digital Humanities,,,,,,,,,
xmf,Megrelian,Digital Humanities,,,,,,,,,
zh-classical,Classical Chinese,Digital Humanities,,,,,,,,,
zh-min-nan,Minnan,Digital Humanities,,,,,,,,,
zh-tw,Traditional Chinese,Digital Humanities,數位人文,,,,,,,,
zh-yue,Cantonese,Digital Humanities,,,,,,,,,
