language_code,language_name,term_source,enmt_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt
my,Burmese,Digital Humanities,,,,2026-04-03 16:31:15,,,
ar,Arabic,Digital Humanities,العلوم البشرية,,,2026-04-03 16:31:15,,,
gl,Galician,Digital Humanities,Humanos dixitais,,,2026-04-03 16:31:15,,,
fa,Persian,Digital Humanities,,,,2026-04-03 16:31:15,,,
ff,Fula,Digital Humanities,,,,2026-04-03 16:31:15,,,
fi,Finnish,Digital Humanities,Digitaaliset humanistiset tieteet,,,2026-04-03 16:31:15,,,
fj,Fijian,Digital Humanities,Cata na iTovo ni Tamata,,,2026-04-03 16:31:15,,,
fo,Faroese,Digital Humanities,,,,2026-04-03 16:31:15,,,
fr,French,Digital Humanities,Humanités numériques,,,2026-04-03 16:31:15,,,
fy,Western Frisian,Digital Humanities,,,,2026-04-03 16:31:15,,,
ga,Irish,Digital Humanities,Daonnachtaí Digiteacha,,,2026-04-03 16:31:15,,,
gd,Scottish Gaelic,Digital Humanities,,,,2026-04-03 16:31:15,,,
gn,Guaraní,Digital Humanities,,,,2026-04-03 16:31:15,,,
mt,Maltese,Digital Humanities,L-istudji umanistiċi diġitali,,,2026-04-03 16:31:15,,,
gu,Gujarati,Digital Humanities,,,,2026-04-03 16:31:15,,,
gv,Manx,Digital Humanities,Aghtyn mair-chlaa,,,2026-04-03 16:31:15,,,
ha,Hausa,Digital Humanities,KCharselect unicode block name,,,2026-04-03 16:31:15,,,
he,Hebrew (modern),Digital Humanities,Humanital Humanities,,,2026-04-03 16:31:15,,,
hi,Hindi,Digital Humanities,डिजिटल मानवता,,,2026-04-03 16:31:15,,,
ho,Hiri Motu,Digital Humanities,NOVEMBER 3 - 5,,,2026-04-03 16:31:15,,,
hr,Croatian,Digital Humanities,,,,2026-04-03 16:31:15,,,
ht,Haitian,Digital Humanities,Reflechi sou fason lèzòm pral viv,,,2026-04-03 16:31:15,,,
hu,Hungarian,Digital Humanities,Digitális bölcsészettudományok,,,2026-04-03 16:31:15,,,
eu,Basque,Digital Humanities,Gizatasun digitalak,,,2026-04-03 16:31:15,,,
et,Estonian,Digital Humanities,Digitaalsed humanitaarteadused,,,2026-04-03 16:31:15,,,
es,Spanish; Castilian,Digital Humanities,Humanidades digitales,,,2026-04-03 16:31:15,,,
eo,Esperanto,Digital Humanities,Ciferecaj homoj,,,2026-04-03 16:31:15,,,
az,Azerbaijani,Digital Humanities,İnsaniyyətləri,,,2026-04-03 16:31:15,,,
bg,Bulgarian,Digital Humanities,(Средредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредред,,,2026-04-03 16:31:15,,,
bi,Bislama,Digital Humanities,Ol Fasin Blong Man We Oli No Isi,,,2026-04-03 16:31:15,,,
ca,Catalan; Valencian,Digital Humanities,Humanitats digitals,,,2026-04-03 16:31:15,,,
ce,Chechen,Digital Humanities,,,,2026-04-03 16:31:15,,,
ch,Chamorro,Digital Humanities,,,,2026-04-03 16:31:15,,,
co,Corsican,Digital Humanities,,,,2026-04-03 16:31:15,,,
cr,Cree,Digital Humanities,,,,2026-04-03 16:31:15,,,
cs,Czech,Digital Humanities,Digitální humanity,,,2026-04-03 16:31:15,,,
cu,Old Church Slavonic,Digital Humanities,,,,2026-04-03 16:31:15,,,
cv,Chuvash,Digital Humanities,,,,2026-04-03 16:31:15,,,
cy,Welsh,Digital Humanities,"Person UnigolCity name (optional, probably does not need a translation)",,,2026-04-03 16:31:15,,,
da,Danish,Digital Humanities,Digitale humaniora,,,2026-04-03 16:31:15,,,
de,German,Digital Humanities,Digitale Geisteswissenschaften,,,2026-04-03 16:31:15,,,
dv,Divehi; Maldivian;,Digital Humanities,,,,2026-04-03 16:31:15,,,
dz,Dzongkha,Digital Humanities,,,,2026-04-03 16:31:15,,,
ee,Ewe,Digital Humanities,Internet Dzi Nu Siwo Gbɔ Míaƒe Ŋutete Ŋu Tsoe,,,2026-04-03 16:31:15,,,
el,"Greek, Modern",Digital Humanities,Ψηφιακές Ανθρωπιστικές Επιστήμες,,,2026-04-03 16:31:15,,,
en,English,Digital Humanities,,,,2026-04-03 16:31:15,,,
hy,Armenian,Digital Humanities,Դժբախտ մարդիկ,,,2026-04-03 16:31:15,,,
hz,Herero,Digital Humanities,,,,2026-04-03 16:31:15,,,
ia,Interlingua,Digital Humanities,,,,2026-04-03 16:31:15,,,
ku,Kurdish,Digital Humanities,,,,2026-04-03 16:31:15,,,
kw,Cornish,Digital Humanities,,,,2026-04-03 16:31:15,,,
ky,"Kirghiz, Kyrgyz",Digital Humanities,,,,2026-04-03 16:31:15,,,
la,Latin,Digital Humanities,,,,2026-04-03 16:31:15,,,
lb,Luxembourgish,Digital Humanities,,,,2026-04-03 16:31:15,,,
lg,Luganda,Digital Humanities,Obusobozi bw'Abantu,,,2026-04-03 16:31:15,,,
li,Limburgish,Digital Humanities,,,,2026-04-03 16:31:15,,,
ln,Lingala,Digital Humanities,Biloko oyo bato bazali na yango,,,2026-04-03 16:31:15,,,
lo,Lao,Digital Humanities,,,,2026-04-03 16:31:15,,,
lt,Lithuanian,Digital Humanities,,,,2026-04-03 16:31:15,,,
lu,Luba-Katanga,Digital Humanities,BISHINTE BYA KWIFUNDA,,,2026-04-03 16:31:15,,,
lv,Latvian,Digital Humanities,,,,2026-04-03 16:31:15,,,
mg,Malagasy,Digital Humanities,Maha-olombelona nomerika,,,2026-04-03 16:31:15,,,
mh,Marshallese,Digital Humanities,Ta ko Rej Wal̦o̦k ñan Armej?,,,2026-04-03 16:31:15,,,
mi,Māori,Digital Humanities,,,,2026-04-03 16:31:15,,,
mk,Macedonian,Digital Humanities,Дигитални хуманости,,,2026-04-03 16:31:15,,,
ml,Malayalam,Digital Humanities,മാനവരാശി,,,2026-04-03 16:31:15,,,
mn,Mongolian,Digital Humanities,,,,2026-04-03 16:31:15,,,
mr,Marathi (Marāṭhī),Digital Humanities,मानवी क्षमता,,,2026-04-03 16:31:15,,,
ms,Malay,Digital Humanities,,,,2026-04-03 16:31:15,,,
kv,Komi,Digital Humanities,,,,2026-04-03 16:31:15,,,
ks,Kashmiri,Digital Humanities,,,,2026-04-03 16:31:15,,,
id,Indonesian,Digital Humanities,Humanities Digital,,,2026-04-03 16:31:15,,,
kr,Kanuri,Digital Humanities,,,,2026-04-03 16:31:15,,,
ie,Interlingue,Digital Humanities,,,,2026-04-03 16:31:15,,,
ig,Igbo,Digital Humanities,Ihe Ùgwù Ụmụ Mmadụ,,,2026-04-03 16:31:15,,,
ii,Nuosu,Digital Humanities,,,,2026-04-03 16:31:15,,,
ik,Inupiaq,Digital Humanities,,,,2026-04-03 16:31:15,,,
io,Ido,Digital Humanities,,,,2026-04-03 16:31:15,,,
is,Icelandic,Digital Humanities,Stafræn mannvera,,,2026-04-03 16:31:15,,,
it,Italian,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,
iu,Inuktitut,Digital Humanities,,,,2026-04-03 16:31:15,,,
ja,Japanese,Digital Humanities,,,,2026-04-03 16:31:15,,,
jv,Javanese,Digital Humanities,,,,2026-04-03 16:31:15,,,
ka,Georgian,Digital Humanities,,,,2026-04-03 16:31:15,,,
kg,Kongo,Digital Humanities,Mambu ya Mfunu Yina Bantu Ketudilaka Ntima,,,2026-04-03 16:31:15,,,
ki,"Kikuyu, Gikuyu",Digital Humanities,,,,2026-04-03 16:31:15,,,
kj,"Kwanyama, Kuanyama",Digital Humanities,Kala u na etaleko liwa li na sha novanhu,,,2026-04-03 16:31:15,,,
kk,Kazakh,Digital Humanities,,,,2026-04-03 16:31:15,,,
kl,Kalaallisut,Digital Humanities,,,,2026-04-03 16:31:15,,,
km,Khmer,Digital Humanities,,,,2026-04-03 16:31:15,,,
kn,Kannada,Digital Humanities,,,,2026-04-03 16:31:15,,,
ko,Korean,Digital Humanities,,,,2026-04-03 16:31:15,,,
bs,Bosnian,Digital Humanities,,,,2026-04-03 16:31:15,False,Digitalne humanističke nauke,True
als,Alemannic,Digital Humanities,,,,,,,
ang,Anglo-Saxon / Old English,Digital Humanities,,,,,,,
arc,Aramaic,Digital Humanities,,,,,,,
arz,Egyptian Arabic,Digital Humanities,,,,,,,
ast,Asturian,Digital Humanities,,,,,,,
awa,Awadhi,Digital Humanities,,,,,,,
bar,Bavarian,Digital Humanities,,,,,,,
bat-smg,Samogitian,Digital Humanities,,,,,,,
bcl,Bikol,Digital Humanities,Mga Pag - eksister nin Tawo,,,,,,
be-x-old,Belarusian (Taraškievica),Digital Humanities,,,,,,,
bpy,Bishnupriya Manipuri,Digital Humanities,,,,,,,
brx,Boro,Digital Humanities,,,,,,,
bug,Buginese,Digital Humanities,,,,,,,
bxr,Buriat (Russia),Digital Humanities,,,,,,,
cdo,Min Dong Chinese,Digital Humanities,,,,,,,
ceb,Cebuano,Digital Humanities,Digital nga mga Tawhanon,,,,,,
cho,Choctaw,Digital Humanities,,,,,,,
chr,Cherokee,Digital Humanities,,,,,,,
chy,Cheyenne,Digital Humanities,,,,,,,
ckb,Kurdish (Sorani),Digital Humanities,,,,,,,
csb,Kashubian,Digital Humanities,,,,,,,
diq,Dimli,Digital Humanities,,,,,,,
dsb,Lower Sorbian,Digital Humanities,,,,,,,
ext,Extremaduran,Digital Humanities,,,,,,,
fiu-vro,Võro,Digital Humanities,,,,,,,
frp,Arpitan / Franco-Provençal,Digital Humanities,,,,,,,
fur,Friulian,Digital Humanities,,,,,,,
gan,Gan Chinese,Digital Humanities,,,,,,,
gbm,Garhwali,Digital Humanities,,,,,,,
gil,Gilbertese,Digital Humanities,Aroia Aomata n Tokanikai i Aoni Bwaai ni Kabane,,,,,,
got,Gothic,Digital Humanities,,,,,,,
hak,Hakka Chinese,Digital Humanities,,,,,,,
haw,Hawaiian,Digital Humanities,,,,,,,
ilo,Ilokano,Digital Humanities,Digital Humanies,,,,,,
inh,Ingush,Digital Humanities,,,,,,,
jbo,Lojban,Digital Humanities,,,,,,,
khw,Khowar,Digital Humanities,,,,,,,
ksh,Ripuarian,Digital Humanities,,,,,,,
lad,Ladino / Judeo-Spanish,Digital Humanities,,,,,,,
lan,Lango,Digital Humanities,,,,,,,
lij,Ligurian,Digital Humanities,,,,,,,
lmo,Lombard,Digital Humanities,,,,,,,
lzz,Laz,Digital Humanities,,,,,,,
man,Mandarin,Digital Humanities,,,,,,,
map-bms,Banyumasan,Digital Humanities,,,,,,,
min,Minangkabau,Digital Humanities,,,,,,,
mo,Moldovan,Digital Humanities,,,,,,,
mrh,Mara,Digital Humanities,,,,,,,
mus,Creek / Muskogee,Digital Humanities,,,,,,,
mwl,Mirandese,Digital Humanities,,,,,,,
nah,Nahuatl,Digital Humanities,,,,,,,
nap,Neapolitan,Digital Humanities,,,,,,,
nds,Low German / Low Saxon,Digital Humanities,,,,,,,
nds-nl,Dutch Low Saxon,Digital Humanities,,,,,,,
new,Newar,Digital Humanities,,,,,,,
nrm,Norman,Digital Humanities,,,,,,,
nso,Northern Sotho,Digital Humanities,Ditekanyo tša Batho,,,,,,
pag,Pangasinan,Digital Humanities,Saray Manangiyabawag na Too,,,,,,
pam,Kapampangan,Digital Humanities,,,,,,,
pap,Papiamentu,Digital Humanities,Di Con Asina Tantu Cos Humano,,,,,,
pdc,Pennsylvania German,Digital Humanities,,,,,,,
pih,Norfolk,Digital Humanities,,,,,,,
pms,Piedmontese,Digital Humanities,,,,,,,
rmy,Romani,Digital Humanities,,,,,,,
roa-rup,Aromanian,Digital Humanities,,,,,,,
scn,Sicilian,Digital Humanities,,,,,,,
sco,Scots,Digital Humanities,,,,,,,
tet,Tetum,Digital Humanities,,,,,,,
tlh,Klingon,Digital Humanities,,,,,,,
tokipona,tokipona,Digital Humanities,,,,,,,
tpi,Tok Pisin,Digital Humanities,Ol Samting Ol Man i Mekim,,,,,,
tum,Tumbuka,Digital Humanities,,,,,,,
udm,Udmurt,Digital Humanities,,,,,,,
uz_AF,Uzbeki Afghanistan,Digital Humanities,,,,,,,
vec,Venetian,Digital Humanities,,,,,,,
vls,West Flemish,Digital Humanities,,,,,,,
war,Waray / Samar-Leyte Visayan,Digital Humanities,,,,,,,
xal,Kalmyk,Digital Humanities,,,,,,,
xmf,Megrelian,Digital Humanities,,,,,,,
zh-classical,Classical Chinese,Digital Humanities,,,,,,,
zh-min-nan,Minnan,Digital Humanities,,,,,,,
zh-tw,Traditional Chinese,Digital Humanities,,,,,,,
zh-yue,Cantonese,Digital Humanities,,,,,,,
