error_date,error_url,status_code,term_source,language_code,openai_translated_term
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,kpy,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ryu,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,kwk,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lep,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lil,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lki,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lol,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lsm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lwl,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,mde,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,mdt,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,mgy,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,mns,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ude,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,see,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ttt,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,unx,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,wbp,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,xlc,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,xld,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,xsr,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,yao,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,yrk,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,zap,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,kjg,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,zbl,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,xpr,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,sbp,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,tsi,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,trv,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,sef,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,sei,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,sid,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,slh,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,sly,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,tsd,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,str,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,tce,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,tdh,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ter,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,tgx,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,tht,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,tli,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,kht,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,aro,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,kdt,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ae,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,agq,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,akz,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,amo,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,arc,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,arw,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,xcr,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,bej,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,bhi,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,bku,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,blo,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,blt,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,bvb,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,bzx,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,bfd,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,cad,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,zen,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,see also: test languages at the Wikimedia Incubator,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,scs,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,sad,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,nij,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,syi,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,mdr,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,evn,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ttm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,xmr,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lab,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,kut,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lcp,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,kho,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,cch,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,chg,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hax,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hdn,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hit,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hmd,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hnn,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hoc,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hai,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hoj,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hup,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hur,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ife,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,jgo,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,jmc,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,jut,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,hop,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,chb,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,gon,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,frs,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,chp,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,chy,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,cja,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,cjm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ckt,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,clc,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,fvr,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,crm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,dnj,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,dtm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,eka,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,elx,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ett,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,fia,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,den,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,zun,
