language_code,language_name,local_name,iso639_1,iso639_2_t,iso639_2_b,scripts,script_codes,primary_script,primary_script_code,directionality,directionality_wikimedia,modern_language,is_official,n_scripts,in_iso639_1,in_iso639_2,in_wikimedia,is_group_iso639_2,sources,cldr_version,iso639_5_direct,iso639_5_family,family_name,subfamily_name,family_name_reconciled,coding_dh_date_added,coding_dh_date_last_seen,project_language_code,wikimedia_code,bcp47_tag,bcp47_source,bcp47_note,bcp47_is_project_code,service_code_candidates,google_nmt_code,google_nmt_supported,google_translation_llm_code,google_translation_llm_supported,family_name_reconciled_pre_review,family_name_reconciled_reviewed,family_review_source,family_review_notes,family_name_analysis,family_name_analysis_source
aln,Gheg Albanian,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sqj,sqj,Albanian languages,Albanian languages,Albanian languages,2026-04-22,2026-06-15,aln,,aln,language_code,,True,aln,,False,,False,Albanian languages,Albanian languages,family_reconciliation_reviewed:iso_glottolog_pair,,Albanian languages,family_analysis_mapping_reviewed.csv
als,Alemannic,Alemannisch,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,gem,ine,Indo-European languages,Germanic languages,Indo-European languages,2026-04-22,2026-06-15,als,als,als,language_code,,True,als,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
alt,Southern Altai,,,alt,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,trk,tut,Altaic languages,Turkic languages,Turkic,2026-04-22,2026-06-15,alt,,alt,iso639_2_t,,True,alt,,False,,False,Turkic,Turkic,family_reconciliation_reviewed:iso_glottolog_pair,,Turkic,family_analysis_mapping_reviewed.csv
am,Amharic,አማርኛ,am,amh,,Ethi,Ethi,Ethi,Ethi,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,am,am,am,iso639_1,,True,am|amh,am,True,am,True,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
amo,Amo,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Atlantic-Congo,2026-04-22,2026-06-15,amo,,amo,language_code,,True,amo,,False,,False,Atlantic-Congo,Atlantic-Congo,family_reconciliation_reviewed:iso_glottolog_pair,,Atlantic-Congo,family_analysis_mapping_reviewed.csv
an,Aragonese,Aragonés,an,arg,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages,Indo-European languages,2026-04-22,2026-06-15,an,an,an,iso639_1,,True,arg|an,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
ang,Old English,Angal Heneng,,ang,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages,Indo-European languages,2026-04-22,2026-06-15,ang,ang,ang,iso639_2_t,,True,ang,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
ann,Obolo,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Atlantic-Congo,2026-04-22,2026-06-15,ann,,ann,language_code,,True,ann,,False,,False,Atlantic-Congo,Atlantic-Congo,family_reconciliation_reviewed:iso_glottolog_pair,,Atlantic-Congo,family_analysis_mapping_reviewed.csv
anp,Angika,,,anp,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages,Indo-European languages,2026-04-22,2026-06-15,anp,,anp,iso639_2_t,,True,anp,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
aoz,Uab Meto,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages,Austronesian languages,2026-04-22,2026-06-15,aoz,,aoz,language_code,,True,aoz,,False,,False,Austronesian languages,Austronesian languages,pre_review_reconciled,,Austronesian languages,family_analysis_mapping_reviewed.csv
apc,Levantine Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,apc,,apc,language_code,,True,apc,,False,,False,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
apd,Sudanese Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-05-15,2026-06-15,apd,,apd,language_code,,True,apd,,False,,False,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
ar,Arabic,العربية,ar,ara,,Arab|Syrc,Arab|Syrc,Arab,Arab,rtl,rtl,True,True,2,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,ar,ar,ar,iso639_1,,True,ara|ar,ar,True,ar,True,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
arc,Aramaic,ܣܘܪܬ,,arc,,Armi|Nbat|Palm,Armi|Nbat|Palm,Armi,Armi,rtl,rtl,False,False,3,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,arc,arc,arc,iso639_2_t,,True,arc,,False,,False,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
arn,Mapuche,,,arn,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,sai,sai,South American Indian languages,South American Indian languages,Araucanian,2026-04-22,2026-06-15,arn,,arn,iso639_2_t,,True,arn,,False,,False,Araucanian,Araucanian,family_reconciliation_reviewed:iso_glottolog_pair,,Araucanian,family_analysis_mapping_reviewed.csv
aro,Araona,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sai,sai,South American Indian languages,South American Indian languages,Pano-Tacanan,2026-04-22,2026-06-15,aro,,aro,language_code,,True,aro,,False,,False,Pano-Tacanan,Pano-Tacanan,family_reconciliation_reviewed:iso_glottolog_pair,,Pano-Tacanan,family_analysis_mapping_reviewed.csv
arp,Arapaho,,,arp,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,alg,nai,North American Indian languages,Algonquian languages,Algic,2026-04-22,2026-06-15,arp,,arp,iso639_2_t,,True,arp,,False,,False,Algic,Algic,family_reconciliation_reviewed:iso_glottolog_pair,,Algic,family_analysis_mapping_reviewed.csv
arq,Algerian Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,arq,,arq,language_code,,True,arq,,False,,False,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
ars,Najdi Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,ars,,ars,language_code,,True,ars,,False,,False,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
arw,Arawak,,,arw,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,sai,sai,South American Indian languages,South American Indian languages,Arawakan,2026-04-22,2026-06-15,arw,,arw,iso639_2_t,,True,arw,,False,,False,Arawakan,Arawakan,family_reconciliation_reviewed:iso_glottolog_pair,,Arawakan,family_analysis_mapping_reviewed.csv
ary,Moroccan Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,ary,,ary,language_code,,True,ary,,False,,False,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
arz,Egyptian Arabic,مصرى,,,,Arab,Arab,Arab,Arab,rtl,rtl,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages,Afro-Asiatic languages,2026-04-22,2026-06-15,arz,arz,arz,language_code,,True,arz,,False,,False,Afro-Asiatic languages,Afro-Asiatic languages,pre_review_reconciled,,Afro-Asiatic languages,family_analysis_mapping_reviewed.csv
as,Assamese,অসমীয়া,as,asm,,Beng,Beng,Beng,Beng,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages,Indo-European languages,2026-04-22,2026-06-15,as,as,as,iso639_1,,True,as|asm,as,True,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
asa,Asu,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages,Atlantic-Congo,2026-04-22,2026-06-15,asa,,asa,language_code,,True,asa,,False,,False,Atlantic-Congo,Atlantic-Congo,family_reconciliation_reviewed:iso_glottolog_pair,,Atlantic-Congo,family_analysis_mapping_reviewed.csv
ase,American Sign Language,,,,,,,,,ltr,,True,True,0,False,False,False,False,cldr_v45,45,sgn,sgn,Sign languages,Sign languages,Sign languages,2026-04-22,2026-06-15,ase,,ase,language_code,,True,sgn-us|ase,,False,,False,Sign languages,Sign languages,pre_review_reconciled,,Sign languages,family_analysis_mapping_reviewed.csv
ast,Asturian,Asturianu,,ast,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages,Indo-European languages,2026-04-22,2026-06-15,ast,ast,ast,iso639_2_t,,True,ast,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
atj,Atikamekw,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,alg,nai,North American Indian languages,Algonquian languages,Algic,2026-04-22,2026-06-15,atj,,atj,language_code,,True,atj,,False,,False,Algic,Algic,family_reconciliation_reviewed:iso_glottolog_pair,,Algic,family_analysis_mapping_reviewed.csv
av,Avaric,Авар,av,ava,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,ccn,cau,Caucasian languages,North Caucasian languages,Nakh-Daghestanian,2026-04-22,2026-06-15,av,av,av,iso639_1,,True,ava|av,,False,,False,Nakh-Daghestanian,Nakh-Daghestanian,family_reconciliation_reviewed:iso_glottolog_pair,,Nakh-Daghestanian,family_analysis_mapping_reviewed.csv
avk,Kotava,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,art,art,Artificial languages,Artificial languages,Artificial languages,2026-04-22,2026-06-15,avk,,avk,language_code,,True,avk,,False,,False,Artificial languages,Artificial languages,pre_review_reconciled,,Artificial languages,family_analysis_mapping_reviewed.csv
awa,Awadhi,Awadhi,,awa,,Deva,Deva,Deva,Deva,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages,Indo-European languages,2026-04-22,2026-06-15,awa,awa,awa,iso639_2_t,,True,awa,awa,True,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
ay,Aymara,Aymar,ay,aym,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sai,sai,South American Indian languages,South American Indian languages,South American Indian languages,2026-04-22,2026-06-15,ay,ay,ay,iso639_1,,True,ay|aym,ay,True,,False,South American Indian languages,South American Indian languages,pre_review_reconciled,,South American Indian languages,family_analysis_mapping_reviewed.csv
az,Azerbaijani,Azərbaycanca / آذربايجان,az,aze,,Latn|Arab|Cyrl,Latn|Arab|Cyrl,Latn,Latn,ltr,ltr,True,True,3,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,trk,tut,Altaic languages,Turkic languages,Altaic languages,2026-04-22,2026-06-15,az,az,az,iso639_1,,True,az|aze,az,True,az,True,Altaic languages,Altaic languages,pre_review_reconciled,,Altaic languages,family_analysis_mapping_reviewed.csv
ba,Bashkir,Башҡорт,ba,bak,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,trk,tut,Altaic languages,Turkic languages,Turkic,2026-04-22,2026-06-15,ba,ba,ba,iso639_1,,True,bak|ba,ba,True,,False,Turkic,Turkic,family_reconciliation_reviewed:iso_glottolog_pair,,Turkic,family_analysis_mapping_reviewed.csv
bal,Baluchi,,,bal,,Arab|Latn,Arab|Latn,Arab,Arab,rtl,,True,False,2,False,True,False,False,cldr|iso639_2,48.2.0,ira,ine,Indo-European languages,Iranian languages,Indo-European languages,2026-04-22,2026-06-15,bal,,bal,iso639_2_t,,True,bal,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
ban,Balinese,,,ban,,Latn|Bali,Latn|Bali,Latn,Latn,ltr,,True,False,2,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages,Austronesian languages,2026-04-22,2026-06-15,ban,,ban,iso639_2_t,,True,ban,ban,True,,False,Austronesian languages,Austronesian languages,pre_review_reconciled,,Austronesian languages,family_analysis_mapping_reviewed.csv
bap,Bantawa,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages,Sino-Tibetan languages,2026-04-22,2026-06-15,bap,,bap,language_code,,True,bap,,False,,False,Sino-Tibetan languages,Sino-Tibetan languages,pre_review_reconciled,,Sino-Tibetan languages,family_analysis_mapping_reviewed.csv
bar,Bavarian,Boarisch,,,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages,Indo-European languages,2026-04-22,2026-06-15,bar,bar,bar,language_code,,True,bar,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
bas,Basaa,,,bas,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages,Atlantic-Congo,2026-04-22,2026-06-15,bas,,bas,iso639_2_t,,True,bas,,False,,False,Atlantic-Congo,Atlantic-Congo,family_reconciliation_reviewed:iso_glottolog_pair,,Atlantic-Congo,family_analysis_mapping_reviewed.csv
bat-smg,Samogitian,Žemaitėška,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,bat,ine,Indo-European languages,Baltic languages,Indo-European languages,2026-04-22,2026-06-15,bat-smg,bat-smg,sgs,grandfathered_fallback,Wikimedia/legacy code bat-smg not in language_data IANA snapshot; mapped manually,False,sgs|bat-smg,,False,,False,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
bax,Bamun,,,,,Bamu,Bamu,Bamu,Bamu,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Atlantic-Congo,2026-04-22,2026-06-15,bax,,bax,language_code,,True,bax,,False,,False,Atlantic-Congo,Atlantic-Congo,family_reconciliation_reviewed:iso_glottolog_pair,,Atlantic-Congo,family_analysis_mapping_reviewed.csv
bbc,Batak Toba,,,,,Latn|Batk,Latn|Batk,Latn,Latn,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages,Austronesian languages,2026-04-22,2026-06-15,bbc,,bbc,language_code,,True,bbc,bbc,True,,False,Austronesian languages,Austronesian languages,pre_review_reconciled,,Austronesian languages,family_analysis_mapping_reviewed.csv
bbj,Ghomala,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Atlantic-Congo,2026-04-22,2026-06-15,bbj,,bbj,language_code,,True,bbj,,False,,False,Atlantic-Congo,Atlantic-Congo,family_reconciliation_reviewed:iso_glottolog_pair,,Atlantic-Congo,family_analysis_mapping_reviewed.csv
bci,Baoulé,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Atlantic-Congo,2026-04-22,2026-06-15,bci,,bci,language_code,,True,bci,,False,,False,Atlantic-Congo,Atlantic-Congo,family_reconciliation_reviewed:iso_glottolog_pair,,Atlantic-Congo,family_analysis_mapping_reviewed.csv
bcl,Bikol,Bikol Central,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,map,map,Austronesian languages,Austronesian languages,Austronesian languages,2026-04-22,2026-06-15,bcl,bcl,bcl,language_code,,True,bcl,,False,,False,Austronesian languages,Austronesian languages,pre_review_reconciled,,Austronesian languages,family_analysis_mapping_reviewed.csv
be,Belarusian,Беларуская,be,bel,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sla,ine,Indo-European languages,Slavic languages,Indo-European languages,2026-04-22,2026-06-15,be,be,be,iso639_1,,True,bel|be,be,True,be,True,Indo-European languages,Indo-European languages,pre_review_reconciled,,Indo-European languages,family_analysis_mapping_reviewed.csv
