language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
uz,Computational Social Science,Hisoblash ijtimoiy fanlari,Uzbek,2025-05-31 21:15:56,,
ve,Computational Social Science,Saintsi ya Matshilisano ya Khomphyutha,Venda,2025-05-31 21:15:56,,
vi,Computational Social Science,Khoa học xã hội tính toán,Vietnamese,2025-05-31 21:15:56,,
vo,Computational Social Science,,Volapük,2025-05-31 21:15:56,,
wa,Computational Social Science,,Walloon,2025-05-31 21:15:56,,
wo,Computational Social Science,Science social informatique,Wolof,2025-05-31 21:15:56,,
xh,Computational Social Science,Inzululwazi yeNtlalo yeKhompyutha,Xhosa,2025-05-31 21:15:56,,
yi,Computational Social Science,קאַמפּיוטיישאַנאַל סאציאל וויסנשאַפֿט,Yiddish,2025-05-31 21:15:56,,
yo,Computational Social Science,Imọ Awujọ Iṣiro,Yoruba,2025-05-31 21:15:56,,
za,Computational Social Science,,"Zhuang, Chuang",2025-05-31 21:15:56,,
zh,Computational Social Science,计算社会科学,Chinese,2025-05-31 21:15:56,,
to,Computational Social Science,Saienisi Fakasosiale Fakakomipiuta,Tonga,2025-05-31 21:15:56,,
tl,Computational Social Science,Computational Social Science,Tagalog,2025-05-31 21:15:56,,
sg,Computational Social Science,Science sociale ti ordinateur,Sango,2025-05-31 21:15:56,,
tk,Computational Social Science,Hasaplama jemgyýetçilik ylymlary,Turkmen,2025-05-31 21:15:56,,
sh,Computational Social Science,Рачунарске друштвене науке,Serbo-Crotian,2025-05-31 21:15:56,,
si,Computational Social Science,පරිගණක සමාජ විද්‍යාව,"Sinhala, Sinhalese",2025-05-31 21:15:56,,
sk,Computational Social Science,Výpočtová spoločenská veda,Slovak,2025-05-31 21:15:56,,
sl,Computational Social Science,Računalniška družboslovje,Slovene,2025-05-31 21:15:56,,
sm,Computational Social Science,Computational Social Science,Samoan,2025-05-31 21:15:56,,
sn,Computational Social Science,Computational Social Science,Shona,2025-05-31 21:15:56,,
so,Computational Social Science,Xisaabinta Sayniska Bulshada,Somali,2025-05-31 21:15:56,,
sq,Computational Social Science,Shkenca Sociale Kompjuterike,Albanian,2025-05-31 21:15:56,,
sr,Computational Social Science,Рачунарске друштвене науке,Serbian,2025-05-31 21:15:56,,
ss,Computational Social Science,Isayensi Yetenhlalakahle Yekubala,Swati,2025-05-31 21:15:56,,
st,Computational Social Science,Computational Social Science,Southern Sotho,2025-05-31 21:15:56,,
su,Computational Social Science,Élmu Sosial Komputasi,Sundanese,2025-05-31 21:15:56,,
sv,Computational Social Science,Beräkningssamhällsvetenskap,Swedish,2025-05-31 21:15:56,,
sw,Computational Social Science,Sayansi ya Kijamii ya Kihesabu,Swahili,2025-05-31 21:15:56,,
ta,Computational Social Science,கணக்கீட்டு சமூக அறிவியல்,Tamil,2025-05-31 21:15:56,,
te,Computational Social Science,గణన సామాజిక శాస్త్రం,Telugu,2025-05-31 21:15:56,,
tg,Computational Social Science,Илмҳои ҳисоббарории иҷтимоӣ,Tajik,2025-05-31 21:15:56,,
th,Computational Social Science,สังคมศาสตร์เชิงคำนวณ,Thai,2025-05-31 21:15:56,,
ti,Computational Social Science,ኮምፑተሽናል ማሕበራዊ ሳይንስ,Tigrinya,2025-05-31 21:15:56,,
mk,Computational Social Science,Компјутерска социјална наука,Macedonian,2025-05-31 21:15:56,,
lb,Computational Social Science,Computational Sozial Wëssenschaft,Luxembourgish,2025-05-31 21:15:56,,
ay,Computational Social Science,Ciencia Social Computacional uka tuqita,Aymara,2025-05-31 21:15:56,,
dv,Computational Social Science,ކޮމްޕިއުޓޭޝަނަލް ސޯޝަލް ސައިންސް,Divehi; Maldivian;,2025-05-31 21:15:56,,
fi,Computational Social Science,Laskennallinen yhteiskuntatiede,Finnish,2025-05-31 21:15:56,,
co,Computational Social Science,Scienze Sociali Computational,Corsican,2025-05-31 21:15:56,,
cr,Computational Social Science,,Cree,2025-05-31 21:15:56,,
cs,Computational Social Science,Počítačová sociální věda,Czech,2025-05-31 21:15:56,,
cu,Computational Social Science,,Old Church Slavonic,2025-05-31 21:15:56,,
cv,Computational Social Science,Шутлав социаллӑ науки,Chuvash,2025-05-31 21:15:56,,
cy,Computational Social Science,Gwyddor Gymdeithasol Gyfrifiadurol,Welsh,2025-05-31 21:15:56,,
da,Computational Social Science,Computational Social Science,Danish,2025-05-31 21:15:56,,
de,Computational Social Science,Computergestützte Sozialwissenschaften,German,2025-05-31 21:15:56,,
ee,Computational Social Science,Akɔntabubu ƒe Hadomegbenɔnɔ Ŋuti Nunya,Ewe,2025-05-31 21:15:56,,
dz,Computational Social Science,རྩིས་འཁོར་གྱི་སྤྱི་ཚོགས་ཚན་རིག།,Dzongkha,2025-05-31 21:15:56,,
la,Computational Social Science,Computational Social Science,Latin,2025-05-31 21:15:56,,
el,Computational Social Science,Υπολογιστική Κοινωνική Επιστήμη,"Greek, Modern",2025-05-31 21:15:56,,
en,Computational Social Science,Computational Social Science,English,2025-05-31 21:15:56,,
eo,Computational Social Science,Komputila Socia Scienco,Esperanto,2025-05-31 21:15:56,,
es,Computational Social Science,Ciencias sociales computacionales,Spanish; Castilian,2025-05-31 21:15:56,,
et,Computational Social Science,Arvutuslik sotsiaalteadus,Estonian,2025-05-31 21:15:56,,
eu,Computational Social Science,Gizarte Zientziak Konputazionalak,Basque,2025-05-31 21:15:56,,
fa,Computational Social Science,علوم اجتماعی محاسباتی,Persian,2025-05-31 21:15:56,,
ff,Computational Social Science,Ganndal renndo hiisiwal,Fula,2025-05-31 21:15:56,,
ch,Computational Social Science,Siensian Sosiåt gi i Kumputåt,Chamorro,2025-05-31 21:15:56,,
ce,Computational Social Science,ХӀоттаман юкъараллин Ӏилма .,Chechen,2025-05-31 21:15:56,,
ca,Computational Social Science,Ciències Socials Computacionals,Catalan; Valencian,2025-05-31 21:15:56,,
br,Computational Social Science,Skiantoù sokial urzhiataerezh,Breton,2025-05-31 21:15:56,,
bs,Computational Social Science,Računalne društvene nauke,Bosnian,2025-05-31 21:15:56,,
ae,Computational Social Science,,Avestan,2025-05-31 21:15:56,,
af,Computational Social Science,Rekenkundige Sosiale Wetenskap,Afrikaans,2025-05-31 21:15:56,,
ak,Computational Social Science,Mfiridwuma mu Asetra mu Nyansahu,Akan,2025-05-31 21:15:56,,
am,Computational Social Science,የሂሳብ ማህበራዊ ሳይንስ,Amharic,2025-05-31 21:15:56,,
an,Computational Social Science,,Aragonese,2025-05-31 21:15:56,,
ar,Computational Social Science,العلوم الاجتماعية الحاسوبية,Arabic,2025-05-31 21:15:56,,
as,Computational Social Science,গণনামূলক সমাজ বিজ্ঞান,Assamese,2025-05-31 21:15:56,,
av,Computational Social Science,ХӀисабалъулаб жамгӀияб гӀелму,Avaric,2025-05-31 21:15:56,,
az,Computational Social Science,Hesablama Sosial Elmləri,Azerbaijani,2025-05-31 21:15:56,,
ab,Computational Social Science,Аҳасабратә социалтә ҭҵаарадырра,Abkhaz,2025-05-31 21:15:56,,
ba,Computational Social Science,Иҫәпләү ижтимағи фәндәре,Bashkir,2025-05-31 21:15:56,,
be,Computational Social Science,Вылічальная грамадазнаўства,Belarusian,2025-05-31 21:15:56,,
bg,Computational Social Science,Компютърни социални науки,Bulgarian,2025-05-31 21:15:56,,
bh,Computational Social Science,कम्प्यूटेशनल सोशल साइंस के ह,Bihari,2025-05-31 21:15:56,,
bi,Computational Social Science,,Bislama,2025-05-31 21:15:56,,
bm,Computational Social Science,Jateblaw ka Sosiyete ka dɔnniya,Bambara,2025-05-31 21:15:56,,
bn,Computational Social Science,কম্পিউটেশনাল সোশ্যাল সায়েন্স,Bengali,2025-05-31 21:15:56,,
bo,Computational Social Science,རྩིས་འཁོར་གྱི་སྤྱི་ཚོགས་ཚན་རིག,Tibetan,2025-05-31 21:15:56,,
fj,Computational Social Science,Saenisi ni Veimaliwai ni Kompiuta,Fijian,2025-05-31 21:15:56,,
fo,Computational Social Science,Teldusamfelagsvísindi,Faroese,2025-05-31 21:15:56,,
fr,Computational Social Science,Sciences sociales computationnelles,French,2025-05-31 21:15:56,,
io,Computational Social Science,,Ido,2025-05-31 21:15:56,,
it,Computational Social Science,Scienze sociali computazionali,Italian,2025-05-31 21:15:56,,
iu,Computational Social Science,ᖃᕆᑕᐅᔭᒃᑯᑦ ᐃᓅᓯᓕᕆᓂᕐᒧᑦ ᑭᓪᓕᓯᓂᐊᕐᓂᖅ,Inuktitut,2025-05-31 21:15:56,,
ja,Computational Social Science,計算社会科学,Japanese,2025-05-31 21:15:56,,
jv,Computational Social Science,Ilmu Sosial Komputasi,Javanese,2025-05-31 21:15:56,,
ka,Computational Social Science,გამოთვლითი სოციალური მეცნიერება,Georgian,2025-05-31 21:15:56,,
kg,Computational Social Science,Siansi ya luzingu ya ordinatere,Kongo,2025-05-31 21:15:56,,
ki,Computational Social Science,,"Kikuyu, Gikuyu",2025-05-31 21:15:56,,
kj,Computational Social Science,,"Kwanyama, Kuanyama",2025-05-31 21:15:56,,
kk,Computational Social Science,Есептік әлеуметтік ғылым,Kazakh,2025-05-31 21:15:56,,
kl,Computational Social Science,Komputatorimi Inuiaqatigiilerineq,Kalaallisut,2025-05-31 21:15:56,,
km,Computational Social Science,វិទ្យាសាស្ត្រសង្គមគណនា,Khmer,2025-05-31 21:15:56,,
kn,Computational Social Science,ಕಂಪ್ಯೂಟೇಶನಲ್ ಸೋಶಿಯಲ್ ಸೈನ್ಸ್,Kannada,2025-05-31 21:15:56,,
ko,Computational Social Science,계산 사회 과학,Korean,2025-05-31 21:15:56,,
kr,Computational Social Science,Ilmu kimiya naptəram jamabe komfutabe,Kanuri,2025-05-31 21:15:56,,
ks,Computational Social Science,,Kashmiri,2025-05-31 21:15:56,,
ku,Computational Social Science,Zanistiya Civakî ya Hesabkirinê,Kurdish,2025-05-31 21:15:56,,
kv,Computational Social Science,Вычислительнӧй обществознание .,Komi,2025-05-31 21:15:56,,
kw,Computational Social Science,,Cornish,2025-05-31 21:15:56,,
ky,Computational Social Science,Эсептөөчү коомдук илимдер,"Kirghiz, Kyrgyz",2025-05-31 21:15:56,,
is,Computational Social Science,Reiknifélagsfræði,Icelandic,2025-05-31 21:15:56,,
ik,Computational Social Science,,Inupiaq,2025-05-31 21:15:56,,
fy,Computational Social Science,Computational Sosjale Wittenskip,Western Frisian,2025-05-31 21:15:56,,
ii,Computational Social Science,,Nuosu,2025-05-31 21:15:56,,
ga,Computational Social Science,Eolaíocht Shóisialta Ríomhaireachtúil,Irish,2025-05-31 21:15:56,,
gd,Computational Social Science,Saidheans sòisealta coimpiutaireachd,Scottish Gaelic,2025-05-31 21:15:56,,
gl,Computational Social Science,Ciencias Sociais Computacionales,Galician,2025-05-31 21:15:56,,
gn,Computational Social Science,Ciencia Social Computacional rehegua,Guaraní,2025-05-31 21:15:56,,
gu,Computational Social Science,કોમ્પ્યુટેશનલ સોશિયલ સાયન્સ,Gujarati,2025-05-31 21:15:56,,
gv,Computational Social Science,Science Soshiallagh Cooidjagh,Manx,2025-05-31 21:15:56,,
ha,Computational Social Science,Ilimin zamantakewa na Lissafi,Hausa,2025-05-31 21:15:56,,
he,Computational Social Science,מדעי החברה החישובית,Hebrew (modern),2025-05-31 21:15:56,,
hi,Computational Social Science,कम्प्यूटेशनल सामाजिक विज्ञान,Hindi,2025-05-31 21:15:56,,
ho,Computational Social Science,,Hiri Motu,2025-05-31 21:15:56,,
hr,Computational Social Science,Računalne društvene znanosti,Croatian,2025-05-31 21:15:56,,
ht,Computational Social Science,Syans sosyal enfòmatik,Haitian,2025-05-31 21:15:56,,
hu,Computational Social Science,Számítástechnikai társadalomtudomány,Hungarian,2025-05-31 21:15:56,,
hy,Computational Social Science,Հաշվողական սոցիալական գիտություն,Armenian,2025-05-31 21:15:56,,
hz,Computational Social Science,,Herero,2025-05-31 21:15:56,,
ia,Computational Social Science,,Interlingua,2025-05-31 21:15:56,,
id,Computational Social Science,Ilmu Sosial Komputasional,Indonesian,2025-05-31 21:15:56,,
ie,Computational Social Science,,Interlingue,2025-05-31 21:15:56,,
ig,Computational Social Science,Sayensị Social Mgbakọ,Igbo,2025-05-31 21:15:56,,
zu,Computational Social Science,I-Computational Social Science,Zulu,2025-05-31 21:15:56,,
