language_code,language_name,term_source,enmt_translated_term,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,coding_dh_date
uz,Uzbek,Computational Social Science,,,,,,2025-05-31 21:15:56
ve,Venda,Computational Social Science,,,,,,2025-05-31 21:15:56
vi,Vietnamese,Computational Social Science,Bao mang mang mang đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem may may may may may may may may - - mất mất mất mất mất mất mất mất mất mất mất mất mất,,,,,2025-05-31 21:15:56
vo,Volapük,Computational Social Science,,,,,,2025-05-31 21:15:56
wa,Walloon,Computational Social Science,,,,,,2025-05-31 21:15:56
wo,Wolof,Computational Social Science,,,,,,2025-05-31 21:15:56
xh,Xhosa,Computational Social Science,Ukulungelelanisa Inzululwazi Yentlalo,,,,,2025-05-31 21:15:56
yi,Yiddish,Computational Social Science,,,,,,2025-05-31 21:15:56
yo,Yoruba,Computational Social Science,,,,,,2025-05-31 21:15:56
za,"Zhuang, Chuang",Computational Social Science,,,,,,2025-05-31 21:15:56
zh,Chinese,Computational Social Science,计算社会科学,,,,,2025-05-31 21:15:56
zu,Zulu,Computational Social Science,,,,,,2025-05-31 21:15:56
