search_term,natural_language,counts,directionality,search_term_source,category,keep_term
humanitats digitale,"blo, kxv, lzz, mde, mwl, pms, sc",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanidades digital,"fil, ilo, kea, pag, pap, tet, tl",7,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
цифровой гуманитарий,"chm, dar, dng, lez, mrj, tab, ttt",7,ltr,Digital Humanities,TRANSMOGRIFICATION,True
makala ya kielektroniki,"ebu, kln, luy, mer, nzi, suk, wni",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
sayansi ya kidijitali ya kibinadamu,"bez, buc, lag, mgy, nym, rwk, zdj",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanités digitales,"frm, fro, frp, nrm, oc, rcf, wa",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ডিজিটাল মানববিদ্যা,"bn, bpy, ccp, mro, rjs, rkt, syl",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
علوم انسانی دیجیتال,"bqi, fa, gbz, jpr, lrc, luz, prd",7,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
dijital insaniyat,"bej, fia, fvr, kiu, mde, otk, rhg",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitale humanistiek,"fy, gos, li, nds-nl, pdt, stq",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digital humanitats,"akz, lfn, rmu, rmy, rom, sdc",6,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dijital insani bilimler,"bgx, crh, ota, tk, tr, zza",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanities digital,"bug, gor, id, ie, kha, sxn",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True
digitale geesteswetenschappen,"dum, li, nds-nl, nl, vls, zea",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
digitale menschheitswissenschaften,"als, bar, ksh, nds, pfl, swg",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
دیجیتال علوم بشر,"fa, gbz, glk, mzn, pal, prd",6,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
數字人文,"cdo, gan, hak, lzh, wuu, zh-classical",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
دیجیتال انسانیاتی,"bal, bgn, gbz, lki, lrc, luz",6,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitale geisteswissenschaften,"bar, de, gmh, lb, pfl, vmf",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitaal humanitaat,"asa, bmq, buc, bvb, diq, sbp",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitale menschlichkeit,"bar, pdc, pfl, prg, swg, vmf",6,ltr,Digital Humanities,TRANSMOGRIFICATION,True
teknoloji insanları,"bas, bkm, kdt, sei, wbq, ybb",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanitats digitals,"an, ast, bhi, ca, oc, quc",6,ltr,Digital Humanities,"COMPLETE_CONSENSUS, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ufundi wa dijitali,"afh, kde, suk, sw, swb",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ડિજિટલ માનવતા,"gjk, gju, gu, kfr, saz",5,ltr,Digital Humanities,TRANSMOGRIFICATION,True
budaya digital,"kvr, lbw, ljp, mfa, rej",5,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kamanusiaan digital,"bug, mak, min, sly, sxn",5,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
數字人文學,"cdo, gan, hsn, wuu, zh-tw",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
dijital insanlar bilimleri,"bgx, crh, gag, otk, zza",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
dijital insan bilimleri,"bgx, dzg, fvr, kbl, zag",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
डिजिटल मानव विज्ञान,"bfy, bgc, gbm, hi, tkt",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
digital nga humanidades,"ceb, cps, hil, krj, war",5,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digital na humanidades,"bcl, bik, bto, pag, tbw",5,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ดิจิทัลมนุษยศาสตร์,"nod, pi, sou, th, tts",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
humanitats digil,"avk, bfy, bzx, chm, dty",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ડિજિટલ મનોવિદ્યા,"bgc, gu, kfr, raj, saz",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
цифровой гуманитарный науки,"ckt, kpy, mns, sel, ude",5,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitalne humanističke nauke,"bs, cnr, crn, sh, sr",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitalne humanistike,"cnr, crn, dsb, hsb, sl",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
دیجیتال علوم انسانی,"bqi, haz, jpr, mzn, prd",5,rtl,Digital Humanities,TRANSMOGRIFICATION,True
dijital humanities,"ho, kaj, kr, mh, pon",5,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
الإنسانيات الرقمية,"aeb, apc, ar, ary",4,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
humanitățile digitale,"egl, mo, roa-rup, rup",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
الادارة الرقمية للعلوم الإنسانية,"aeb, arq, ars, shu",4,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ডিজিটাল মানবিকতা,"bpy, mro, rhg, syl",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
dijital adabiyot,"chg, kaa, ug, uz_AF",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ديجيتال هيومانيتيز,"dzg, kr, rmt, vai",4,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
e-dibendaagoziwin anishinaabemowin,"oj, ojb, ojc, ojg",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dharmik digital,"brx, nwc, sat, unr",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
диджитал хауманитизм,"abr, dar, kcg, mye",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanități digitale,"mo, ro, roa-rup, rup",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
มนุษยศาสตร์ดิจิทัล,"nod, sou, th, tts",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
دیجیتال هنرهای انسانی,"bqi, fa, glk, mzn",4,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
digitale menskunde,"dum, pdt, vls, zea",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitála humaniora,"se, sma, smj, sms",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True
दिजिटल ह्यूमनाइटीज़,"gvr, mag, new, sa",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
numizmatika digitalna,"bs, hr, sh, sr",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
dijital humanitis,"bi, pis, tem, tpi",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanitá digitale,"co, lij, nap, scn",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True
humana digitale,"hif, rtm, rug, uli",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
數碼人文,"cdo, lzh, wuu, yue",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
डिজিटल मानविकी,"mns, mro, new, nwc",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
الهنسح الرقمي,"aeb, apc, arq, arz",4,rtl,Digital Humanities,TRANSMOGRIFICATION,True
digitale humanistika,"dsb, eu, fiu-vro, hsb",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
tēcciztli tlamachtiliztli,"nah, nch, nhe, nhw",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
علوم انسانی دیجیتالی,"bqi, haz, lrc, luz",4,rtl,Digital Humanities,TRANSMOGRIFICATION,True
цифровой гуманитарный илим,"dar, lez, tab, tkr",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True
sayansi za kidijitali,"dav, kde, vun",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitali geisteswüsseschafte,"als, gsw, wae",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijitalne umetnosti,"bs, cnr, crn",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ḍijiṭal manav-śastr,"bfy, swv, xnr",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
limanité nimérik,"gcr, lou, rcf",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
elimu ya dijitali,"ksb, lag, nym",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
زانستە دیجیتاڵییەکانی مرۆڤایەتی,"ku, lki, sdh",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
цифровой гуманитаристика,"krc, nog, udm",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
دیجیتال انسان‌شناسی,"bgn, haz, mzn",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True
دیجیتاڵ مرۆڤایەتی,"ckb, lki, sdh",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanitias digilitis,"aoz, seh, unx",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
дигитални хуманистики,"mk, rmu, rmy",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanitete digitale,"aln, rof, sq",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ψηφιακές ανθρωπιστικές επιστήμες,"el, pnt, tsd",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
digitale minsken,"gos, li, nds-nl",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
sayansi ya kidijitali,"jmc, lam, suk",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
디지털 인문학,"dcc, ko, mrh",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitalong humanidades,"bcl, bik, bto",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanitates digital,"ia, ie, lfn",3,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, STRUCTURAL_ABSENCE",True
digitale humanistikk,"nb, nn, no",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mga humanidades digital,"bcl, bik, krj",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanità digitali,"egl, scn, vec",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
диджитал хумантистика,"amo, ckt, lsm",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
teknoloji insanlar bilimleri,"bbj, kcg, khn",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitaal nga himnolohiya,"bcl, bik, krj",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
زانستە دیجیتاڵەکان,"ckb, ku, sdh",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
dijitali hadamaya,"dyu, man, mwk",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digital a humanidades,"ilo, pag, pam",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
teknologi manusia digital,"iba, kvr, mwv",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mazina'iganing gikendaasowin,"oj, ojg, ojw",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
umanitarji digitali,"mt, roa-rup, rup",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
दिजिटल ह्यूमनाइटीज्,"lif, mgp, nwc",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
دیجیتال ئینسانی,"bqi, lrc, luz",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True
дигитал хуманити,"kum, mn, os",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифровой гуманитарный наука,"evn, kca, yrk",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitalna umjetnost,"bs, hr, sr",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
umanità digital,"lmo, pms, rgn",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True
デジタル人文学,"buc, ja, ryu",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ಡಿಜಿಟಲ್ ಮಾನವಿಕತೆ,"kn, tcy, wbq",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitaal humaanitii,"bss, mrh, nnh",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
цифровая гуманитаристика,"av, cjs, kv",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
رقمی انسانیات,"brh, lah, ur",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitaalne humanitaaria,"et, fiu-vro, vro",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
digitaal ŋurɛŋ,"lag, mgo, wbq",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ଡିଜିଟାଲ ହ୍ୟୁମାନିଟିଜ୍,"kxv, or, srb",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digita humānita,"dty, saf, ybb",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitale menskje-kunste,"fy, gos, stq",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitale geisteswetenschoppen,"frs, gos, nds",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ဒီဇိုင်းဟန္တရားပညာ,"kyu, rhg, shn",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ციფრული ჰუმანიტარია,"ka, lzz, xmf",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mambo ya digitali,"loz, tog, tum",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
sayansi ya anthu pa intaneti,"ngl, ny, tum",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
дигиталне хуманистике,"cnr, crn, sr",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
kamanungsan digital,"jv, mad, map-bms",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
cyberhumanistika,"dsb, hsb, ltg",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ডিজিটাল হিউম্যানিটিজ,"mni, rkt, syl",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
dijital beşeri bilimler,"diq, ota, tr",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
digitals nnipa ho adesua,"ak, fat, tw",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
teknoloji ya bashili,"kg, puu, sg",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
elimu ya kidijitali ya ubinadamu,"asa, jmc, rof",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitale humanistik,"bar, nov, sli",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digiálbmot,"se, smn, sms",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ডিজিটাল মানুষের বিদ্যা,"rhg, sck, syl",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
الحقل الرقمي للإنسانية,"khq, sck, ttt",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
цифровой гуманитарнай наука,"evn, gld, kpy",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True
izinyathi edlalini,"nd, nr",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
n̄wed abasi-ikọ ubọk,"efi, ibb",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
wóuŋspe wówapi oyáte,"dak, lkt",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
cyberhumanistyka,"sli, szl",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
skaitmenėnė humanitarika,"bat-smg, sgs",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
skaitmeninės humanitarinės muokslā,"bat-smg, sgs",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
humanitá digitali,"bqv, kea",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitalne humanistyki,"sli, szl",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digital humanitás,"ie, nov",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
дзэйтэрыйн гуманістыка,"be, be-x-old",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифровой гуманитарный,"mns, sel",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ဒစ်ဂျစ်တယ် မနုဿဗေဒ,"mnw, my",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
лічбавыя гуманітарныя навукі,"be, be-x-old",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ວິທະຍາສາດດິຈິຕອນ,"kjg, lo",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanitats digitaal,"bze, lsm",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ဒီဂျစ်တယ် လူမှုသိပ္ပံ,"eky, kht",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ດິຈິຕອນ ມະນຸດສາດ,"kdt, kjg",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
