search_term,natural_language,counts,directionality,search_term_source,category,keep_term,directionality_conflict,ltr_languages,rtl_languages
kemanusiaan digital,"ace, bbc, bjn, dtp, iba, ljp, mak, map-bms, mdr, mfa, ms, sas, sly, zmi",14,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,True,"ace, bbc, bjn, dtp, iba, ljp, mak, map-bms, mdr, ms, sas, sly, zmi",mfa
数位人文,"bvb, fan, ken, khb, mfv, sbp, smp, snf, xcr, xld, xmn, xnr, yav",13,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"bvb, fan, ken, khb, mfv, sbp, smp, snf, xcr, xmn, xnr, yav",xld
ڈیجیٹل انسانیات,"bal, bft, bgn, brh, gju, hnd, hno, khw, ks, lah, skr, trw, ur",13,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
ڈیجیٹل ہیومینٹیز,"brh, btv, gjk, gju, hnd, hno, khw, ks, lah, skr, trw, ur",12,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,btv,"brh, gjk, gju, hnd, hno, khw, ks, lah, skr, trw, ur"
цифровой гуманитарий,"ce, chm, dar, dng, evn, inh, kum, lez, mrj, nog, tkr, ttt",12,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
数字人文,"dng, gan, hsn, ii, mdr, nxq, smp, wuu, yao, za",10,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
umanità digitale,"co, fur, it, lij, lmo, nap, pms, sc, scn, vec",10,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitale geisteswissenschaften,"bar, de, gsw, nds, pdt, pfl, prg, swg, ter, vmf",10,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
デジタル人文科学,"abr, blo, bra, bum, kxp, ryu, sei, sus, syi, wbr",10,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"abr, blo, bra, bum, ryu, sei, sus, syi, wbr",kxp
digital humaniora,"da, id, lb, map-bms, nb, nn, no, sas, sv",9,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True,False,,
digitalne humanistike,"bs, cnr, crn, dsb, hsb, rmo, rmu, sh, sl",9,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
الإنسانية الدقيقة,"apc, ar, ars, arz, mey, rmt, shi, shu, wbr",9,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,wbr,"apc, ar, ars, arz, mey, rmt, shi, shu"
डिजिटल ह्यूमनाइटीज़,"bhb, doi, gbm, hne, kvx, mtr, thl, tkt",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"bhb, doi, gbm, hne, mtr, thl, tkt",kvx
humanitè digitale,"frp, gcr, mos, rcf, snk, swb, wni, zdj",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"frp, gcr, mos, rcf, snk","swb, wni, zdj"
digitalna humanistika,"bs, cnr, dsb, hr, hsb, sh, sl, sr",8,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
ubinadamu wa kidijitali,"bez, jmc, kde, ksb, rof, sw, wni, zdj",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"bez, jmc, kde, ksb, rof, sw","wni, zdj"
digitale geesteswetenschappen,"dum, gos, li, nds-nl, nl, vls, zea",7,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
ডিজিটাল মানববিদ্যা,"as, bn, bpy, ccp, mro, rjs, syl",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
दिजिटल ह्यूमनाइटीज़,"awa, bfy, gvr, mag, ss, thq, thr",7,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
数字人文学,"cdo, gan, hsn, mdr, nxq, yao, za",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
डिजिटल मानव विज्ञान,"awa, bgc, hi, kfr, mwr, raj",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
dijital insan bilimleri,"bgx, dzg, fvr, gag, kbl, tr",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
humanidades digital,"fil, ilo, kea, pap, tet, tl",6,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
علوم انسانی دیجیتال,"bqi, fa, gbz, jpr, lrc, prd",6,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
數位人文學,"hak, lzh, nan, trv, zh-min-nan, zh-tw",6,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
dijital insaniyat,"bgn, diq, fia, gag, mde, rmt",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"diq, gag, mde","bgn, fia, rmt"
ডিজিটাল হিউম্যানিটিজ,"bn, bpy, mni, mro, rkt, syl",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
humanités digitales,"frm, fro, frp, nrm, oc, wa",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
ڊجيٽل انسانيات,"hnd, hno, kfr, kvx, sd, skr",6,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,kfr,"hnd, hno, kvx, sd, skr"
العلوم الرقمية للحضارة,"aeb, apc, ar, ars, ary, arz",6,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
الإنسانيات الرقمية,"apc, apd, ar, arq, ars, arz",6,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
humanitats digitals,"an, ast, ca, eka, oc, sc",6,ltr,Digital Humanities,"COMPLETE_CONSENSUS, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
kamanusiaan digital,"bbc, bjn, bug, mak, min, sxn",6,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
डिजिटल मानवशास्त्र,"gbm, gom, kok, mr, new, tkt",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitalne humanističke nauke,"bs, cnr, crn, sh, sr",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitalna umjetnost,"bs, cnr, crn, hr, sh",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
デジタルヒューマニティーズ,"kfy, lah, mai, rjs, unr",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"kfy, mai, rjs, unr",lah
digitale humanistika,"dsb, fiu-vro, hz, kaj, vro",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
sayansi ya kidijitali ya binadamu,"dav, nym, suk, vun, wni",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"dav, nym, suk, vun",wni
ufundi wa dijitali,"afh, kde, swb, tum, vmw",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"afh, kde, tum, vmw",swb
цифровой гуманитарный,"dar, kca, koi, mns, udm",5,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
數位人文,"hak, lzh, nan, zh-min-nan, zh-tw",5,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, TRANSMOGRIFICATION",True,False,,
digitale menschheitswissenschaften,"als, bar, nds, pfl, swg",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
dijital insani bilimler,"bgx, kiu, ota, tk, tr",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
humanitas digital,"ace, bjn, gay, kvr, ms",5,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanità digitali,"co, egl, scn, vec",4,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
дигиталне хуманистике,"cnr, crn, sr, srb",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
sayansi za kidijitali za ubinadamu,"dav, kde, ksb, vun",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
數字人文學,"buc, hsn, wuu, zh-tw",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
ดิจิทัลมนุษยศาสตร์,"lcp, nod, sou, tts",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
humanități digitale,"mo, ro, roa-rup, rup",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
دیجیٹل انسانیات,"hnd, hno, ks, ur",4,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
الإنسانيات الدقيقة,"aeb, apd, ary, zen",4,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ilmu kemanusiaan digital,"ace, bew, kvr, rej",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
makala ya kielektroniki,"laj, mer, nym, suk",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitale humanistiek,"frr, gos, nds-nl, stq",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
มนุษยศาสตร์ดิจิทัล,"kxm, nod, sou, tts",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ಡಿಜಿಟಲ್ ಮಾನವಿಕತೆ,"bfq, kn, tcy, wbq",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
budaya digital,"dtp, ljp, mfa, rej",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,True,"dtp, ljp, rej",mfa
humanis digital,"bew, bjn, map-bms, su",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
диджитал хумантизм,"bft, bua, krc, ses",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"bua, krc, ses",bft
pamantasang digital,"bcl, bik, bto, ilo",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
數字人文,"cdo, gan, lzh, zh-min-nan",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digiálbmot,"se, smj, smn, sms",4,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanità digitala,"egl, lij, lld, rgn",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digital na humanidades,"bcl, bik, bku, bto",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ດິຈິຕອນມະນຸດສາດ,"blt, kjg, kxm, lo",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
डिजिटल मानवीकी,"bgc, bhb, kvx, swv",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"bgc, bhb, swv",kvx
humanities digital,"gor, id, mwv, nia",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True,False,,
دیجیتال انسانیاتی,"bgn, lki, lrc, luz",4,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
डिजीटल मानविकी,"awa, bft, kvx, rkt",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"awa, rkt","bft, kvx"
digital nga humanidades,"cps, hil, krj, war",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital humanitis,"bi, kri, pis, tpi",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaal humanitaat,"aoz, cgg, diq",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
gidakiiminaan gizhawenimin,"oj, ojc, ojw",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ubumuntu bwa digital,"bem, lun, rw",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ዲጂታል ሰብአዊነት,"am, gez, tig",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitalong humanidades,"bcl, bik, bto",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sayansi za kibinadamu za kidijitali,"swb, wni, zdj",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digital humanitats,"lfn, rm, rmu",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale menskunde,"li, pdt, zea",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
ციფრული ჰუმანიტარია,"ka, lzz, xmf",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифровая гуманитаристика,"kv, tab, yrk",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ubumuntu bwa digitali,"bez, buc, rw",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanitiz digital,"bci, ksf, nmg",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale menswetenschappen,"nds-nl, vls, zea",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
數碼人文學,"cdo, kkj, wuu",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
sastra digital,"ban, kaw, ljp",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ডিজিটাল মানবসাহিত্য,"bn, rkt, syl",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
دیجیتال علوم انسانی,"bqi, mzn, prd",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitali humanitäte,"als, gsw, wae",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ડિજીટલ માનવતા,"bhi, gju, noe",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"bhi, noe",gju
دیجیتال ئینسانی,"bqi, lrc, luz",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijitalne umetnosti,"bs, cnr, crn",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitalne humanističke znanosti,"bs, hr, sh",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
डिজিटल मानविकी,"mns, nwc, taj",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ডিজিটাল মানৱিক বিজ্ঞান,"as, bpy, rkt",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitale humanistikk,"nb, nn, no",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
الإنسانية الرقمية,"arq, bej, snf",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,snf,"arq, bej"
tlamatiliztli ipan tlapohualhuaztli,"nch, nhe, nhw",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
tlilli tlahtolli tlamachiyotl,"nch, nhe, nhw",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
mbumu ya digitale,"mgy, nmg, rng",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale menschlichkeit,"ksh, pdc, vmf",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
ܡܕܥܢܘܬܐ ܪ̈ܩܡܝܬܐ,"arc, syc, tru",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"syc, tru",arc
ܝܘܠܦܢ̈ܐ ܐܢܫܝ̈ܐ ܕܝܓܝܛܠܝ̈ܐ,"arc, syc, syr",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,syc,"arc, syr"
دیجیتال بشریت,"bal, bgn, ps",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kamanusaan digital,"ban, mad, su",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umunthu wa digito,"ny, tog, tum",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ڊجيٽل انسانيت,"kvx, kxp, sd",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitaalinen humanismi,"fi, fit, vot",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
dijigitalne umetnosti,"sh, sr, srb",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True,False,,
digitaal minskwittenskip,"frr, frs, fy",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
الآداب الرقمية,"aeb, ar, shu",3,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
დიჯიტალური ხელოვნება,"dar, ka, tkr",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitali humanities,"aln, naq, sq",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
デジタル人文学,"ain, dtm, ryu",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
humanitates digital,"ia, ie, lfn",3,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, STRUCTURAL_ABSENCE",True,False,,
ડિજિટલ હ્યુમેનિટીઝ,"gu, kfr, kxp",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,True,"gu, kfr",kxp
digitála humaniora,"se, sma, smj",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitats digitalas,"fur, mwl, pms",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
umanità digital,"lmo, pms, rgn",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True,False,,
digitaalne humanitaaria,"et, fiu-vro, vro",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
digitala humanistiko,"eo, io, xsa",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,True,"eo, io",xsa
humaniti digital,"dtp, iba, ms",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
علوم انسانی دیجیتالی,"haz, lrc, luz",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitali geisteswüsseschafte,"als, gsw, wae",3,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitii digitaal,"ff, ffm, tem",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
دیجیتال علوم بشر,"gbz, luz, mzn",3,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitals nnipa ho adesua,"ak, fat, tw",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
デジタルヒューマニティズ,"dty, kfr, srb",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitale humanitätswissenschaften,"gsw, prg",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифровой гуманитарный наука,"evn, yrk",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
डिजिटल मानविकी के बारे में बतावल गइल बा,"bh, bho",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digital hiumanitis,"bi, pis",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
diyiteng humanidades,"bik, bto",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
டிஜிட்டல் மானுடவியல்,"saz, ta",2,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
humpito niiɓe dijitaal,"ffm, fuq",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
kɔmputa hümaniti,"kpe, vai",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital insaniyət,"krc, ttt",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ganndal yimɓe dijital,"ff, ffm",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
ᖃᕆᑕᐅᔭᒃᑯᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,"ike, iu",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
zvidzidzo zvevanhu netekinoroji,"mxc, ndc",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
digitála humanisttalašvuohta,"se, smj",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ḍijiṭal manovshastra,"knn, kok",2,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaalikulttuuritieteet,"fi, fit",2,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
ಡಿಜಿಟಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,"kn, wbq",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True,False,,
mukanda wa digital,"kmb, umb",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanistyka cyfrowa,"pl, szl",2,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True,False,,
