language_code,term_source,enmt_translated_term,language_name,coding_dh_date
nb,Public History,,Norwegian Bokmål,2025-05-31 21:15:56
nd,Public History,,North Ndebele,2025-05-31 21:15:56
ne,Public History,,Nepali,2025-05-31 21:15:56
ng,Public History,Ondjokonona,Ndonga,2025-05-31 21:15:56
nl,Public History,Publieke geschiedenis,Dutch,2025-05-31 21:15:56
nn,Public History,,Norwegian Nynorsk,2025-05-31 21:15:56
no,Public History,,Norwegian,2025-05-31 21:15:56
nr,Public History,,South Ndebele,2025-05-31 21:15:56
nv,Public History,,"Navajo, Navaho",2025-05-31 21:15:56
ny,Public History,Mbiri ya Anthu,Chichewa; Chewa; Nyanja,2025-05-31 21:15:56
oc,Public History,,Occitan,2025-05-31 21:15:56
oj,Public History,,"Ojibwe, Ojibwa",2025-05-31 21:15:56
om,Public History,DEEBII GAAFFII KITAABA QULQULLUU,Oromo,2025-05-31 21:15:56
or,Public History,,Oriya,2025-05-31 21:15:56
os,Public History,,"Ossetian, Ossetic",2025-05-31 21:15:56
pa,Public History,,"Panjabi, Punjabi",2025-05-31 21:15:56
pi,Public History,,Pāli,2025-05-31 21:15:56
pl,Public History,,Polish,2025-05-31 21:15:56
ps,Public History,,"Pashto, Pushto",2025-05-31 21:15:56
pt,Public History,,Portuguese,2025-05-31 21:15:56
qu,Public History,,Quechua,2025-05-31 21:15:56
rm,Public History,,Romansh,2025-05-31 21:15:56
rn,Public History,Inkuru y’ivyabaye y’icese,Kirundi,2025-05-31 21:15:56
ro,Public History,Istorie publică,"Romanian, Moldavan",2025-05-31 21:15:56
ru,Public History,Общественная история,Russian,2025-05-31 21:15:56
rw,Public History,Rusange Urutonde,Kinyarwanda,2025-05-31 21:15:56
sa,Public History,,Sanskrit (Saṁskṛta),2025-05-31 21:15:56
sc,Public History,,Sardinian,2025-05-31 21:15:56
sd,Public History,,Sindhi,2025-05-31 21:15:56
se,Public History,,Northern Sami,2025-05-31 21:15:56
sg,Public History,Mbaï ti azo,Sango,2025-05-31 21:15:56
sh,Public History,,Serbo-Crotian,2025-05-31 21:15:56
si,Public History,,"Sinhala, Sinhalese",2025-05-31 21:15:56
sk,Public History,História verejnosti,Slovak,2025-05-31 21:15:56
sl,Public History,,Slovene,2025-05-31 21:15:56
sm,Public History,Talafaasolopito i le Lautele,Samoan,2025-05-31 21:15:56
sn,Public History,Nhau Yavose,Shona,2025-05-31 21:15:56
so,Public History,,Somali,2025-05-31 21:15:56
sq,Public History,Historia publike,Albanian,2025-05-31 21:15:56
sr,Public History,,Serbian,2025-05-31 21:15:56
ss,Public History,Tikolwa Tashintja,Swati,2025-05-31 21:15:56
st,Public History,Histori ea Sechaba,Southern Sotho,2025-05-31 21:15:56
su,Public History,,Sundanese,2025-05-31 21:15:56
sv,Public History,Allmän historia,Swedish,2025-05-31 21:15:56
sw,Public History,Historia ya Umma,Swahili,2025-05-31 21:15:56
ta,Public History,,Tamil,2025-05-31 21:15:56
te,Public History,,Telugu,2025-05-31 21:15:56
tg,Public History,,Tajik,2025-05-31 21:15:56
th,Public History,,Thai,2025-05-31 21:15:56
ti,Public History,ታሪኽ,Tigrinya,2025-05-31 21:15:56
tk,Public History,,Turkmen,2025-05-31 21:15:56
tl,Public History,Kasaysayan ng Bayan,Tagalog,2025-05-31 21:15:56
tn,Public History,Hisitori ya Setšhaba,Tswana,2025-05-31 21:15:56
to,Public History,"Hisitōlia "" o e Kakaí",Tonga,2025-05-31 21:15:56
tr,Public History,,Turkish,2025-05-31 21:15:56
ts,Public History,Matimu Ya Vanhu,Tsonga,2025-05-31 21:15:56
tt,Public History,,Tatar,2025-05-31 21:15:56
tw,Public History,Ɔmanfo Abakɔsɛm,Twi,2025-05-31 21:15:56
ty,Public History,Aamu o te huiraatira,Tahitian,2025-05-31 21:15:56
ug,Public History,,"Uighur, Uyghur",2025-05-31 21:15:56
uk,Public History,Публічна історія,Ukrainian,2025-05-31 21:15:56
ur,Public History,عوامی تاریخ,Urdu,2025-05-31 21:15:56
uz,Public History,,Uzbek,2025-05-31 21:15:56
ve,Public History,,Venda,2025-05-31 21:15:56
vi,Public History,Mặc,Vietnamese,2025-05-31 21:15:56
vo,Public History,,Volapük,2025-05-31 21:15:56
wa,Public History,,Walloon,2025-05-31 21:15:56
wo,Public History,,Wolof,2025-05-31 21:15:56
xh,Public History,Imbali Kawonke-wonke,Xhosa,2025-05-31 21:15:56
yi,Public History,,Yiddish,2025-05-31 21:15:56
yo,Public History,,Yoruba,2025-05-31 21:15:56
za,Public History,,"Zhuang, Chuang",2025-05-31 21:15:56
zh,Public History,公开历史,Chinese,2025-05-31 21:15:56
zu,Public History,,Zulu,2025-05-31 21:15:56
