"language_code","language_name","term_source","enmt_translated_term","term","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","family_name"
"btv","Bateri","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"dyu","Dyula","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"frc","Cajun French","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"evn","Evenki","Digital Humanities","","","","2026-04-19 16:24:26","","","","Altaic languages"
"bej","Beja","Digital Humanities","","","","2026-04-19 16:24:26","","","","Afro-Asiatic languages"
"frr","Northern Frisian","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"bhb","Bhili","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"bfy","Bagheli","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ie","Interlingue","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Artificial languages"
"bqi","Bakhtiari","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"bal","Baluchi","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"sm","Samoan","Digital Humanities","Digital Man's","","","2026-04-19 16:24:26","","","","Austronesian languages"
"dtm","Tomo Kan Dogon","Digital Humanities","","","","2026-04-19 16:24:26","","","","Nilo-Saharan languages"
"bap","Bantawa","Digital Humanities","","","","2026-04-19 16:24:26","","","","Sino-Tibetan languages"
"cay","Cayuga","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"ga","Irish","Digital Humanities","Daonnachtaí Digiteacha","","","2026-04-19 16:24:26","","","","Indo-European languages"
"mn","Mongolian","Digital Humanities","","","","2026-04-19 16:24:26","False","Дижитал хүмүүнлэгийн ухаан","True","Altaic languages"
"cu","Old Church Slavonic","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"crl","Northern East Cree","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"ku","Kurdish","Digital Humanities","","","","2026-04-19 16:24:26","False","Mirovahiyên Dîjîtal","True","Indo-European languages"
"pdc","Pennsylvania German","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"bum","Bulu","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"chp","Chipewyan","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"tw","Twi","Digital Humanities","Nneɛma a Ɛyɛ Hu","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"kg","Kongo","Digital Humanities","Mambu ya Mfunu Yina Bantu Ketudilaka Ntima","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"xmf","Megrelian","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Caucasian languages"
"ff","Fula","Digital Humanities","","","","2026-04-19 16:24:26","False","Neɗɗaŋke Dijital","True","Niger-Kordofanian languages"
"pa","Panjabi, Punjabi","Digital Humanities","","","","2026-04-19 16:24:26","False","ਡਿਜੀਟਲ ਹਿਊਮੈਨਿਟੀਜ਼","True","Indo-European languages"
"crk","Plains Cree","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"blo","Anii","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ro","Romanian, Moldavan","Digital Humanities","Umanități digitale","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ast","Asturian","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"bax","Bamun","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"et","Estonian","Digital Humanities","Digitaalsed humanitaarteadused","","","2026-04-19 16:24:26","","","","Uralic languages"
"see","Seneca","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"cho","Choctaw","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","North American Indian languages"
"frp","Arpitan / Franco-Provençal","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"eu","Basque","Digital Humanities","Gizatasun digitalak","","","2026-04-19 16:24:26","","","","Basque (family)"
"mdr","Mandar","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"sk","Slovak","Digital Humanities","Digitálne humanitné vedy","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ebu","Embu","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"gn","Guaraní","Digital Humanities","","","","2026-04-19 16:24:26","False","Humanidades Digitales rehegua","True","South American Indian languages"
"uz","Uzbek","Digital Humanities","","","","2026-04-19 16:24:26","False","Raqamli gumanitar fanlar","True","Altaic languages"
"buc","Bushi","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ilo","Ilokano","Digital Humanities","Digital Humanies","","","2026-04-19 16:24:26","","","","Austronesian languages"
"man","Mandarin","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Sino-Tibetan languages"
"lrc","Northern Luri","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ca","Catalan; Valencian","Digital Humanities","Humanitats digitals","","","2026-04-19 16:24:26","","","","Indo-European languages"
"oc","Occitan","Digital Humanities","","","","2026-04-19 16:24:26","False","Umanitats numericas","True","Indo-European languages"
"eky","Eastern Kayah","Digital Humanities","","","","2026-04-19 16:24:26","","","","Sino-Tibetan languages"
"ext","Extremaduran","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"pi","Pāli","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"min","Minangkabau","Digital Humanities","","","","2026-04-19 16:24:26","False","Kamanusiaan Digital","True","Austronesian languages"
"crm","Moose Cree","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"cps","Capiznon","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"gl","Galician","Digital Humanities","Humanos dixitais","","","2026-04-19 16:24:26","","","","Indo-European languages"
"cy","Welsh","Digital Humanities","Person UnigolCity name (optional, probably does not need a translation)","","","2026-04-19 16:24:26","","","","Indo-European languages"
"st","Southern Sotho","Digital Humanities","Lik'hemik'hale Tseo Batho ba li Hlokang","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"pap","Papiamentu","Digital Humanities","Di Con Asina Tantu Cos Humano","","","2026-04-19 16:24:26","","","","Creoles and pidgins"
"lg","Luganda","Digital Humanities","Obusobozi bw'Abantu","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"kmb","Kimbundu","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"afh","Afrihili","Digital Humanities","","","","2026-04-19 16:24:26","","","","Artificial languages"
"kaj","Jju","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"fr","French","Digital Humanities","Humanités numériques","","","2026-04-19 16:24:26","","","","Indo-European languages"
"mas","Masai","Digital Humanities","","","","2026-04-19 16:24:26","","","","Nilo-Saharan languages"
"haw","Hawaiian","Digital Humanities","","","","2026-04-19 16:24:26","False","Nā Humanities Kikohoʻe","True","Austronesian languages"
"hr","Croatian","Digital Humanities","","","","2026-04-19 16:24:26","False","Digitalne humanističke znanosti","True","Indo-European languages"
"oj","Ojibwe, Ojibwa","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","North American Indian languages"
"de","German","Digital Humanities","Digitale Geisteswissenschaften","","","2026-04-19 16:24:26","","","","Indo-European languages"
"tet","Tetum","Digital Humanities","","","","2026-04-19 16:24:26","False","Umanidade Dijitál","True","Austronesian languages"
"el","Greek, Modern","Digital Humanities","Ψηφιακές Ανθρωπιστικές Επιστήμες","","","2026-04-19 16:24:26","","","","Indo-European languages"
"moe","Innu-aimun","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"km","Khmer","Digital Humanities","","","","2026-04-19 16:24:26","False","មនុស្សសាស្ត្រឌីជីថល","True","Austro-Asiatic languages"
"sef","Cebaara Senoufo","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"avk","Kotava","Digital Humanities","","","","2026-04-19 16:24:26","","","","Artificial languages"
"chn","Chinook Jargon","Digital Humanities","","","","2026-04-19 16:24:26","","","","Creoles and pidgins"
"nn","Norwegian Nynorsk","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"kho","Khotanese","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"it","Italian","Digital Humanities","Digital Humanities","","","2026-04-19 16:24:26","","","","Indo-European languages"
"fj","Fijian","Digital Humanities","Cata na iTovo ni Tamata","","","2026-04-19 16:24:26","","","","Austronesian languages"
"lad","Ladino / Judeo-Spanish","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"kv","Komi","Digital Humanities","","","","2026-04-19 16:24:26","False","Цифрӧвӧй гуманитарнӧй наукаяс","True","Uralic languages"
"cnr","Montenegrin","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"crn","Montenegrin","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"az","Azerbaijani","Digital Humanities","İnsaniyyətləri","","","2026-04-19 16:24:26","","","","Altaic languages"
"lo","Lao","Digital Humanities","","","","2026-04-19 16:24:26","False","ມະນຸດສາດດິຈິຕອນ","True","Tai languages"
"iu","Inuktitut","Digital Humanities","","","","2026-04-19 16:24:26","False","ᖃᕆᑕᐅᔭᒃᑯᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ","True","Eskimo-Aleut languages"
"dua","Duala","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"si","Sinhala, Sinhalese","Digital Humanities","","","","2026-04-19 16:24:26","False","ඩිජිටල් මානව ශාස්ත්‍ර","True","Indo-European languages"
"cch","Atsam","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"mag","Magahi","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"lut","Lushootseed","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"nqo","N’Ko","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"id","Indonesian","Digital Humanities","Humanities Digital","","","2026-04-19 16:24:26","","","","Austronesian languages"
"kj","Kwanyama, Kuanyama","Digital Humanities","Kala u na etaleko liwa li na sha novanhu","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"mi","Māori","Digital Humanities","","","","2026-04-19 16:24:26","False","Ngā Tikanga Mamati","True","Austronesian languages"
"ha","Hausa","Digital Humanities","KCharselect unicode block name","","","2026-04-19 16:24:26","","","","Afro-Asiatic languages"
"be","Belarusian","Digital Humanities","","","","2026-04-19 16:24:26","False","Лічбавыя гуманітарныя навукі","True","Indo-European languages"
"dz","Dzongkha","Digital Humanities","","","","2026-04-19 16:24:26","False","དྲ་རྒྱའི་མི་རིགས།","True","Indo-European languages"
"lkt","Lakota","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"om","Oromo","Digital Humanities","WANTA IRRATTI HUNDAAʼE","","","2026-04-19 16:24:26","","","","Afro-Asiatic languages"
"gil","Gilbertese","Digital Humanities","Aroia Aomata n Tokanikai i Aoni Bwaai ni Kabane","","","2026-04-19 16:24:26","","","","Austronesian languages"
"ln","Lingala","Digital Humanities","Biloko oyo bato bazali na yango","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"bn","Bengali","Digital Humanities","","","","2026-04-19 16:24:26","False","ডিজিটাল মানববিদ্যা","True","Indo-European languages"
"ia","Interlingua","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Artificial languages"
"frm","Middle French","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"mo","Moldovan","Digital Humanities","","","","2026-04-19 16:24:26","False","Științe Umaniste Digitale","True","Indo-European languages"
"hi","Hindi","Digital Humanities","डिजिटल मानवता","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ay","Aymara","Digital Humanities","","","","2026-04-19 16:24:26","False","Humanidades Digitales uka tuqit yatxataña","True","South American Indian languages"
"lu","Luba-Katanga","Digital Humanities","BISHINTE BYA KWIFUNDA","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"kvx","Parkari Koli","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"grc","Ancient Greek","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"fo","Faroese","Digital Humanities","","","","2026-04-19 16:24:26","False","Talgild hugvísindi","True","Indo-European languages"
"af","Afrikaans","Digital Humanities","Digitale Menslikhede","","","2026-04-19 16:24:26","","","","Indo-European languages"
"be-x-old","Belarusian (Taraškievica)","Digital Humanities","","","","2026-04-19 16:24:26","False","Лічбавыя гуманітарныя навукі","True","Indo-European languages"
"lan","Lango","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Nilo-Saharan languages"
"eo","Esperanto","Digital Humanities","Ciferecaj homoj","","","2026-04-19 16:24:26","","","","Artificial languages"
"bg","Bulgarian","Digital Humanities","(Средредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредред","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ml","Malayalam","Digital Humanities","മാനവരാശി","","","2026-04-19 16:24:26","","","","Dravidian languages"
"hy","Armenian","Digital Humanities","Դժբախտ մարդիկ","","","2026-04-19 16:24:26","","","","Indo-European languages"
"cs","Czech","Digital Humanities","Digitální humanity","","","2026-04-19 16:24:26","","","","Indo-European languages"
"map-bms","Banyumasan","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Austronesian languages"
"kru","Kurukh","Digital Humanities","","","","2026-04-19 16:24:26","","","","Dravidian languages"
"li","Limburgish","Digital Humanities","","","","2026-04-19 16:24:26","False","Digitale geestesweitesjappe","True","Indo-European languages"
"wae","Walser","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ale","Aleut","Digital Humanities","","","","2026-04-19 16:24:26","","","","Eskimo-Aleut languages"
"bbj","Ghomala","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ceb","Cebuano","Digital Humanities","Digital nga mga Tawhanon","","","2026-04-19 16:24:26","","","","Austronesian languages"
"da","Danish","Digital Humanities","Digitale humaniora","","","2026-04-19 16:24:26","","","","Indo-European languages"
"mg","Malagasy","Digital Humanities","Maha-olombelona nomerika","","","2026-04-19 16:24:26","","","","Austronesian languages"
"mr","Marathi (Marāṭhī)","Digital Humanities","मानवी क्षमता","","","2026-04-19 16:24:26","","","","Indo-European languages"
"he","Hebrew (modern)","Digital Humanities","Humanital Humanities","","","2026-04-19 16:24:26","","","","Afro-Asiatic languages"
"nl","Dutch","Digital Humanities","Digitale geesteswetenschappen","","","2026-04-19 16:24:26","","","","Indo-European languages"
"cv","Chuvash","Digital Humanities","","","","2026-04-19 16:24:26","False","Цифра гуманитари","True","Altaic languages"
"mk","Macedonian","Digital Humanities","Дигитални хуманости","","","2026-04-19 16:24:26","","","","Indo-European languages"
"is","Icelandic","Digital Humanities","Stafræn mannvera","","","2026-04-19 16:24:26","","","","Indo-European languages"
"fud","East Futuna","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"kha","Khasi","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austro-Asiatic languages"
"cad","Caddo","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"chk","Chuukese","Digital Humanities","Kopwe Tongeni Süföliti Aramas","","","2026-04-19 16:24:26","","","","Austronesian languages"
"bfd","Bafut","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"crj","Southern East Cree","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"cjs","Shor","Digital Humanities","","","","2026-04-19 16:24:26","","","","Altaic languages"
"tlh","Klingon","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Artificial languages"
"arp","Arapaho","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"bho","Bhojpuri","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"kum","Kumyk","Digital Humanities","","","","2026-04-19 16:24:26","","","","Altaic languages"
"mdh","Maguindanaon","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"abq","Abaza","Digital Humanities","","","","2026-04-19 16:24:26","","","","Caucasian languages"
"bjj","Kanauji","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"nd","North Ndebele","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Niger-Kordofanian languages"
"bkm","Kom","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"rmy","Romani","Digital Humanities","","","","2026-04-19 16:24:26","False","Digitalno Humaniàlo","True","Indo-European languages"
"fil","Filipino","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"ady","Adyghe","Digital Humanities","","","","2026-04-19 16:24:26","","","","Caucasian languages"
"ug","Uighur, Uyghur","Digital Humanities","","","","2026-04-19 16:24:26","False","رەقەملىك ئىنسانىيەت","True","Altaic languages"
"bin","Bini","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"den","Slave","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"amo","Amo","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"elx","Elamite","Digital Humanities","","","","2026-04-19 16:24:26","","","","Language isolate"
"yi","Yiddish","Digital Humanities","","","","2026-04-19 16:24:26","False","דיגיטאַלע הומאַניטיעס","True","Indo-European languages"
"mai","Maithili","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"dcc","Deccan","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"zh-min-nan","Minnan","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Sino-Tibetan languages"
"bbc","Batak Toba","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"tk","Turkmen","Digital Humanities","","","","2026-04-19 16:24:26","False","Sanly ynsanperwerlik","True","Altaic languages"
"bku","Buhid","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"hnn","Hanunoo","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"kkj","Kako","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ccp","Chakma","Digital Humanities","","","","2026-04-19 16:24:26","","","","Sino-Tibetan languages"
