language_code,language_name,term_source,lingvanex_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,family_name
haw,Hawaiian,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Austronesian languages
ha,Hausa,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
byn,Blin,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
it,Italian,Digital Humanities,Scienze umanistiche digitali,,,2026-04-19 16:24:50,,,,,,Indo-European languages
gaa,Ga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
enm,Middle English,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
nia,Nias,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
bmq,Bomu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
bto,Rinconada Bikol,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
km,Khmer,Digital Humanities,មនុស្សធម៌ឌីជីថល។,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
brh,Brahui,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Dravidian languages
trw,Torwali,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bkm,Kom,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
blo,Anii,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
th,Thai,Digital Humanities,มนุษยศาสตร์ดิจิทัล,,,2026-04-19 16:24:50,,,,,,Tai languages
swg,Swabian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ctd,Tedim Chin,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
tiv,Tiv,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
nov,Novial,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Artificial languages
bho,Bhojpuri,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bze,Jenaama Bozo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
tum,Tumbuka,Digital Humanities,,,,2026-04-19 16:24:50,False,Ŵanthu ŵa pa intaneti,True,,True,Niger-Kordofanian languages
ady,Adyghe,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Caucasian languages
kha,Khasi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
trv,Taroko,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
aii,Assyrian Neo-Aramaic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
vo,Volapük,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Artificial languages
bem,Bemba,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
af,Afrikaans,Digital Humanities,Digitale Geesteswetenskappe,,,2026-04-19 16:24:50,,,,,,Indo-European languages
cic,Chickasaw,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
zh-tw,Traditional Chinese,Digital Humanities,數位人文,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
uli,Ulithian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
bez,Bena,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
tokipona,tokipona,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Artificial languages
ttm,Northern Tutchone,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
crg,Michif,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
kaj,Jju,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
frr,Northern Frisian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
mwr,Marwari,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bzx,Kɛlɛngaxo Bozo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
dsb,Lower Sorbian,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
my,Burmese,Digital Humanities,ဒစ်ဂျစ်တယ်လူ့ပညာ,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
vec,Venetian,Digital Humanities,,,,2026-04-19 16:24:50,False,Siense umane digitałi,True,,True,Indo-European languages
kn,Kannada,Digital Humanities,ಡಿಜಿಟಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,,,2026-04-19 16:24:50,,,,,,Dravidian languages
ki,"Kikuyu, Gikuyu",Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Niger-Kordofanian languages
ie,Interlingue,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Artificial languages
bjj,Kanauji,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bku,Buhid,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
tsd,Tsakonian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
mwk,Kita Maninkakan,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
arp,Arapaho,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
or,Oriya,Digital Humanities,ଡିଜିଟାଲ୍ ମାନବିକତା,,,2026-04-19 16:24:50,,,,,,Indo-European languages
uga,Ugaritic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
afh,Afrihili,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Artificial languages
am,Amharic,Digital Humanities,ዲጂታል ሰብአዊነት,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
ee,Ewe,Digital Humanities,,,,2026-04-19 16:24:50,False,Digitál Amegbetɔŋutinunya,False,Internet Dzi Nu Siwo Gbɔ Míaƒe Ŋutete Ŋu Tsoe,True,Niger-Kordofanian languages
cv,Chuvash,Digital Humanities,,,,2026-04-19 16:24:50,False,Цифра гуманитари,True,,True,Altaic languages
no,Norwegian,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ttj,Tooro,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
hy,Armenian,Digital Humanities,Թվային հումանիտար գիտություններ,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bjn,Banjar,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
cnr,Montenegrin,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bik,Bikol,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
wa,Walloon,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
sel,Selkup,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
ht,Haitian,Digital Humanities,Syans imanitè dijital,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bua,Buriat,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
ewo,Ewondo,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
pih,Norfolk,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Creoles and pidgins
sn,Shona,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
eka,Ekajuk,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
fia,Nobiin,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
elx,Elamite,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
esu,Central Yupik,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Eskimo-Aleut languages
evn,Evenki,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
buc,Bushi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
tsj,Tshangla,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
fit,Tornedalen Finnish,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
so,Somali,Digital Humanities,Bani'aadamnimada Dijital ah,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
hz,Herero,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Niger-Kordofanian languages
thr,Rana Tharu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
byv,Medumba,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
kok,Konkani,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
sv,Swedish,Digital Humanities,Digital humaniora,,,2026-04-19 16:24:50,,,,,,Indo-European languages
frs,Eastern Frisian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
tg,Tajik,Digital Humanities,Гуманитарии рақамӣ,,,2026-04-19 16:24:50,,,,,,Indo-European languages
lis,Lisu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
lwl,Eastern Lawa,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austro-Asiatic languages
dje,Zarma,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
arw,Arawak,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
kgp,Kaingang,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
doi,Dogri,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
cdo,Min Dong Chinese,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Sino-Tibetan languages
ff,Fula,Digital Humanities,,,,2026-04-19 16:24:50,False,Neɗɗaŋke Dijital,True,,True,Niger-Kordofanian languages
ffm,Maasina Fulfulde,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
ckb,Kurdish (Sorani),Digital Humanities,,,,2026-04-19 16:24:50,False,زانستە مرۆییە دیجیتاڵییەکان,True,,True,Indo-European languages
ce,Chechen,Digital Humanities,,,,2026-04-19 16:24:50,False,Терахьийн гуманитаран Ӏилманаш,True,,True,Caucasian languages
cr,Cree,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,North American Indian languages
ch,Chamorro,Digital Humanities,,,,2026-04-19 16:24:50,False,Digital Humanities,True,,True,Austronesian languages
csb,Kashubian,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
hit,Hittite,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
nah,Nahuatl,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,North American Indian languages
mn,Mongolian,Digital Humanities,Дижитал хүмүүнлэг,,,2026-04-19 16:24:50,,,,,,Altaic languages
inh,Ingush,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Caucasian languages
dzg,Dazaga,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
ne,Nepali,Digital Humanities,डिजिटल मानविकी,,,2026-04-19 16:24:50,,,,,,Indo-European languages
kl,Kalaallisut,Digital Humanities,,,,2026-04-19 16:24:50,False,Digitalimik inuussutissarsiorneq,True,,True,North American Indian languages
fon,Fon,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
kru,Kurukh,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Dravidian languages
dak,Dakota,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
lez,Lezghian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Caucasian languages
ro,"Romanian, Moldavan",Digital Humanities,Științe umaniste digitale,,,2026-04-19 16:24:50,,,,,,Indo-European languages
lo,Lao,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Tai languages
tts,Northeastern Thai,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Tai languages
bvb,Bube,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
tn,Tswana,Digital Humanities,,,,2026-04-19 16:24:50,False,Dithuto tsa Botho tsa Dijithale,False,Batho ba ba Itshekileng,True,Niger-Kordofanian languages
egy,Ancient Egyptian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
eky,Eastern Kayah,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sino-Tibetan languages
mt,Maltese,Digital Humanities,Umanistika Diġitali,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
is,Icelandic,Digital Humanities,Stafræn hugvísindi,,,2026-04-19 16:24:50,,,,,,Indo-European languages
oc,Occitan,Digital Humanities,,,,2026-04-19 16:24:50,False,Umanitats numericas,True,,True,Indo-European languages
hax,Southern Haida,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
fil,Filipino,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
fr,French,Digital Humanities,Humanités numériques,,,2026-04-19 16:24:50,,,,,,Indo-European languages
fvr,Fur,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
frc,Cajun French,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
fo,Faroese,Digital Humanities,,,,2026-04-19 16:24:50,False,Talgild hugvísindi,True,,True,Indo-European languages
iu,Inuktitut,Digital Humanities,,,,2026-04-19 16:24:50,False,ᖃᕆᑕᐅᔭᒃᑯᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,True,,True,Eskimo-Aleut languages
mk,Macedonian,Digital Humanities,Дигитални хуманистички науки,,,2026-04-19 16:24:50,,,,,,Indo-European languages
nv,"Navajo, Navaho",Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,North American Indian languages
dyo,Jola-Fonyi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
uz,Uzbek,Digital Humanities,Raqamli gumanitar fanlar,,,2026-04-19 16:24:50,,,,,,Altaic languages
bin,Bini,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
kkj,Kako,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
bew,Betawi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
sq,Albanian,Digital Humanities,Shkenca Humane Dixhitale,,,2026-04-19 16:24:50,,,,,,Indo-European languages
tk,Turkmen,Digital Humanities,Sanly gumanitar ylymlar,,,2026-04-19 16:24:50,,,,,,Altaic languages
cho,Choctaw,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,North American Indian languages
kg,Kongo,Digital Humanities,,,,2026-04-19 16:24:50,False,Bantu ya Dijital,False,Mambu ya Mfunu Yina Bantu Ketudilaka Ntima,True,Niger-Kordofanian languages
ms,Malay,Digital Humanities,Kemanusiaan Digital,,,2026-04-19 16:24:50,,,,,,Austronesian languages
arz,Egyptian Arabic,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Afro-Asiatic languages
nl,Dutch,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Indo-European languages
roa-rup,Aromanian,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
efi,Efik,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
lv,Latvian,Digital Humanities,Digitālās humanitārās zinātnes,,,2026-04-19 16:24:50,,,,,,Indo-European languages
tt,Tatar,Digital Humanities,Санлы гуманитар,,,2026-04-19 16:24:50,,,,,,Altaic languages
nog,Nogai,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Altaic languages
ko,Korean,Digital Humanities,디지털 인문학,,,2026-04-19 16:24:50,,,,,,Language isolate
mi,Māori,Digital Humanities,Mamati Tangata,,,2026-04-19 16:24:50,,,,,,Austronesian languages
pt,Portuguese,Digital Humanities,Humanidades Digitais,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ru,Russian,Digital Humanities,Цифровые гуманитарные науки,,,2026-04-19 16:24:50,,,,,,Indo-European languages
sd,Sindhi,Digital Humanities,ڊجيٽل انسانيت,,,2026-04-19 16:24:50,,,,,,Indo-European languages
sm,Samoan,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Austronesian languages
lt,Lithuanian,Digital Humanities,Skaitmeniniai humanitariniai mokslai,,,2026-04-19 16:24:50,,,,,,Indo-European languages
car,Carib,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
kos,Kosraean,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
awa,Awadhi,Digital Humanities,,,,2026-04-19 16:24:50,False,डिजिटल मानविकी,True,,True,Indo-European languages
bqv,Koro Wachi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
su,Sundanese,Digital Humanities,Kamanusaan Digital,,,2026-04-19 16:24:50,,,,,,Austronesian languages
bqi,Bakhtiari,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ett,Etruscan,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
kk,Kazakh,Digital Humanities,Сандық гуманитарлық ғылымдар,,,2026-04-19 16:24:50,,,,,,Altaic languages
ps,"Pashto, Pushto",Digital Humanities,ډیجیټل انسانیتونه,,,2026-04-19 16:24:50,,,,,,Indo-European languages
tl,Tagalog,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Austronesian languages
fud,East Futuna,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
nr,South Ndebele,Digital Humanities,,,,2026-04-19 16:24:50,False,I-Digital Humanities,True,,True,Niger-Kordofanian languages
ka,Georgian,Digital Humanities,ციფრული ჰუმანიტარული,,,2026-04-19 16:24:50,,,,,,Caucasian languages
ta,Tamil,Digital Humanities,டிஜிட்டல் மனிதநேயம்,,,2026-04-19 16:24:50,,,,,,Dravidian languages
bax,Bamun,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
rm,Romansh,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
twq,Tasawaq,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
fan,Fang,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
kxv,Kuvi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Dravidian languages
ba,Bashkir,Digital Humanities,,,,2026-04-19 16:24:50,False,Һанлы гуманитар фәндәр,True,,True,Altaic languages
bfd,Bafut,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
zh-min-nan,Minnan,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Sino-Tibetan languages
ban,Balinese,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
guc,Wayuu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
gsw,Swiss German,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
lsm,Saamia,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
anp,Angika,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ale,Aleut,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Eskimo-Aleut languages
apc,Levantine Arabic,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
tvl,Tuvalu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
ojs,Oji-Cree,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
qug,Chimborazo Highland Quichua,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,South American Indian languages
asa,Asu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
nsk,Naskapi,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
lkt,Lakota,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
ase,American Sign Language,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Sign languages
kab,Kabyle,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
niu,Niuean,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
ach,Acoli,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Nilo-Saharan languages
xld,Lydian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
tlh,Klingon,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Artificial languages
wo,Wolof,Digital Humanities,,,,2026-04-19 16:24:50,False,Humanité numérique,True,,True,Niger-Kordofanian languages
sco,Scots,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
nij,Ngaju,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
ljp,Lampung Api,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
rmy,Romani,Digital Humanities,,,,2026-04-19 16:24:50,False,Digitalno Humaniàlo,True,,True,Indo-European languages
mgh,Makhuwa-Meetto,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
bug,Buginese,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Austronesian languages
atj,Atikamekw,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
krl,Karelian,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Uralic languages
