language_code,term_source,ollama_translated_term,language_name,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_extracted_dictionaries,ollama_translation,coding_dh_date
nd,Digital Cultural Heritage,Ndiweni Ndebele WeDigitali,North Ndebele,"{'translated_term': 'Ndiweni Ndebele WeDigitali', 
 'translation_rationale': 'The phrase is constructed from three North Ndebele words: ndiweni (intangible cultural heritage), we (digital or online), and ndebele we (culture of the ndebele people). The combination of these elements aims to convey the essence of digital cultural heritage in a way that respects North Ndebele language and tradition. Alternatively, one could use ""Ndikulu WeDigitali"" (intangible culture that is digital) or ""WeDigitali WeNdebele"" (digital culture of the ndebele people), which also convey the idea of digital cultural heritage but with slightly different emphases.', 
 'alternative_translations': ['Ndikulu WeDigitali', 'WeDigitali WeNdebele']}",llama3.2,2025-02-27T22:25:14.572002Z,1550216417.0,26641708.0,126.0,16000000.0,178.0,1506000000.0,stop,[],,2025-05-31 21:15:56
nl,Digital Cultural Heritage,Digitale Cultuurheritage,Dutch,"{'translated_term': 'Digitale Cultuurheritage', 'translation_rationale': 'De term ""Digital Cultural Heritage"" is een samengesteld woord dat aangeeft dat het gaat om het culturele erfgoed in de digitale vorm. In het Nederlands kan dit best werden uitgedrukt met ""Digitale Cultuurheritage"", waarmee de nadruk op het digitale aspect wordt gevestigd en het culturele aspect is duidelijk.'}
{'alternative_translation': 'Cultureel Digital Heritage', 
 'translation_rationale': 'Een alternatieve manier om het te vertalen is ""Cultureel Digital Heritage"". Dit wordt gebruikt wanneer je een minder formele of informele toon wilt overbrengen. Een ander woord dat vaak kan worden geassocieerd met het culturele erfgoed, maar niet noodzakelijk digital is ""Cultuurhistorisch Erfgoed"", wat meer op de traditionele, mais cultureel aspect van het erfgoed wees.'}",llama3.2,2025-05-15T19:58:11.696041Z,2187537167.0,29442250.0,118.0,75073708.0,221.0,2082352417.0,stop,"[{'translated_term': 'Digitale Cultuurheritage', 'translation_rationale': 'De term ""Digital Cultural Heritage"" is een samengesteld woord dat aangeeft dat het gaat om het culturele erfgoed in de digitale vorm. In het Nederlands kan dit best werden uitgedrukt met ""Digitale Cultuurheritage"", waarmee de nadruk op het digitale aspect wordt gevestigd en het culturele aspect is duidelijk.'}]",Digitale Cultuurheritage,2025-05-31 21:15:56
iu,Digital Cultural Heritage,Ŋiqiniq Katsirpijarmiut,Inuktitut,"{'translated_term': 'Ŋiqiniq Katsirpijarmiut', 
 'translation_rationale': 'Digital Cultural Heritage refers to the intangible and material aspects of a culture that exist in digital formats. In Inuktitut, ""Ŋiqiniq"" means ""culture"" or ""tradition"", while ""Katsirpijarmiut"" means ""things that are stored"" or ""records"". Combining these two words gives us the term Ŋiqiniq Katsirpijarmiut, which translates to ""stored culture"" or ""recorded traditions"". This translation captures the essence of digital cultural heritage as a collection of intangible and material aspects of a culture that are preserved and made accessible through digital means.', 
 'translation_alternatives': ['Kitsirpijarmiut', 'Niqiniq Katsirpijarmiut', 'Ŋiqiniqtut Katsirpijarmiut']}",llama3.2,2025-05-15T19:59:30.232904Z,1917212042.0,31535667.0,125.0,152357875.0,204.0,1732573750.0,stop,[],,2025-05-31 21:15:56
nn,Digital Cultural Heritage,Digital Cultural Heritage,Norwegian Nynorsk,"{'translated_term': 'Digitalt kulturminne', 'translation_riação': 'Dette er ei samlebegriff som kombinerer teknologi og kulturskap, og er relevansert for alle typar verkar som er digitaliserte eller digitale, så vel som for den immateriale delen av kulturen som finstiller seg i form av musikk, språk, litteratur og andre kulturréssurer. I Nynorsk er det vanlegast å bruka ordet ""kulturminne"" som en mer generisk term, men her har vi valt å tilpasse etter ISO-kode til å bruke ""digitalt"", for å gjøre tydelen på at verka er digitaliserte eller digitale.'}

Alternatively, a more formal translation could be:

{'translated_term': 'Digital Cultural Heritage', 'translation_riação': 'En term som kombinerer teknologi og kulturskap, med fokus på digitalisering av kulturelle fenomen og -ressurser. I Nynorsk kan ""kulturminne"" brukes som en mer generisk term, men her har vi valt å bruke ""digitalt"" for å tydliggjøre digitaliseringens betydning.'}

Note that the translation of 'Digital Cultural Heritage' to Norwegian Nynorsk is not an exact match, as the English term encompasses a broader concept. The above translations aim to convey the essence of the English term while adapting it to the nuances of Norwegian Nynorsk.",llama3.2,2025-02-27T22:25:33.988067Z,3156419333.0,27368667.0,124.0,22000000.0,329.0,3105000000.0,stop,"[{'translated_term': 'Digitalt kulturminne', 'translation_riação': 'Dette er ei samlebegriff som kombinerer teknologi og kulturskap, og er relevansert for alle typar verkar som er digitaliserte eller digitale, så vel som for den immateriale delen av kulturen som finstiller seg i form av musikk, språk, litteratur og andre kulturréssurer. I Nynorsk er det vanlegast å bruka ordet ""kulturminne"" som en mer generisk term, men her har vi valt å tilpasse etter ISO-kode til å bruke ""digitalt"", for å gjøre tydelen på at verka er digitaliserte eller digitale.'}, {'translated_term': 'Digital Cultural Heritage', 'translation_riação': 'En term som kombinerer teknologi og kulturskap, med fokus på digitalisering av kulturelle fenomen og -ressurser. I Nynorsk kan ""kulturminne"" brukes som en mer generisk term, men her har vi valt å bruke ""digitalt"" for å tydliggjøre digitaliseringens betydning.'}]",Digital Cultural Heritage,2025-05-31 21:15:56
no,Digital Cultural Heritage,Digital kulturarv,Norwegian,"{'translated_term': 'Digital kulturarv', 'translation_rationale': 'The term ""Digital Cultural Heritage"" can be roughly translated to ""Digital cultural legacy"" or ""Digital kulturarv"", emphasizing the idea of preserving and promoting cultural heritage in a digital format. Alternately, one could use ""Kulturelturdigitalt arv"" to make it more explicit that it refers to something related to culture and technology.', 'translation_notes': 'In Norwegian, we often use ""kulturarv"" (plural) for traditional cultural heritage, but adding ""digitalt"" clarifies the modern twist on this concept.'}",llama3.2,2025-05-15T20:03:08.17346Z,1255811459.0,40392250.0,118.0,75445167.0,130.0,1138878792.0,stop,"[{'translated_term': 'Digital kulturarv', 'translation_rationale': 'The term ""Digital Cultural Heritage"" can be roughly translated to ""Digital cultural legacy"" or ""Digital kulturarv"", emphasizing the idea of preserving and promoting cultural heritage in a digital format. Alternately, one could use ""Kulturelturdigitalt arv"" to make it more explicit that it refers to something related to culture and technology.', 'translation_notes': 'In Norwegian, we often use ""kulturarv"" (plural) for traditional cultural heritage, but adding ""digitalt"" clarifies the modern twist on this concept.'}]",Digital kulturarv,2025-05-31 21:15:56
nr,Digital Cultural Heritage,Dzasa Dine Khona,South Ndebele,"{'translated_term': 'Silimela Dzasa Ndebele', 'translation_rationale': 'I have combined ""silimela"" (meaning ""to collect"" or ""to gather"") with ""dzasa"" (meaning ""culture"" or ""heritage""), to convey the idea of collecting and preserving cultural knowledge in a digital format. This term is commonly used in South Ndebele culture to refer to traditional knowledge and cultural practices.'}

Alternatively, I could also suggest:

{'translated_term': 'Dzasa Dine Khona', 'translation_rationale': 'I have combined ""dzasa"" (meaning ""culture"" or ""heritage"") with ""dine"" (meaning ""things"" or ""kinds of things"") and the preposition ""khona"", which means ""in a place"" or ""in a location"". This term emphasizes the idea of digital cultural heritage being stored and preserved in a particular place or location.'}

However, I believe that 'Silimela Dzasa Ndebele' is a more suitable translation, as it directly conveys the idea of collecting and preserving cultural knowledge in a digital format.",llama3.2,2025-05-15T20:03:16.90259Z,2154191625.0,35138792.0,126.0,18015625.0,237.0,2099789583.0,stop,"[{'translated_term': 'Silimela Dzasa Ndebele', 'translation_rationale': 'I have combined ""silimela"" (meaning ""to collect"" or ""to gather"") with ""dzasa"" (meaning ""culture"" or ""heritage""), to convey the idea of collecting and preserving cultural knowledge in a digital format. This term is commonly used in South Ndebele culture to refer to traditional knowledge and cultural practices.'}, {'translated_term': 'Dzasa Dine Khona', 'translation_rationale': 'I have combined ""dzasa"" (meaning ""culture"" or ""heritage"") with ""dine"" (meaning ""things"" or ""kinds of things"") and the preposition ""khona"", which means ""in a place"" or ""in a location"". This term emphasizes the idea of digital cultural heritage being stored and preserved in a particular place or location.'}]",Dzasa Dine Khona,2025-05-31 21:15:56
nv,Digital Cultural Heritage,Háá Diné Shasháaz,"Navajo, Navaho","{'translated_term': 'Háá Diné Shasháaz', 'translation_rationale': 'The term ""Digital Cultural Heritage"" can be broken down into its Navajo components: ""háá"" meaning digital or related to technology, ""díné"" referring to the culture and people of the Navajo Nation, and ""shasháaz"" conveying the concept of preservation and transmission. This translation aims to capture the essence of cultural heritage being digitized and made accessible.'}",llama3.2,2025-05-15T20:02:47.992396Z,963493667.0,40892167.0,126.0,19022125.0,101.0,902365084.0,stop,"[{'translated_term': 'Háá Diné Shasháaz', 'translation_rationale': 'The term ""Digital Cultural Heritage"" can be broken down into its Navajo components: ""háá"" meaning digital or related to technology, ""díné"" referring to the culture and people of the Navajo Nation, and ""shasháaz"" conveying the concept of preservation and transmission. This translation aims to capture the essence of cultural heritage being digitized and made accessible.'}]",Háá Diné Shasháaz,2025-05-31 21:15:56
ny,Digital Cultural Heritage,Heriti za Kudigitala za Uwanda,Chichewa; Chewa; Nyanja,"```
{
  ""translated_term"": ""Heriti ya Kudigitala kwa Uwanda wa kitamaduni"",
  ""translation_rationale"": 
    ""Nyabanza ni kazi yenye mantiki kwani 'Digital' inapangia kielelezo cha kimfumo kipya ambacho kinachomkabiliana na urithi wa kitamaduni, na 'Cultural Heritage' huwasilisha urithi wa kitamaduni. Nyanja ni lugha ya mwisho katika nchi za Mashariki mwa Afrika na kuifanya kuwa lugha inayotegemea sana kwa watu wengi, hivyo kusababisha kuchaguliwa kama lugha ya kurasa za urithi wa kitamaduni. "",
  ""alternative_translations"": 
    [
      {""translated_term"": ""Heriti ya kimfumo cha Kitaifa"", ""translation_rationale"": ""Kwa kuunganishwa na 'Digital', njia hii inahusisha ufafanuzi mpya wa kufafanua urithi wa kitamaduni katika nyanja za kimfumo.""},
      {""translated_term"": ""Uwanda wa kitamaduni wa Kilelezi"", ""translation_rationale"": ""Hii inawakilisha msisitizo wa 'Cultural' na kujumuisha ujumla wa urithi wa kitamaduni katika nyanja za kimfumo. Mtu anayebinafsisha ufafanuzi huu anakubali kuwa jumla ya uwanda wa kitamaduni ni zaidi ya lengo kubainisha heriti za kihistoria.""},
      {""translated_term"": ""Heriti za Kudigitala za Uwanda"", ""translation_rationale"": ""Ukosefu wa ubinafsi katika maana huturuhusu kusawazishwa na 'Cultural Heritage' ili kuunda maana halisi ya urithi wa kitamaduni ambao unachukuliwa kama zinavyo digrii za kimfumo.""},
    ]
}
```",llama3.2,2025-02-27T22:14:26.429243Z,5292495167.0,30990125.0,165.0,95000000.0,474.0,5165000000.0,stop,"[{'translated_term': 'Heriti ya kimfumo cha Kitaifa', 'translation_rationale': ""Kwa kuunganishwa na 'Digital', njia hii inahusisha ufafanuzi mpya wa kufafanua urithi wa kitamaduni katika nyanja za kimfumo.""}, {'translated_term': 'Uwanda wa kitamaduni wa Kilelezi', 'translation_rationale': ""Hii inawakilisha msisitizo wa 'Cultural' na kujumuisha ujumla wa urithi wa kitamaduni katika nyanja za kimfumo. Mtu anayebinafsisha ufafanuzi huu anakubali kuwa jumla ya uwanda wa kitamaduni ni zaidi ya lengo kubainisha heriti za kihistoria.""}, {'translated_term': 'Heriti za Kudigitala za Uwanda', 'translation_rationale': ""Ukosefu wa ubinafsi katika maana huturuhusu kusawazishwa na 'Cultural Heritage' ili kuunda maana halisi ya urithi wa kitamaduni ambao unachukuliwa kama zinavyo digrii za kimfumo.""}]",Heriti za Kudigitala za Uwanda,2025-05-31 21:15:56
oc,Digital Cultural Heritage,,Occitan,"{'translated_term': 'Patrimòni Cultural Numeric e Digital', 
'translation_rationale': 'I chose to combine ""numeric"" and ""digital"" with ""cultural patrimoni"" from the Occitan term ""patrimòni"", which is commonly used in French-speaking regions. The term ""Patrimòni Cultural Numeric"" suggested by Google Translate emphasizes the numerical aspect, but I believe ""e digital"" better captures the essence of digital cultural heritage. 
Alternatives: Patrimòni Cultural Digital, Patrimòni Numèric e Cultura, Patrimòni CULTURAL digitau', could also be considered.'",llama3.2,2025-02-27T22:26:19.309008Z,1691600625.0,30813667.0,150.0,97000000.0,133.0,1561000000.0,stop,[],,2025-05-31 21:15:56
oj,Digital Cultural Heritage,Wiinibozho Binaadawagamig,"Ojibwe, Ojibwa","{'translated_term': 'Wiinibozho Binaadawagamig', 'translation_rationale': 'The term ""Wiinibozho"" refers to digital technology in Ojibwe, and ""Binaadawagamig"" means ""heritage"" or ""traditions"". This translation reflects the idea of preserving and honoring our cultural traditions through digital means. Alternatives could be used, such as ""Nanobozho Binaadawagamig"", which uses the word for ""digital"" in a more traditional sense, but ""Wiinibozho"" is the most commonly accepted term.'}

Note: The Ojibwe language has different dialects and variations. The above translation is based on the Eastern Ojibwe dialect, which is one of the most widely spoken dialects. Other dialects may have slightly different words or pronunciations for similar terms.",llama3.2,2025-05-15T20:03:27.334131Z,1844168792.0,46785417.0,135.0,88665083.0,188.0,1707790833.0,stop,"[{'translated_term': 'Wiinibozho Binaadawagamig', 'translation_rationale': 'The term ""Wiinibozho"" refers to digital technology in Ojibwe, and ""Binaadawagamig"" means ""heritage"" or ""traditions"". This translation reflects the idea of preserving and honoring our cultural traditions through digital means. Alternatives could be used, such as ""Nanobozho Binaadawagamig"", which uses the word for ""digital"" in a more traditional sense, but ""Wiinibozho"" is the most commonly accepted term.'}]",Wiinibozho Binaadawagamig,2025-05-31 21:15:56
os,Digital Cultural Heritage,ወჳარᆸჶიბოქ 仩北仲都ა,"Ossetian, Ossetic","{'translated_term': '\u12c8\u10f3\u10d0\u10e0\u11b8\u10f6\u10d8\u10d1\u10dd\u10e5 \u4ee9\u5317\u4ef2\u90fd\u10d0', 'translation_rationale': 'I have used a combination of Ossetian words to convey the meaning of Digital Cultural Heritage. ''\u12c8\u10f3'' means ""digital"" in Ossetic, while ''\u10d0\u10e0'' is equivalent to English ""technology"". The term ''\u4ee9\u5317\u4ef2'' means ""cultural heritage"", and ''\u90fd'' adds a suffix indicating something related or associated with something else. I have also used ''\u10dd\u10e5'' to imply a digital component, which is often added to cultural terms in Ossetian to denote a modern twist. The suggested translation provided by Google translate could be seen as more literal but does not fully capture the nuances of the term Digital Cultural Heritage.'}

Note: The transliteration used here is based on the ISO 9 standard for Ossetic language.",llama3.2,2025-02-27T22:27:27.825155Z,2376903125.0,22089083.0,166.0,97000000.0,256.0,2255000000.0,stop,"[{'translated_term': 'ወჳარᆸჶიბოქ 仩北仲都ა', 'translation_rationale': 'I have used a combination of Ossetian words to convey the meaning of Digital Cultural Heritage. ወჳ means ""digital"" in Ossetic, while არ is equivalent to English ""technology"". The term 仩北仲 means ""cultural heritage"", and 都 adds a suffix indicating something related or associated with something else. I have also used ოქ to imply a digital component, which is often added to cultural terms in Ossetian to denote a modern twist. The suggested translation provided by Google translate could be seen as more literal but does not fully capture the nuances of the term Digital Cultural Heritage.'}]",ወჳარᆸჶიბოქ 仩北仲都ა,2025-05-31 21:15:56
pa,Digital Cultural Heritage,,"Panjabi, Punjabi","{'translated_term': '\u092c\u094d \u092e\u093f\u0932 \u0917\u0936 \u0928\u094d \u0955\u093a\u093f', 'translation_rationale': 'The translation is based on the literal meaning of ""Digital"" (ਡਿਜੀਟਲ) cultural heritage (ਸੱਭਿਆਚਾਰਕ ਵਿਰਾਸਤ), which is already available in Panjabi language as ''\u092c\u094d \u092e\u093f\u0932''', and adding the prefix ""ਡਿਜੀਟਲ"" for the term. The added suffix ""ਵਿਰਾਸਤ"" is used to indicate heritage or legacy, making it a direct translation of ""Digital Cultural Heritage"". Alternatives could be ''\u092c\u094d \u093f \u0917\u0936 \u0955'' ( simply digital ਸੱਭਿਆਚਾਰਕ) or ''\u092c\u094d \u092e\u093f\u0932 ਦਲੀਲ'' (ਡਿਜੀਟਲ ਵਿਰਾਸਤ), depending on the context.', 'alternative_translations': ['\u092c\u094d \u093f \u0917\u0936 \u0955', '\u092c\u094d \u092e\u093f\u0932 ਦਲੀਲ']}",llama3.2,2025-02-27T22:27:36.290011Z,3928968750.0,24396666.0,192.0,172000000.0,364.0,3730000000.0,stop,[],,2025-05-31 21:15:56
