language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
rn,Digital Cultural Heritage,Iragi ry&#39;umuco ry&#39;ubuhinga bwa none,Kirundi,2025-05-31 21:15:56,,
ro,Digital Cultural Heritage,Patrimoniul cultural digital,"Romanian, Moldavan",2025-05-31 21:15:56,,
ru,Digital Cultural Heritage,Цифровое культурное наследие,Russian,2025-05-31 21:15:56,,
rw,Digital Cultural Heritage,Umurage ndangamuco,Kinyarwanda,2025-05-31 21:15:56,,
no,Digital Cultural Heritage,Digital kulturarv,Norwegian,2025-05-31 21:15:56,,
nn,Digital Cultural Heritage,,Norwegian Nynorsk,2025-05-31 21:15:56,,
nl,Digital Cultural Heritage,Digitaal Cultureel Erfgoed,Dutch,2025-05-31 21:15:56,,
ne,Digital Cultural Heritage,डिजिटल सांस्कृतिक सम्पदा,Nepali,2025-05-31 21:15:56,,
ng,Digital Cultural Heritage,,Ndonga,2025-05-31 21:15:56,,
ln,Digital Cultural Heritage,Patrimoine culturel numérique,Lingala,2025-05-31 21:15:56,,
lo,Digital Cultural Heritage,ມໍລະດົກວັດທະນະທໍາດິຈິຕອນ,Lao,2025-05-31 21:15:56,,
lt,Digital Cultural Heritage,Skaitmeninis kultūros paveldas,Lithuanian,2025-05-31 21:15:56,,
lu,Digital Cultural Heritage,,Luba-Katanga,2025-05-31 21:15:56,,
lv,Digital Cultural Heritage,Digitālais kultūras mantojums,Latvian,2025-05-31 21:15:56,,
mg,Digital Cultural Heritage,Lova ara-kolontsaina nomerika,Malagasy,2025-05-31 21:15:56,,
mh,Digital Cultural Heritage,Digital Cultural Heritage,Marshallese,2025-05-31 21:15:56,,
mi,Digital Cultural Heritage,Taonga Ahurea Mamati,Māori,2025-05-31 21:15:56,,
ml,Digital Cultural Heritage,ഡിജിറ്റൽ സാംസ്കാരിക പൈതൃകം,Malayalam,2025-05-31 21:15:56,,
li,Digital Cultural Heritage,Digitaal Cultuurerfgood,Limburgish,2025-05-31 21:15:56,,
mn,Digital Cultural Heritage,Дижитал соёлын өв,Mongolian,2025-05-31 21:15:56,,
mr,Digital Cultural Heritage,डिजिटल सांस्कृतिक वारसा,Marathi (Marāṭhī),2025-05-31 21:15:56,,
ms,Digital Cultural Heritage,Warisan Budaya Digital,Malay,2025-05-31 21:15:56,,
mt,Digital Cultural Heritage,Wirt Kulturali Diġitali,Maltese,2025-05-31 21:15:56,,
my,Digital Cultural Heritage,ဒစ်ဂျစ်တယ်ယဉ်ကျေးမှုအမွေအနှစ်,Burmese,2025-05-31 21:15:56,,
na,Digital Cultural Heritage,,Nauru,2025-05-31 21:15:56,,
nb,Digital Cultural Heritage,Digital kulturarv,Norwegian Bokmål,2025-05-31 21:15:56,,
nd,Digital Cultural Heritage,,North Ndebele,2025-05-31 21:15:56,,
sc,Digital Cultural Heritage,,Sardinian,2025-05-31 21:15:56,,
sd,Digital Cultural Heritage,ڊجيٽل ثقافتي ورثو,Sindhi,2025-05-31 21:15:56,,
se,Digital Cultural Heritage,Digitála kulturárbi,Northern Sami,2025-05-31 21:15:56,,
tn,Digital Cultural Heritage,Boswa jwa Setso jwa Dijithale,Tswana,2025-05-31 21:15:56,,
tr,Digital Cultural Heritage,Dijital Kültürel Miras,Turkish,2025-05-31 21:15:56,,
ts,Digital Cultural Heritage,Ndzhaka ya Ndhavuko ya Xidijitali,Tsonga,2025-05-31 21:15:56,,
tt,Digital Cultural Heritage,Санлы мәдәни мирас,Tatar,2025-05-31 21:15:56,,
tw,Digital Cultural Heritage,Digitals Amammerɛ Agyapade,Twi,2025-05-31 21:15:56,,
ty,Digital Cultural Heritage,Te faufaa ai&#39;a ahurea digital,Tahitian,2025-05-31 21:15:56,,
ug,Digital Cultural Heritage,رەقەملىك مەدەنىيەت مىراسلىرى,"Uighur, Uyghur",2025-05-31 21:15:56,,
uk,Digital Cultural Heritage,Цифрова культурна спадщина,Ukrainian,2025-05-31 21:15:56,,
ur,Digital Cultural Heritage,ڈیجیٹل ثقافتی ورثہ,Urdu,2025-05-31 21:15:56,,
uz,Digital Cultural Heritage,Raqamli madaniy meros,Uzbek,2025-05-31 21:15:56,,
ve,Digital Cultural Heritage,Vhufa ha Mvelele ha Didzhithala,Venda,2025-05-31 21:15:56,,
vi,Digital Cultural Heritage,Di sản văn hóa số,Vietnamese,2025-05-31 21:15:56,,
vo,Digital Cultural Heritage,,Volapük,2025-05-31 21:15:56,,
wa,Digital Cultural Heritage,,Walloon,2025-05-31 21:15:56,,
wo,Digital Cultural Heritage,Patrimoine Culturel Numérique,Wolof,2025-05-31 21:15:56,,
xh,Digital Cultural Heritage,ILifa leMveli yeNkcubeko yeDijithali,Xhosa,2025-05-31 21:15:56,,
yi,Digital Cultural Heritage,דיגיטאַל קולטור העריטאַגע,Yiddish,2025-05-31 21:15:56,,
yo,Digital Cultural Heritage,Digital Cultural Heritage,Yoruba,2025-05-31 21:15:56,,
za,Digital Cultural Heritage,,"Zhuang, Chuang",2025-05-31 21:15:56,,
zh,Digital Cultural Heritage,数字文化遗产,Chinese,2025-05-31 21:15:56,,
to,Digital Cultural Heritage,Tukufakaholo Fakafonua Fakakomipiuta,Tonga,2025-05-31 21:15:56,,
tl,Digital Cultural Heritage,Digital Cultural Heritage,Tagalog,2025-05-31 21:15:56,,
sg,Digital Cultural Heritage,Héritage culturel numérique,Sango,2025-05-31 21:15:56,,
tk,Digital Cultural Heritage,Sanly medeni miras,Turkmen,2025-05-31 21:15:56,,
sh,Digital Cultural Heritage,Дигитално културно наслеђе,Serbo-Crotian,2025-05-31 21:15:56,,
si,Digital Cultural Heritage,ඩිජිටල් සංස්කෘතික උරුමය,"Sinhala, Sinhalese",2025-05-31 21:15:56,,
sk,Digital Cultural Heritage,Digitálne kultúrne dedičstvo,Slovak,2025-05-31 21:15:56,,
sl,Digital Cultural Heritage,Digitalna kulturna dediščina,Slovene,2025-05-31 21:15:56,,
sm,Digital Cultural Heritage,Fa&#39;afuainumera Fa&#39;aleaganu&#39;u,Samoan,2025-05-31 21:15:56,,
sn,Digital Cultural Heritage,Digital Cultural Heritage,Shona,2025-05-31 21:15:56,,
so,Digital Cultural Heritage,Dhaxalka Dhaqanka Dijital ah,Somali,2025-05-31 21:15:56,,
sq,Digital Cultural Heritage,Trashëgimia Kulturore Dixhitale,Albanian,2025-05-31 21:15:56,,
sr,Digital Cultural Heritage,Дигитално културно наслеђе,Serbian,2025-05-31 21:15:56,,
ss,Digital Cultural Heritage,Emagugu Emasiko Edijithali,Swati,2025-05-31 21:15:56,,
st,Digital Cultural Heritage,Digital Cultural Heritage,Southern Sotho,2025-05-31 21:15:56,,
su,Digital Cultural Heritage,Warisan Budaya Digital,Sundanese,2025-05-31 21:15:56,,
sv,Digital Cultural Heritage,Digitalt kulturarv,Swedish,2025-05-31 21:15:56,,
sw,Digital Cultural Heritage,Urithi wa Utamaduni wa Dijiti,Swahili,2025-05-31 21:15:56,,
ta,Digital Cultural Heritage,டிஜிட்டல் கலாச்சார பாரம்பரியம்,Tamil,2025-05-31 21:15:56,,
te,Digital Cultural Heritage,డిజిటల్ సాంస్కృతిక వారసత్వం,Telugu,2025-05-31 21:15:56,,
tg,Digital Cultural Heritage,Мероси фарҳангии рақамӣ,Tajik,2025-05-31 21:15:56,,
th,Digital Cultural Heritage,มรดกทางวัฒนธรรมดิจิทัล,Thai,2025-05-31 21:15:56,,
ti,Digital Cultural Heritage,ዲጂታል ባህላዊ ውርሻ,Tigrinya,2025-05-31 21:15:56,,
mk,Digital Cultural Heritage,Дигитално културно наследство,Macedonian,2025-05-31 21:15:56,,
lb,Digital Cultural Heritage,Digital Kulturierwen,Luxembourgish,2025-05-31 21:15:56,,
ay,Digital Cultural Heritage,Patrimonio Cultural Digital ukax mä jach’a uñt’ayawiwa,Aymara,2025-05-31 21:15:56,,
dv,Digital Cultural Heritage,ދިރާގު ސަގާފީ ތަރިކަ,Divehi; Maldivian;,2025-05-31 21:15:56,,
fi,Digital Cultural Heritage,Digitaalinen kulttuuriperintö,Finnish,2025-05-31 21:15:56,,
co,Digital Cultural Heritage,Patrimoniu culturale digitale,Corsican,2025-05-31 21:15:56,,
cr,Digital Cultural Heritage,,Cree,2025-05-31 21:15:56,,
cs,Digital Cultural Heritage,Digitální kulturní dědictví,Czech,2025-05-31 21:15:56,,
cu,Digital Cultural Heritage,,Old Church Slavonic,2025-05-31 21:15:56,,
cv,Digital Cultural Heritage,Цифра культура еткерлӗхӗ,Chuvash,2025-05-31 21:15:56,,
cy,Digital Cultural Heritage,Treftadaeth Ddiwylliannol Ddigidol,Welsh,2025-05-31 21:15:56,,
da,Digital Cultural Heritage,Digital kulturarv,Danish,2025-05-31 21:15:56,,
de,Digital Cultural Heritage,Digitales Kulturerbe,German,2025-05-31 21:15:56,,
ee,Digital Cultural Heritage,Digitál Dekɔnu Domenyinu,Ewe,2025-05-31 21:15:56,,
dz,Digital Cultural Heritage,དྲ་རྒྱའི་རིག་གནས་ཤུལ་བཞག།,Dzongkha,2025-05-31 21:15:56,,
la,Digital Cultural Heritage,Digital Heritage culturale,Latin,2025-05-31 21:15:56,,
el,Digital Cultural Heritage,Ψηφιακή Πολιτιστική Κληρονομιά,"Greek, Modern",2025-05-31 21:15:56,,
en,Digital Cultural Heritage,Digital Cultural Heritage,English,2025-05-31 21:15:56,,
eo,Digital Cultural Heritage,Cifereca Kultura Heredaĵo,Esperanto,2025-05-31 21:15:56,,
es,Digital Cultural Heritage,Patrimonio cultural digital,Spanish; Castilian,2025-05-31 21:15:56,,
et,Digital Cultural Heritage,Digitaalne kultuuripärand,Estonian,2025-05-31 21:15:56,,
eu,Digital Cultural Heritage,Kultura Ondare Digitala,Basque,2025-05-31 21:15:56,,
fa,Digital Cultural Heritage,میراث فرهنگی دیجیتال,Persian,2025-05-31 21:15:56,,
ff,Digital Cultural Heritage,Ndonu pinal dijital,Fula,2025-05-31 21:15:56,,
ch,Digital Cultural Heritage,I Herensian Kotturan Digital,Chamorro,2025-05-31 21:15:56,,
ce,Digital Cultural Heritage,Терахьийн культурин тӀаьхье,Chechen,2025-05-31 21:15:56,,
ca,Digital Cultural Heritage,Patrimoni Cultural Digital,Catalan; Valencian,2025-05-31 21:15:56,,
br,Digital Cultural Heritage,Glad sevenadurel niverel,Breton,2025-05-31 21:15:56,,
bs,Digital Cultural Heritage,Digitalno kulturno naslijeđe,Bosnian,2025-05-31 21:15:56,,
ae,Digital Cultural Heritage,,Avestan,2025-05-31 21:15:56,,
af,Digital Cultural Heritage,Digitale kulturele erfenis,Afrikaans,2025-05-31 21:15:56,,
ak,Digital Cultural Heritage,Digitals Amammerɛ Agyapade,Akan,2025-05-31 21:15:56,,
am,Digital Cultural Heritage,ዲጂታል የባህል ቅርስ,Amharic,2025-05-31 21:15:56,,
an,Digital Cultural Heritage,,Aragonese,2025-05-31 21:15:56,,
ar,Digital Cultural Heritage,التراث الثقافي الرقمي,Arabic,2025-05-31 21:15:56,,
as,Digital Cultural Heritage,ডিজিটেল সাংস্কৃতিক ঐতিহ্য,Assamese,2025-05-31 21:15:56,,
av,Digital Cultural Heritage,Цифрияб культураялъул ирс,Avaric,2025-05-31 21:15:56,,
az,Digital Cultural Heritage,Rəqəmsal Mədəni İrs,Azerbaijani,2025-05-31 21:15:56,,
ab,Digital Cultural Heritage,Адиджиталтә культуратә ҭынха,Abkhaz,2025-05-31 21:15:56,,
ba,Digital Cultural Heritage,Һанлы мәҙәни мираҫ,Bashkir,2025-05-31 21:15:56,,
be,Digital Cultural Heritage,Лічбавая культурная спадчына,Belarusian,2025-05-31 21:15:56,,
bg,Digital Cultural Heritage,Цифрово културно наследство,Bulgarian,2025-05-31 21:15:56,,
bh,Digital Cultural Heritage,डिजिटल सांस्कृतिक विरासत के बा,Bihari,2025-05-31 21:15:56,,
bi,Digital Cultural Heritage,,Bislama,2025-05-31 21:15:56,,
bm,Digital Cultural Heritage,Cɛsiri Cɛsiri Nizɛri,Bambara,2025-05-31 21:15:56,,
bn,Digital Cultural Heritage,ডিজিটাল সাংস্কৃতিক ঐতিহ্য,Bengali,2025-05-31 21:15:56,,
bo,Digital Cultural Heritage,གྲངས་འཛིན་རིག་གནས་ཤུལ་བཞག།,Tibetan,2025-05-31 21:15:56,,
fj,Digital Cultural Heritage,Na iTukutuku Makawa ni Digitaki,Fijian,2025-05-31 21:15:56,,
fo,Digital Cultural Heritage,Talgildi mentanararvur,Faroese,2025-05-31 21:15:56,,
fr,Digital Cultural Heritage,Patrimoine culturel numérique,French,2025-05-31 21:15:56,,
io,Digital Cultural Heritage,,Ido,2025-05-31 21:15:56,,
it,Digital Cultural Heritage,Patrimonio culturale digitale,Italian,2025-05-31 21:15:56,,
iu,Digital Cultural Heritage,ᖃᕆᑕᐅᔭᒃᑯᑦ ᐃᓕᖅᑯᓯᑐᖃᓕᕆᓂᖅ,Inuktitut,2025-05-31 21:15:56,,
ja,Digital Cultural Heritage,デジタル文化遺産,Japanese,2025-05-31 21:15:56,,
jv,Digital Cultural Heritage,Warisan Budaya Digital,Javanese,2025-05-31 21:15:56,,
ka,Digital Cultural Heritage,ციფრული კულტურული მემკვიდრეობა,Georgian,2025-05-31 21:15:56,,
kg,Digital Cultural Heritage,Kima ya kinkulu ya digitale,Kongo,2025-05-31 21:15:56,,
ki,Digital Cultural Heritage,,"Kikuyu, Gikuyu",2025-05-31 21:15:56,,
kj,Digital Cultural Heritage,,"Kwanyama, Kuanyama",2025-05-31 21:15:56,,
kk,Digital Cultural Heritage,Цифрлық мәдени мұра,Kazakh,2025-05-31 21:15:56,,
kl,Digital Cultural Heritage,Digitalimik kulturikkut kingornussassat,Kalaallisut,2025-05-31 21:15:56,,
km,Digital Cultural Heritage,បេតិកភណ្ឌវប្បធម៌ឌីជីថល,Khmer,2025-05-31 21:15:56,,
kn,Digital Cultural Heritage,ಡಿಜಿಟಲ್ ಸಾಂಸ್ಕೃತಿಕ ಪರಂಪರೆ,Kannada,2025-05-31 21:15:56,,
ko,Digital Cultural Heritage,디지털 문화 유산,Korean,2025-05-31 21:15:56,,
kr,Digital Cultural Heritage,Adawa Naurabe,Kanuri,2025-05-31 21:15:56,,
ks,Digital Cultural Heritage,,Kashmiri,2025-05-31 21:15:56,,
ku,Digital Cultural Heritage,Mîrateya Çandî ya dîjîtal,Kurdish,2025-05-31 21:15:56,,
kv,Digital Cultural Heritage,Цифрӧвӧй культура наследие .,Komi,2025-05-31 21:15:56,,
kw,Digital Cultural Heritage,,Cornish,2025-05-31 21:15:56,,
ky,Digital Cultural Heritage,Санариптик маданий мурас,"Kirghiz, Kyrgyz",2025-05-31 21:15:56,,
is,Digital Cultural Heritage,Stafrænn menningararfur,Icelandic,2025-05-31 21:15:56,,
ik,Digital Cultural Heritage,,Inupiaq,2025-05-31 21:15:56,,
fy,Digital Cultural Heritage,Digitaal Kultureel Erfguod,Western Frisian,2025-05-31 21:15:56,,
ii,Digital Cultural Heritage,,Nuosu,2025-05-31 21:15:56,,
ga,Digital Cultural Heritage,Oidhreacht Chultúrtha Dhigiteach,Irish,2025-05-31 21:15:56,,
gd,Digital Cultural Heritage,Dualchas Cultarach Didseatach,Scottish Gaelic,2025-05-31 21:15:56,,
gl,Digital Cultural Heritage,Patrimonio cultural dixital,Galician,2025-05-31 21:15:56,,
gn,Digital Cultural Heritage,Patrimonio Cultural Digital rehegua,Guaraní,2025-05-31 21:15:56,,
gu,Digital Cultural Heritage,ડિજિટલ સાંસ્કૃતિક વારસો,Gujarati,2025-05-31 21:15:56,,
gv,Digital Cultural Heritage,Oighreaght Cultooragh Digitagh,Manx,2025-05-31 21:15:56,,
ha,Digital Cultural Heritage,Al&#39;adun Dijital,Hausa,2025-05-31 21:15:56,,
he,Digital Cultural Heritage,מורשת תרבות דיגיטלית,Hebrew (modern),2025-05-31 21:15:56,,
hi,Digital Cultural Heritage,डिजिटल सांस्कृतिक विरासत,Hindi,2025-05-31 21:15:56,,
ho,Digital Cultural Heritage,,Hiri Motu,2025-05-31 21:15:56,,
hr,Digital Cultural Heritage,Digitalna kulturna baština,Croatian,2025-05-31 21:15:56,,
ht,Digital Cultural Heritage,Eritaj kiltirèl dijital,Haitian,2025-05-31 21:15:56,,
hu,Digital Cultural Heritage,Digitális Kulturális Örökség,Hungarian,2025-05-31 21:15:56,,
hy,Digital Cultural Heritage,Թվային մշակութային ժառանգություն,Armenian,2025-05-31 21:15:56,,
hz,Digital Cultural Heritage,,Herero,2025-05-31 21:15:56,,
ia,Digital Cultural Heritage,,Interlingua,2025-05-31 21:15:56,,
id,Digital Cultural Heritage,Warisan Budaya Digital,Indonesian,2025-05-31 21:15:56,,
ie,Digital Cultural Heritage,,Interlingue,2025-05-31 21:15:56,,
ig,Digital Cultural Heritage,Ihe Nketa Omenala Dijitalụ,Igbo,2025-05-31 21:15:56,,
zu,Digital Cultural Heritage,I-Digital Cultural Heritage,Zulu,2025-05-31 21:15:56,,
