language_code,language_name,term_source,enmt_translated_term,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,coding_dh_date
nv,"Navajo, Navaho",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ny,Chichewa; Chewa; Nyanja,Digital Cultural Heritage,Digital Cultural Heritage,,,,,2025-05-31 21:15:56
oc,Occitan,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
oj,"Ojibwe, Ojibwa",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
om,Oromo,Digital Cultural Heritage,WANTA IRRATTI HUNDAAʼE,,,,,2025-05-31 21:15:56
or,Oriya,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
os,"Ossetian, Ossetic",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
pa,"Panjabi, Punjabi",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
pi,Pāli,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
pl,Polish,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ps,"Pashto, Pushto",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
pt,Portuguese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
qu,Quechua,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
rm,Romansh,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
rn,Kirundi,Digital Cultural Heritage,Iragi ry’Amategeko,,,,,2025-05-31 21:15:56
ro,"Romanian, Moldavan",Digital Cultural Heritage,Patrimoniul cultural digital,,,,,2025-05-31 21:15:56
ru,Russian,Digital Cultural Heritage,Цифровое культурное наследие,,,,,2025-05-31 21:15:56
rw,Kinyarwanda,Digital Cultural Heritage,"City in Georgia, United States",,,,,2025-05-31 21:15:56
sa,Sanskrit (Saṁskṛta),Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
sc,Sardinian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
sd,Sindhi,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
se,Northern Sami,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
sg,Sango,Digital Cultural Heritage,Guengo na Li ni ti Wara Ye ti héritier,,,,,2025-05-31 21:15:56
sh,Serbo-Crotian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
si,"Sinhala, Sinhalese",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
sk,Slovak,Digital Cultural Heritage,Digitálne kultúrne dedičstvo,,,,,2025-05-31 21:15:56
sl,Slovene,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
sm,Samoan,Digital Cultural Heritage,Le Tofi o le Soifua Mālōlōina,,,,,2025-05-31 21:15:56
sn,Shona,Digital Cultural Heritage,Nhaka Yetsika Inokurudzira,,,,,2025-05-31 21:15:56
so,Somali,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
sq,Albanian,Digital Cultural Heritage,Digjital Culture Heritage,,,,,2025-05-31 21:15:56
sr,Serbian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ss,Swati,Digital Cultural Heritage,LINGORINI,,,,,2025-05-31 21:15:56
st,Southern Sotho,Digital Cultural Heritage,Lefa la Setso,,,,,2025-05-31 21:15:56
su,Sundanese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
sv,Swedish,Digital Cultural Heritage,Digitalt kulturarv,,,,,2025-05-31 21:15:56
sw,Swahili,Digital Cultural Heritage,Urithi wa Kitamaduni wa Digital,,,,,2025-05-31 21:15:56
ta,Tamil,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
te,Telugu,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
tg,Tajik,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
th,Thai,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ti,Tigrinya,Digital Cultural Heritage,ሰላማዊ ውርሻ,,,,,2025-05-31 21:15:56
tk,Turkmen,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
tl,Tagalog,Digital Cultural Heritage,Digital na Pamanang Pangkultura,,,,,2025-05-31 21:15:56
tn,Tswana,Digital Cultural Heritage,Boswa Jwa Setso,,,,,2025-05-31 21:15:56
to,Tonga,Digital Cultural Heritage,Tofi'a Ma'ama'a,,,,,2025-05-31 21:15:56
tr,Turkish,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ts,Tsonga,Digital Cultural Heritage,Ndzhaka Ya Ndhavuko,,,,,2025-05-31 21:15:56
tt,Tatar,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
tw,Twi,Digital Cultural Heritage,Amammerɛ Mu Amammerɛ Ahorow,,,,,2025-05-31 21:15:56
ty,Tahitian,Digital Cultural Heritage,Te tufaa i te pae ihotumu,,,,,2025-05-31 21:15:56
ug,"Uighur, Uyghur",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
uk,Ukrainian,Digital Cultural Heritage,Спадщина цифрової культури,,,,,2025-05-31 21:15:56
ur,Urdu,Digital Cultural Heritage,معاشرتی ورثے کی بنیاد,,,,,2025-05-31 21:15:56
uz,Uzbek,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ve,Venda,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
vi,Vietnamese,Digital Cultural Heritage,Không thể tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích tích chính chính chính chính chính chính chính chính chính chính chính. Thật chính chính chính chính chính chính chính chính chính giải chính chính. Thật chính chính chính chính chính. Thật chính chính chính chính chính chính chính chính chính chính. Thật chínhm chínhm. Thật chính. Thật chínhm chính. Thật chính chính chính chính.. chính chính chính chính chính chính chính....... chính chính chính chính chính chính chính..... chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính........... chính chính chính chính chính chính chính chính chính chính chính chính chính.......................... chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính....................... chính chính chính chính chính chính chính chính chính chính chính chính............. chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính...... chính chính chính chính chính chính chính chính chính chính chính chính.................. chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính.................................... chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính............................. chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính chính,,,,,2025-05-31 21:15:56
vo,Volapük,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
wa,Walloon,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
wo,Wolof,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
xh,Xhosa,Digital Cultural Heritage,ILifa leMveli lamanani,,,,,2025-05-31 21:15:56
yi,Yiddish,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
yo,Yoruba,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
za,"Zhuang, Chuang",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
zh,Chinese,Digital Cultural Heritage,数字文化遗产,,,,,2025-05-31 21:15:56
zu,Zulu,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
