n_variants_present,n_agree,agreement_rate,best_candidate,variant_translations,above_threshold,term_source,language_code,language_name,language_family,service,is_baseline
5,2,0.4,Цахим Хүмүүнлэгийн Ухаан,"{'minimal': 'Цаһан Бичг-Эрдм', 'comparative': 'Цахим Хүмүнлг', 'expert_persona': 'Цахим Хүмүүнлэгийн Ухаан', 'contextual': 'Цахим Хүмүүнлэгийн Ухаан', 'native_rationale': 'Цахим Күмүнләг Эрдм'}",False,Digital Humanities,xal,Kalmyk,Mongolic,Gemini,False
1,1,1.0,Tüšelijn Sürgün,{'comparative': 'Tüšelijn Sürgün'},True,Digital Humanities,xal,Kalmyk,Mongolic,First Ollama,False
5,1,0.2,Aglɨyq humaniti,"{'minimal': 'Aglɨyq humaniti', 'comparative': 'Tüšelijn Sürgün', 'expert_persona': 'Ишлэм хүреш', 'contextual': 'Khölömii khöltüül', 'native_rationale': ""Dizital Kül'yürin""}",False,Digital Humanities,xal,Kalmyk,Mongolic,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,Wikipedia,True
5,5,1.0,Digital nga Katawhan,"{'minimal': 'Digital nga Katawhan', 'comparative': 'Digital nga Katawhan', 'expert_persona': 'Digital nga Katawhan', 'contextual': 'Digital nga Katawhan', 'native_rationale': 'Digital nga Katawhan'}",True,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,Lingvanex,True
5,1,0.2,Diyitál nga Humanidades,"{'minimal': 'Diyitál nga Humanidades', 'comparative': 'Digital nga Humanidades', 'expert_persona': 'Dijital nga Humanidades', 'contextual': 'Diyital nga Humanidades', 'native_rationale': 'Humanidades Digital'}",False,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,OpenAI,False
5,1,0.2,Dijital nga Kaalam-on han Tawo,"{'minimal': 'Dijital nga Kaalam-on han Tawo', 'comparative': 'Digital nga Humanidades', 'expert_persona': 'Digitál nga Katawohan', 'contextual': 'Digital nga Katawohan-Siyensya', 'native_rationale': 'Digital nga Pagtuon han Katawohan'}",False,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,Claude,False
5,4,0.8,Digital nga Humanidades,"{'minimal': 'Digital nga Humanidades', 'comparative': 'Digital nga Humanidades', 'expert_persona': 'Digital nga Humanidades', 'contextual': 'Digital nga Humanidades', 'native_rationale': 'Digital Humanities'}",True,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,Gemini,False
1,1,1.0,Digital nga mga Dako,{'comparative': 'Digital nga mga Dako'},True,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,First Ollama,False
4,1,0.25,Digidal na Kasaysayan,"{'minimal': 'Digidal na Kasaysayan', 'comparative': 'Digital nga mga Dako', 'expert_persona': 'Mga Dakit sa Digital', 'contextual': 'Humanidades Digital'}",False,Digital Humanities,war,Waray / Samar-Leyte Visayan,Austronesian,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,vls,West Flemish,Germanic,Wikipedia,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,vls,West Flemish,Germanic,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,vls,West Flemish,Germanic,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,vls,West Flemish,Germanic,Lingvanex,True
5,3,0.6,Digitale Geesteswetenschappen,"{'minimal': 'Digitale Geesteswetenschappen', 'comparative': 'Digitale Geesteswetenschappen', 'expert_persona': 'Digitale Humanistiek', 'contextual': 'Digitale Geesteswetenschappen', 'native_rationale': 'Digitale Geesteswetenschoppen'}",False,Digital Humanities,vls,West Flemish,Germanic,OpenAI,False
5,1,0.2,Digitale Humaniora,"{'minimal': 'Digitale Humaniora', 'comparative': 'Digitale Gêesteswetenschappn', 'expert_persona': 'Digitale Humaniorawetenschappen', 'contextual': 'Digitale Humaniorawetenschappn', 'native_rationale': 'Digitale Mensweetnschappn'}",False,Digital Humanities,vls,West Flemish,Germanic,Claude,False
5,4,0.8,Digitale Humaniora,"{'minimal': 'Digitale Humaniora', 'comparative': 'Digitale Geesteswetenschappn', 'expert_persona': 'Digitale Humaniora', 'contextual': 'Digitale Humaniora', 'native_rationale': 'Digitale Humaniora'}",True,Digital Humanities,vls,West Flemish,Germanic,Gemini,False
1,1,1.0,Digitaal Humaniora,{'comparative': 'Digitaal Humaniora'},True,Digital Humanities,vls,West Flemish,Germanic,First Ollama,False
5,2,0.4,Digitaal Humaniora,"{'minimal': 'Digitale Menskunde', 'comparative': 'Digitaal Humaniora', 'expert_persona': 'Digitaal Humaniora', 'contextual': 'Digitale Geesteswetenschappen', 'native_rationale': 'Digitaal Menskunde'}",False,Digital Humanities,vls,West Flemish,Germanic,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,vec,Venetian,Romance,Wikipedia,True
5,5,1.0,Siense umane digitałi,"{'minimal': 'Siense umane digitałi', 'comparative': 'Siense umane digitałi', 'expert_persona': 'Siense umane digitałi', 'contextual': 'Siense umane digitałi', 'native_rationale': 'Siense umane digitałi'}",True,Digital Humanities,vec,Venetian,Romance,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,vec,Venetian,Romance,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,vec,Venetian,Romance,Lingvanex,True
5,2,0.4,Humanità Digitali,"{'minimal': 'Humanità Digitai', 'comparative': 'Scienxe umane digitałi', 'expert_persona': 'Humanità Digitali', 'contextual': 'Scienze Umane Digitali', 'native_rationale': 'Humanità Digitali'}",False,Digital Humanities,vec,Venetian,Romance,OpenAI,False
5,2,0.4,Umanisteghe Digitałi,"{'minimal': 'Umanisteghe Digitali', 'comparative': 'Umanisteghe digitałi', 'expert_persona': 'Umanisteghe Digitałi', 'contextual': 'Umanisteghe Digitałi', 'native_rationale': 'Umanistega Diditałe'}",False,Digital Humanities,vec,Venetian,Romance,Claude,False
5,3,0.6,Umanità Digitałi,"{'minimal': 'Umanità Digitałe', 'comparative': 'Umanità Digitałi', 'expert_persona': 'Umanità Digitale', 'contextual': 'Umanità Digitałi', 'native_rationale': 'Umanità Digitałi'}",False,Digital Humanities,vec,Venetian,Romance,Gemini,False
1,1,1.0,Siense umane digitałi,{'comparative': 'Siense umane digitałi'},True,Digital Humanities,vec,Venetian,Romance,First Ollama,False
4,1,0.25,Umànità Digitél,"{'minimal': 'Umànità Digitél', 'comparative': 'Siense umane digitałi', 'expert_persona': 'Umanità Digitale', 'contextual': 'Umanità Digitali'}",False,Digital Humanities,vec,Venetian,Romance,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,Wikipedia,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,Lingvanex,True
5,4,0.8,Raqamli Gumanitar Fanlar,"{'minimal': 'Raqamli Gumanitar Fanlar', 'comparative': 'Raqamli Gumanitar Fanlar', 'expert_persona': 'Raqamli Gumanitar Fanlar', 'contextual': 'Raqamli Gumanitar Fanlar', 'native_rationale': 'Raqamli Gumanitar fanlar'}",True,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,OpenAI,False
5,2,0.4,رقمی علوم انسانی,"{'minimal': 'Рақамли гуманитар фанлар', 'comparative': 'رقمی بشری علوم', 'expert_persona': 'رقمی علوم انسانی', 'contextual': 'علوم انسانی دیجیتالی', 'native_rationale': 'رقمی علوم انسانی'}",False,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,Claude,False
5,3,0.6,Raqamli Gumanitar Fanlar,"{'minimal': 'Raqamli Gumanitar Fanlar', 'comparative': 'Raqamli Gumanitar Fanlar', 'expert_persona': 'علوم انسانی دیجیتال', 'contextual': 'Raqamli Gumanitar Fanlar', 'native_rationale': 'رقمی بشریات'}",False,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,Gemini,False
1,1,1.0,Dijital Ilm-fan,{'comparative': 'Dijital Ilm-fan'},True,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,First Ollama,False
5,1,0.2,Kodli Adabiyot Ilmi,"{'minimal': 'Kodli Adabiyot Ilmi', 'comparative': 'Dijital Ilm-fan', 'expert_persona': ""Elektronik Ilm va San'at"", 'contextual': 'Digital Ilm-fan', 'native_rationale': 'Dijital Adabiyot'}",False,Digital Humanities,uz_AF,Uzbeki Afghanistan,Turkic,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,udm,Udmurt,Uralic,Wikipedia,True
5,5,1.0,Цифровой гуманитарной наукаос,"{'minimal': 'Цифровой гуманитарной наукаос', 'comparative': 'Цифровой гуманитарной наукаос', 'expert_persona': 'Цифровой гуманитарной наукаос', 'contextual': 'Цифровой гуманитарной наукаос', 'native_rationale': 'Цифровой гуманитарной наукаос'}",True,Digital Humanities,udm,Udmurt,Uralic,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,udm,Udmurt,Uralic,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,udm,Udmurt,Uralic,Lingvanex,True
1,1,1.0,Цифровыд гуманитарий,{'minimal': 'Цифровыд гуманитарий'},True,Digital Humanities,udm,Udmurt,Uralic,OpenAI,False
5,2,0.4,Цифровой гуманитар тодослыкъёс,"{'minimal': 'Цифра гуманитар тодосъёс', 'comparative': 'Цифровой гуманитар тодослыкъёс', 'expert_persona': 'Цифр гуманитар тодослыкъёс', 'contextual': 'Цифровой гуманитар тодослыкъёс', 'native_rationale': 'Цифровой гуманитар наукаос'}",False,Digital Humanities,udm,Udmurt,Uralic,Claude,False
5,4,0.8,Цифровой гуманитаристика,"{'minimal': 'Цифровой гуманитаристика', 'comparative': 'Цифровой гуманитар тодослыкъёс', 'expert_persona': 'Цифровой гуманитаристика', 'contextual': 'Цифровой гуманитаристика', 'native_rationale': 'Цифровой гуманитаристика'}",True,Digital Humanities,udm,Udmurt,Uralic,Gemini,False
1,1,1.0,Цифровой гуманитаризм киямас,{'comparative': 'Цифровой гуманитаризм киямас'},True,Digital Humanities,udm,Udmurt,Uralic,First Ollama,False
5,1,0.2,Дигитальная Умейство,"{'minimal': 'Дигитальная Умейство', 'comparative': 'Цифровой гуманитаризм киямас', 'expert_persona': ""Digital'läjim härtsevändä"", 'contextual': 'Džigitalläižine filologii', 'native_rationale': 'Digitalа Värttärinėndäš'}",False,Digital Humanities,udm,Udmurt,Uralic,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,tum,Tumbuka,African (Niger-Congo),Wikipedia,True
5,5,1.0,Ŵanthu ŵa pa intaneti,"{'minimal': 'Ŵanthu ŵa pa intaneti', 'comparative': 'Ŵanthu ŵa pa intaneti', 'expert_persona': 'Ŵanthu ŵa pa intaneti', 'contextual': 'Ŵanthu ŵa pa intaneti', 'native_rationale': 'Ŵanthu ŵa pa intaneti'}",True,Digital Humanities,tum,Tumbuka,African (Niger-Congo),Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,tum,Tumbuka,African (Niger-Congo),EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,tum,Tumbuka,African (Niger-Congo),Lingvanex,True
5,1,0.2,Sayansi ya Anthu ya Pa Intaneti,"{'minimal': 'Sayansi ya Anthu ya Pa Intaneti', 'comparative': 'Sayansi ya Pa Intaneti', 'expert_persona': 'Sayansi za Pa Intaneti', 'contextual': 'Umunthu wa Digito', 'native_rationale': 'Zinthu zaumisili waumisili pa Intaneti'}",False,Digital Humanities,tum,Tumbuka,African (Niger-Congo),OpenAI,False
5,1,0.2,Uremwi wa Digito,"{'minimal': 'Uremwi wa Digito', 'comparative': 'Sayansi ya Ŵanthu mu Nthazi ya Digito', 'expert_persona': 'Umanyi wa Chiphangwa mu Ulongozi wa Makompyuta', 'contextual': 'Maphunziro a Chikhalidwe cha Digito', 'native_rationale': 'Uhumanizimu wa Digito'}",False,Digital Humanities,tum,Tumbuka,African (Niger-Congo),Claude,False
5,2,0.4,Umunthu wa pa Intaneti,"{'minimal': 'Umunthu wa pa Digital', 'comparative': 'Umunthu wa Digito', 'expert_persona': 'Umunthu wa pa Intaneti', 'contextual': 'Umunthu wa pa Digito', 'native_rationale': 'Umunthu wa pa Intaneti'}",False,Digital Humanities,tum,Tumbuka,African (Niger-Congo),Gemini,False
1,1,1.0,Ŵanthu ŵa pa ntakwana,{'comparative': 'Ŵanthu ŵa pa ntakwana'},True,Digital Humanities,tum,Tumbuka,African (Niger-Congo),First Ollama,False
5,1,0.2,Mavuto ya Njira za Digitali,"{'minimal': 'Mavuto ya Njira za Digitali', 'comparative': 'Ŵanthu ŵa pa ntakwana', 'expert_persona': 'Mamanga ya Teknolojia', 'contextual': 'Muunganisho wa Digital', 'native_rationale': 'Banthu za Digitali'}",False,Digital Humanities,tum,Tumbuka,African (Niger-Congo),Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,tpi,Tok Pisin,Creole / Mixed,Wikipedia,True
5,5,1.0,Dijitel Humanitis,"{'minimal': 'Dijitel Humanitis', 'comparative': 'Dijitel Humanitis', 'expert_persona': 'Dijitel Humanitis', 'contextual': 'Dijitel Humanitis', 'native_rationale': 'Dijitel Humanitis'}",True,Digital Humanities,tpi,Tok Pisin,Creole / Mixed,Google Translate,True
5,5,1.0,Ol Samting Ol Man i Mekim,"{'minimal': 'Ol Samting Ol Man i Mekim', 'comparative': 'Ol Samting Ol Man i Mekim', 'expert_persona': 'Ol Samting Ol Man i Mekim', 'contextual': 'Ol Samting Ol Man i Mekim', 'native_rationale': 'Ol Samting Ol Man i Mekim'}",True,Digital Humanities,tpi,Tok Pisin,Creole / Mixed,EasyNMT,True
